arm,batch,attempted,attempted_layers,budget_reason,complete,completed,deleted,deleted_layers
C48,1,0,[],,True,0,0,[]
C48,2,1,[8],,True,1,0,[]
C48,3,1,[8],,True,1,0,[]
C48,4,1,[8],,True,1,0,[]
C48,5,1,[8],,True,1,0,[]
C48,6,1,[8],,True,1,1,[8]
C48,7,1,[8],,True,1,0,[]
C48,8,1,[8],,True,1,1,[8]
C48,9,1,[8],,True,1,0,[]
C48,10,1,[8],,True,1,0,[]
C45678,1,4,"[8, 7, 6, 5]",,True,4,4,"[8, 7, 6, 5]"
C45678,2,4,"[8, 7, 6, 5]",,True,4,2,"[8, 7]"
C45678,3,4,"[8, 7, 6, 5]",,True,4,3,"[8, 7, 6]"
C45678,4,4,"[8, 7, 6, 5]",,True,4,3,"[8, 7, 6]"
C45678,5,4,"[8, 7, 6, 5]",EXTRA_ADAM_RESERVE,False,3,2,"[8, 7]"
C45678,6,0,[],,True,0,0,[]
C45678,7,4,"[8, 7, 6, 5]",,True,4,3,"[8, 7, 6]"
C45678,8,0,[],,True,0,0,[]
C45678,9,0,[],,True,0,0,[]
C45678,10,4,"[8, 7, 6, 5]",,True,4,3,"[8, 7, 6]"
