arm,batch,comparison,metric,n,before,after,lost,gained,retained,both_failure,strict_lost,strict_gained,delta_pp,delta_new_nll_mean,delta_new_nll_p00,delta_new_nll_p50,delta_new_nll_p95,delta_new_nll_p99,delta_new_nll_p100,delta_true_nll_mean,delta_true_nll_p00,delta_true_nll_p50,delta_true_nll_p95,delta_true_nll_p99,delta_true_nll_p100,delta_desired_nll_mean,delta_desired_nll_p00,delta_desired_nll_p50,delta_desired_nll_p95,delta_desired_nll_p99,delta_desired_nll_p100,desired_nll_worse_count
N4,1,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,1,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,194,194,0,0,194,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,1,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,865,865,0,0,865,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,5,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,5,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,193,193,0,0,193,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,5,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,859,859,0,0,859,141,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,10,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,99,99,0,0,99,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,10,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,195,195,0,0,195,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,10,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,810,810,0,0,810,190,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
F48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.005086534115835093,-0.010483108460903168,0.002310552867129445,0.017008815362351,0.043855004017241475,0.07766965124756098,-0.9855371713638306,-5.707612991333008,-1.8666939735412598,5.243578720092772,8.560180644989016,8.947558403015137,0.005086534115835093,-0.010483108460903168,0.002310552867129445,0.017008815362351,0.043855004017241475,0.07766965124756098,83
F48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,PS,200,194,190,6,2,188,4,13,9,-2.0,0.14123571189760697,-4.224735260009766,0.041560047306120396,1.8648270964622495,3.950583286583421,6.36932373046875,-0.36407567888498304,-5.4492340087890625,-0.7434194087982178,4.89888501167297,7.7279993462562535,10.09580135345459,0.14123571189760697,-4.224735260009766,0.041560047306120396,1.8648270964622495,3.950583286583421,6.36932373046875,135
F48,1,OWN_N4_TO_SELECTED_SAME_ENTRY,NS,1000,865,869,6,10,859,125,3,8,0.4,0.14523882309929467,-2.036818027496338,0.06122159957885742,0.7198930740356433,1.6800363945960994,4.389077186584473,-0.03582576235197484,-8.872851371765137,0.0006186841055750847,0.3072357416152954,0.7362080669403076,1.6837129592895508,-0.03582576235197484,-8.872851371765137,0.0006186841055750847,0.3072357416152954,0.7362080669403076,1.6837129592895508,507
F48,5,OWN_N4_TO_SELECTED_SAME_ENTRY,RS,100,100,100,0,0,100,0,0,0,0.0,0.005911752210595296,-0.015252184122800827,0.002892793680075556,0.02542870074394159,0.03649908169172706,0.04042560141533613,-1.7221244955062867,-7.907129764556885,-1.8573851585388184,2.395540761947629,6.502622871398961,13.337638854980469,0.005911752210595296,-0.015252184122800827,0.002892793680075556,0.02542870074394159,0.03649908169172706,0.04042560141533613,94
