arm,batch,layer,fit,name,shape,dtype,sha256,finite
N4,1,4,000-L4,target,"(4096, 100)",torch.float32,3fe12ee0996ba578ddbab258913a2996d0b1aec03f6b5dd5651a737d6015b70b,True
N4,1,4,000-L4,anchors,"(4096, 100)",torch.float32,709057e36d1c7c334c021e906b25ac7920cf2f5f7af71c314c3c17b68825cb50,True
N4,1,4,000-L4,radii,"(100,)",torch.float32,d2db7673d01c74e28cbc839221586dea9336cdc45534c48a66107f60bc6ffd83,True
N4,2,4,000-L4,target,"(4096, 100)",torch.float32,1f0a887d509492112acbfb850942fb6ba47111fc9b3f7b610bb19de567624883,True
N4,2,4,000-L4,anchors,"(4096, 100)",torch.float32,6940df84e3a249cb590450ae78f1982e56ea19a38197c220e46dcbc65b136875,True
N4,2,4,000-L4,radii,"(100,)",torch.float32,891adbcb749d3ca5748edcbf40c08517376ce81fb4a626ded57bc145863e6898,True
N4,3,4,000-L4,target,"(4096, 100)",torch.float32,1946ea602f004b1dd8fce63fcba072baca0dc9cee43f8a7fb03308adaeb8a028,True
N4,3,4,000-L4,anchors,"(4096, 100)",torch.float32,d12f4911e18c17d54cb21688fbc2d44756088e06085086f470c5d61f62f0b091,True
N4,3,4,000-L4,radii,"(100,)",torch.float32,b741ceb556d442d2d17d07c68ac6f86171b4a03fedf9ed7979c6afbd4242705d,True
N4,4,4,000-L4,target,"(4096, 100)",torch.float32,d581f58c8f163d8279eeae867144cf9fa7b649a7805d213c11b75e0d6d8677f4,True
N4,4,4,000-L4,anchors,"(4096, 100)",torch.float32,3822d9b84e81452c7f300637924e093d0fcac426bfe2bee7faf0aeeaa4a4a9a9,True
N4,4,4,000-L4,radii,"(100,)",torch.float32,6a840a204fb2d6610e2ed0dd0c1d238c400cd60b9c9740c22776db53c58be270,True
N4,5,4,000-L4,target,"(4096, 100)",torch.float32,5340c73127c7f3e79ec049547164dad080c81576fed189998cb2191a77698eb3,True
N4,5,4,000-L4,anchors,"(4096, 100)",torch.float32,1d603fc02e953a7e0dd9b5395b2cacf109761b9250b9044ae66e5eeef129b045,True
N4,5,4,000-L4,radii,"(100,)",torch.float32,437f712aaa2554520e72efe8b8aaf4fa43dc25adc31296def58503353e0b72a4,True
N4,6,4,000-L4,target,"(4096, 100)",torch.float32,315756a55dbd25bf4211e552907ee98c970e9cd0c66316c5481c390a0cf239de,True
N4,6,4,000-L4,anchors,"(4096, 100)",torch.float32,1da2043d80e64763396c4d595d408d059e71c16348be7d27dbf3845459265aa3,True
N4,6,4,000-L4,radii,"(100,)",torch.float32,e3231e412742a46d7e464fbf4b18ee0afc58d9b8d6e3c79cc9036f8fbcab4ca0,True
N4,7,4,000-L4,target,"(4096, 100)",torch.float32,c064853dc6900a244b53705674c13dce8f16b56f993a858735ea58a4451e48f0,True
N4,7,4,000-L4,anchors,"(4096, 100)",torch.float32,dbcaf33b7b89399a3cb8a8508724c9ed668f550c3e7e8f0bd0a57b2db6c41dc5,True
N4,7,4,000-L4,radii,"(100,)",torch.float32,6e9afb53a458679916dd74363b6e8ba8806d93669855c429b51ff88593719185,True
N4,8,4,000-L4,target,"(4096, 100)",torch.float32,77539986edc68d9ea0b4cda7b1ee7cd5c582a07831a9dcd6a1bb4705d2116155,True
N4,8,4,000-L4,anchors,"(4096, 100)",torch.float32,484ecfe6aabe6efa1a36e8c433b94976bd8ec52a2fac7c60de76503cf3be3f6d,True
N4,8,4,000-L4,radii,"(100,)",torch.float32,3926c8322b4c72cba7e6b7699e7a8ce39ef052c9938200d55e6702a8d04af2b0,True
N4,9,4,000-L4,target,"(4096, 100)",torch.float32,16b409c090acf5f8a6d5cbf01b10eda93dfae6d4833eaf40b2cf14fe4b99f27b,True
N4,9,4,000-L4,anchors,"(4096, 100)",torch.float32,d802a87112fbdcf35d2db608f47bc3f5d3bb191012dedf6b040feca34196f2bb,True
N4,9,4,000-L4,radii,"(100,)",torch.float32,9e5e23f020a83d5f99d36d992d803e96fd1c683d601fd23d737f02c5260de1d0,True
N4,10,4,000-L4,target,"(4096, 100)",torch.float32,2710cf2af6ad4a3f955c50b2b36fb303d554dcf6dd05c6076ec8790ee0e2ea86,True
N4,10,4,000-L4,anchors,"(4096, 100)",torch.float32,71685b3bd8ea6497442360d4212044fd8e61006cab3e82f9df5bca26a322f599,True
N4,10,4,000-L4,radii,"(100,)",torch.float32,2f86334d56b08bfc586d12bbf1e6c2b8b647f97769bd8b416d0042b579f2b52d,True
F48,1,4,000-L4,target,"(4096, 100)",torch.float32,3fe12ee0996ba578ddbab258913a2996d0b1aec03f6b5dd5651a737d6015b70b,True
F48,1,4,000-L4,anchors,"(4096, 100)",torch.float32,709057e36d1c7c334c021e906b25ac7920cf2f5f7af71c314c3c17b68825cb50,True
F48,1,4,000-L4,radii,"(100,)",torch.float32,d2db7673d01c74e28cbc839221586dea9336cdc45534c48a66107f60bc6ffd83,True
F48,1,8,001-L8,target,"(4096, 100)",torch.float32,122f24c73f993d1b162bb4db6e594343fb123947715d7f83e2772daa29864f5d,True
F48,1,8,001-L8,anchors,"(4096, 100)",torch.float32,b01b14f2db3e91c96977f92af5fc79784cad62131a5407816173714eeed90daa,True
F48,1,8,001-L8,radii,"(100,)",torch.float32,1fa8fa4bc62ad120c6908890c1854e5be3a1e997de5b03ffe3986b7e48dc7a18,True
F48,2,4,000-L4,target,"(4096, 100)",torch.float32,cb0d0bb5791900629ef2cb3654d82f2845dc36e2d4db1668bba39880b0baea9d,True
F48,2,4,000-L4,anchors,"(4096, 100)",torch.float32,3fa76dbddb7828b14f59c71e0eaf32678c71c12e89a49122adb1541a88cee6a5,True
F48,2,4,000-L4,radii,"(100,)",torch.float32,dbbd953b8f4d7b4013a67db84f57c5747bc067a6f85c80284b248648cb2ae314,True
F48,2,8,001-L8,target,"(4096, 100)",torch.float32,eb595c967f7dd8ff99b1262cd4009cb4ba0d7ab866886b84f178abe0a977a931,True
F48,2,8,001-L8,anchors,"(4096, 100)",torch.float32,db3467e01226b1beb0057626f0adb525dde11d1e882fda440791e24027d59540,True
F48,2,8,001-L8,radii,"(100,)",torch.float32,1805e3f4cf764fc2fccf874c624e415b878a59fb173d17fc6b3e66cdbc6773d0,True
F48,3,4,000-L4,target,"(4096, 100)",torch.float32,a7ea191810bd0f808ca79ebea7d9a031315a70f8f4aa7ff70e7d556da6de1893,True
F48,3,4,000-L4,anchors,"(4096, 100)",torch.float32,c67ef122d4b13e6f06de95005158ebab8354afe307450ffa9f5e9dba0bf5fa99,True
F48,3,4,000-L4,radii,"(100,)",torch.float32,4069b1e6d3dac8fcd517fbbf462fbb57f3af536fff7c90ca22d69e4d2409c6e6,True
F48,3,8,001-L8,target,"(4096, 100)",torch.float32,217e4dd785b0556cc27141346cca45e7747c7d20a8c2e28eee0024d5ad85f406,True
F48,3,8,001-L8,anchors,"(4096, 100)",torch.float32,0afbd0dc6cf51317e9716994bd96ae73dd4e55ade7ac03ccacf3d7967ec52d22,True
F48,3,8,001-L8,radii,"(100,)",torch.float32,d64df64b8faa7d10cd33f9285f8da4f6d25ed80f35e9e02d1cf489d3ac8df248,True
F48,4,4,000-L4,target,"(4096, 100)",torch.float32,083cdc8223ca970f0ca529935124bcee314e4e84179555485442197cea680e49,True
F48,4,4,000-L4,anchors,"(4096, 100)",torch.float32,9d2801252716fab66183233ec44795256838b742c9ed3e2cc441bb4ff9b4b1a8,True
F48,4,4,000-L4,radii,"(100,)",torch.float32,055ee61faf057ce3b85019e5bf00f44d92bbe200dd4584c2d441284862ff4227,True
F48,4,8,001-L8,target,"(4096, 100)",torch.float32,bf77c11e78fa8806f9ee87ab9d98b1a37a4b7b8d6ed9aac80c6c9f45954284a6,True
F48,4,8,001-L8,anchors,"(4096, 100)",torch.float32,05d341592e12a663f66647349b4a94a13ebe531bea03b6398b1239feb8a89df0,True
F48,4,8,001-L8,radii,"(100,)",torch.float32,38fe0380655f40dfb3a4752f19c4c05ff8c92f2f856f3e1787b85692edf73552,True
F48,5,4,000-L4,target,"(4096, 100)",torch.float32,54494ca0208269c8193db119b18c325f97bbcb204eccc764e395e16bdb69ceca,True
F48,5,4,000-L4,anchors,"(4096, 100)",torch.float32,50e0fcc662a1eeec47950a770422ced3b3784bf08dead2b4cc12172537396a64,True
F48,5,4,000-L4,radii,"(100,)",torch.float32,dabf011e5b5c5a810da17c4166fc2e14ef6a1215e802c46dac17a76f88ba772b,True
F48,5,8,001-L8,target,"(4096, 100)",torch.float32,438941fed75271e45caecbb61e68c690612c03d5261e476e4c346b6911a9e201,True
F48,5,8,001-L8,anchors,"(4096, 100)",torch.float32,b3bcfaa1e23a34ab9609f1f17439a53ca422acee51f9483c193d9b3117536ac3,True
F48,5,8,001-L8,radii,"(100,)",torch.float32,b0b559d2a9856ca8d72915b1c7d5aa959687c66c414e83ea3a41812f235ae339,True
F48,6,4,000-L4,target,"(4096, 100)",torch.float32,4cd6f0a9e00264127ed502aebe18d55cd3f6a8941eb0e5b45e7bb1e52803d947,True
F48,6,4,000-L4,anchors,"(4096, 100)",torch.float32,557c81b45e547dd2a6d2254a7ad6ff1efb9d5551f2ed228c3a987cbc8504f5d9,True
F48,6,4,000-L4,radii,"(100,)",torch.float32,e54870fb7b664d58ae159ed0e10b9028d763761d2baf5df030459efa9e65ab04,True
F48,6,8,001-L8,target,"(4096, 100)",torch.float32,9691579dc0e4a62d0de252044c213097adc1088cacc35fca7562ad373523c69f,True
F48,6,8,001-L8,anchors,"(4096, 100)",torch.float32,aa87ef5dc071166d2003007c42e18fa13d0ebc16fa5b157dc665a115c3354efd,True
F48,6,8,001-L8,radii,"(100,)",torch.float32,b00436609f440fafea3330dd23e6823e46432be57c672695d9621b5c1177f015,True
F48,7,4,000-L4,target,"(4096, 100)",torch.float32,0b91c6472b2068aad546f0ff4dbcc8d39378d488787fcd0958947834b7dc4443,True
F48,7,4,000-L4,anchors,"(4096, 100)",torch.float32,bba1b23f7608a76cc49ed96f35889824ccdd5dcd1b950db20c145f208876e6fc,True
F48,7,4,000-L4,radii,"(100,)",torch.float32,59bc5d24ceaf180fd04a071e76afb356d5143ae1863f55e2ffabad5aa1ca569b,True
F48,7,8,001-L8,target,"(4096, 100)",torch.float32,565a3e265f514ad3840b60b9f9fbb3689299be560d4b9358515cf70c3393703e,True
F48,7,8,001-L8,anchors,"(4096, 100)",torch.float32,57fa2ba063d30121fcfc5d16ccc5cdeed96c77bfb4b008c06f9e530e89a6d21b,True
F48,7,8,001-L8,radii,"(100,)",torch.float32,5b894cc61f4d97f4f379f73210a38c19c56d24a015f1e236d0902b4448b91b9f,True
F48,8,4,000-L4,target,"(4096, 100)",torch.float32,eff42ee696ae8a22352713e2ad8b226d5baefdcd4ba2263a0477a9f4f370db2e,True
