arm,program_seconds,peak_GPU_allocated,peak_GPU_reserved,peak_host_RSS_KiB,baseline_scores,bound_rejections,commits,completed_suffix_fits,endpoint_cache_hits,endpoints,extra_adam,extra_adam_reserved,fit_cache_hits,gate_cache_hits,incomplete_candidates,l4_adam,l4_fits,pruning_proposals,raw_callback_calls,reduction_cache_hits,search_proposals,suffix_fits,technical_failures
N4,4534.978909712285,35950772736,42708500480,34547140,10,0,10,0,0,0,0,0,0,0,0,24000,10,0,0,0,0,0,0
F48,5554.163420922123,35950772736,42708500480,35139228,10,0,10,10,0,10,3936,0,10,0,0,23976,10,0,0,0,10,10,0
G48,6815.739417755976,35950772736,42708500480,35614540,10,0,10,20,0,50,4176,0,70,10,0,23976,10,0,0,0,50,20,0
C4,5274.589990301058,35950772736,42708500480,34672948,10,0,10,0,0,30,0,0,30,10,0,24000,10,0,90,50,30,0,0
C48,16701.544794794172,35950772736,42708500480,47764360,10,1,10,141,0,164,41783,0,182,0,4,23976,10,9,326,166,160,141,0
C45678,19711.47628435027,35950772736,42708500480,47836368,10,56,10,321,0,132,21815,0,302,0,11,23976,10,28,342,171,171,321,0
