arm,batch,event,count
N4,1,CONTROLLER_START,1
N4,1,FIT_RESERVED,1
N4,1,FIT_COMPLETE,1
N4,1,GATE_MATERIALIZED,1
N4,1,SCORE_RESERVED,1
N4,1,SCORE_COMPLETE,1
N4,1,BASELINE_COMPLETE,1
N4,1,ARM_POLICY_BEGIN,1
N4,1,ARM_POLICY_COMPLETE,1
N4,1,SELECTION_SEALED,1
N4,1,FINALIZATION_BEGIN,1
N4,1,FINALIZATION_COMPLETE,1
N4,2,CONTROLLER_START,1
N4,2,FIT_RESERVED,1
N4,2,FIT_COMPLETE,1
N4,2,GATE_MATERIALIZED,1
N4,2,SCORE_RESERVED,1
N4,2,SCORE_COMPLETE,1
N4,2,BASELINE_COMPLETE,1
N4,2,ARM_POLICY_BEGIN,1
N4,2,ARM_POLICY_COMPLETE,1
N4,2,SELECTION_SEALED,1
N4,2,FINALIZATION_BEGIN,1
N4,2,FINALIZATION_COMPLETE,1
N4,3,CONTROLLER_START,1
N4,3,FIT_RESERVED,1
N4,3,FIT_COMPLETE,1
N4,3,GATE_MATERIALIZED,1
N4,3,SCORE_RESERVED,1
N4,3,SCORE_COMPLETE,1
N4,3,BASELINE_COMPLETE,1
N4,3,ARM_POLICY_BEGIN,1
N4,3,ARM_POLICY_COMPLETE,1
N4,3,SELECTION_SEALED,1
N4,3,FINALIZATION_BEGIN,1
N4,3,FINALIZATION_COMPLETE,1
N4,4,CONTROLLER_START,1
N4,4,FIT_RESERVED,1
N4,4,FIT_COMPLETE,1
N4,4,GATE_MATERIALIZED,1
N4,4,SCORE_RESERVED,1
N4,4,SCORE_COMPLETE,1
N4,4,BASELINE_COMPLETE,1
N4,4,ARM_POLICY_BEGIN,1
N4,4,ARM_POLICY_COMPLETE,1
N4,4,SELECTION_SEALED,1
N4,4,FINALIZATION_BEGIN,1
N4,4,FINALIZATION_COMPLETE,1
N4,5,CONTROLLER_START,1
N4,5,FIT_RESERVED,1
N4,5,FIT_COMPLETE,1
N4,5,GATE_MATERIALIZED,1
N4,5,SCORE_RESERVED,1
N4,5,SCORE_COMPLETE,1
N4,5,BASELINE_COMPLETE,1
N4,5,ARM_POLICY_BEGIN,1
N4,5,ARM_POLICY_COMPLETE,1
N4,5,SELECTION_SEALED,1
N4,5,FINALIZATION_BEGIN,1
N4,5,FINALIZATION_COMPLETE,1
N4,6,CONTROLLER_START,1
N4,6,FIT_RESERVED,1
N4,6,FIT_COMPLETE,1
N4,6,GATE_MATERIALIZED,1
N4,6,SCORE_RESERVED,1
N4,6,SCORE_COMPLETE,1
N4,6,BASELINE_COMPLETE,1
N4,6,ARM_POLICY_BEGIN,1
N4,6,ARM_POLICY_COMPLETE,1
N4,6,SELECTION_SEALED,1
N4,6,FINALIZATION_BEGIN,1
N4,6,FINALIZATION_COMPLETE,1
N4,7,CONTROLLER_START,1
N4,7,FIT_RESERVED,1
N4,7,FIT_COMPLETE,1
N4,7,GATE_MATERIALIZED,1
N4,7,SCORE_RESERVED,1
N4,7,SCORE_COMPLETE,1
N4,7,BASELINE_COMPLETE,1
N4,7,ARM_POLICY_BEGIN,1
N4,7,ARM_POLICY_COMPLETE,1
N4,7,SELECTION_SEALED,1
N4,7,FINALIZATION_BEGIN,1
N4,7,FINALIZATION_COMPLETE,1
N4,8,CONTROLLER_START,1
N4,8,FIT_RESERVED,1
N4,8,FIT_COMPLETE,1
N4,8,GATE_MATERIALIZED,1
N4,8,SCORE_RESERVED,1
N4,8,SCORE_COMPLETE,1
N4,8,BASELINE_COMPLETE,1
N4,8,ARM_POLICY_BEGIN,1
N4,8,ARM_POLICY_COMPLETE,1
N4,8,SELECTION_SEALED,1
N4,8,FINALIZATION_BEGIN,1
N4,8,FINALIZATION_COMPLETE,1
N4,9,CONTROLLER_START,1
N4,9,FIT_RESERVED,1
N4,9,FIT_COMPLETE,1
N4,9,GATE_MATERIALIZED,1
N4,9,SCORE_RESERVED,1
N4,9,SCORE_COMPLETE,1
N4,9,BASELINE_COMPLETE,1
N4,9,ARM_POLICY_BEGIN,1
N4,9,ARM_POLICY_COMPLETE,1
N4,9,SELECTION_SEALED,1
N4,9,FINALIZATION_BEGIN,1
N4,9,FINALIZATION_COMPLETE,1
N4,10,CONTROLLER_START,1
N4,10,FIT_RESERVED,1
N4,10,FIT_COMPLETE,1
N4,10,GATE_MATERIALIZED,1
N4,10,SCORE_RESERVED,1
N4,10,SCORE_COMPLETE,1
N4,10,BASELINE_COMPLETE,1
N4,10,ARM_POLICY_BEGIN,1
N4,10,ARM_POLICY_COMPLETE,1
N4,10,SELECTION_SEALED,1
N4,10,FINALIZATION_BEGIN,1
N4,10,FINALIZATION_COMPLETE,1
F48,1,CONTROLLER_START,1
F48,1,FIT_RESERVED,2
F48,1,FIT_COMPLETE,2
F48,1,GATE_MATERIALIZED,3
F48,1,EXACT_ZERO_SKIP,1
F48,1,SCORE_RESERVED,2
F48,1,SCORE_COMPLETE,2
F48,1,BASELINE_COMPLETE,1
F48,1,ARM_POLICY_BEGIN,1
F48,1,GATE_PROPOSAL,1
F48,1,FIT_CACHE_HIT,1
F48,1,CANDIDATE_COMPLETE,1
F48,1,ARM_POLICY_COMPLETE,1
F48,1,SELECTION_SEALED,1
F48,1,FINALIZATION_BEGIN,1
F48,1,FINALIZATION_COMPLETE,1
F48,2,CONTROLLER_START,1
F48,2,FIT_RESERVED,2
F48,2,FIT_COMPLETE,2
F48,2,GATE_MATERIALIZED,3
F48,2,EXACT_ZERO_SKIP,1
F48,2,SCORE_RESERVED,2
F48,2,SCORE_COMPLETE,2
F48,2,BASELINE_COMPLETE,1
F48,2,ARM_POLICY_BEGIN,1
F48,2,GATE_PROPOSAL,1
F48,2,FIT_CACHE_HIT,1
F48,2,CANDIDATE_COMPLETE,1
F48,2,ARM_POLICY_COMPLETE,1
F48,2,SELECTION_SEALED,1
F48,2,FINALIZATION_BEGIN,1
F48,2,FINALIZATION_COMPLETE,1
F48,3,CONTROLLER_START,1
F48,3,FIT_RESERVED,2
F48,3,FIT_COMPLETE,2
F48,3,GATE_MATERIALIZED,3
F48,3,EXACT_ZERO_SKIP,1
F48,3,SCORE_RESERVED,2
F48,3,SCORE_COMPLETE,2
F48,3,BASELINE_COMPLETE,1
F48,3,ARM_POLICY_BEGIN,1
F48,3,GATE_PROPOSAL,1
F48,3,FIT_CACHE_HIT,1
F48,3,CANDIDATE_COMPLETE,1
F48,3,ARM_POLICY_COMPLETE,1
F48,3,SELECTION_SEALED,1
F48,3,FINALIZATION_BEGIN,1
F48,3,FINALIZATION_COMPLETE,1
F48,4,CONTROLLER_START,1
F48,4,FIT_RESERVED,2
F48,4,FIT_COMPLETE,2
F48,4,GATE_MATERIALIZED,3
F48,4,EXACT_ZERO_SKIP,1
F48,4,SCORE_RESERVED,2
F48,4,SCORE_COMPLETE,2
F48,4,BASELINE_COMPLETE,1
F48,4,ARM_POLICY_BEGIN,1
F48,4,GATE_PROPOSAL,1
F48,4,FIT_CACHE_HIT,1
F48,4,CANDIDATE_COMPLETE,1
F48,4,ARM_POLICY_COMPLETE,1
F48,4,SELECTION_SEALED,1
F48,4,FINALIZATION_BEGIN,1
F48,4,FINALIZATION_COMPLETE,1
F48,5,CONTROLLER_START,1
F48,5,FIT_RESERVED,2
F48,5,FIT_COMPLETE,2
F48,5,GATE_MATERIALIZED,3
F48,5,EXACT_ZERO_SKIP,1
F48,5,SCORE_RESERVED,2
F48,5,SCORE_COMPLETE,2
F48,5,BASELINE_COMPLETE,1
F48,5,ARM_POLICY_BEGIN,1
F48,5,GATE_PROPOSAL,1
F48,5,FIT_CACHE_HIT,1
F48,5,CANDIDATE_COMPLETE,1
F48,5,ARM_POLICY_COMPLETE,1
F48,5,SELECTION_SEALED,1
