comparison,after_arm,before_arm,metric,n,before,after,lost,gained,retained,both_failure,strict_lost,strict_gained,delta_pp,delta_new_nll_mean,delta_new_nll_p00,delta_new_nll_p50,delta_new_nll_p95,delta_new_nll_p99,delta_new_nll_p100,delta_true_nll_mean,delta_true_nll_p00,delta_true_nll_p50,delta_true_nll_p95,delta_true_nll_p99,delta_true_nll_p100,delta_desired_nll_mean,delta_desired_nll_p00,delta_desired_nll_p50,delta_desired_nll_p95,delta_desired_nll_p99,delta_desired_nll_p100,desired_nll_worse_count,ci95_low,ci95_high,bootstrap_repetitions,bootstrap_seed,cluster_unit,cases
C4-N4,C4,N4,RS,1000,999,998,1,0,998,1,0,0,-0.1,-0.0015143501056118112,-3.3300390243530273,-3.2757598091848195e-06,0.0008049635449424382,0.004448470289353258,1.1192066669464111,-0.022589531123638155,-9.854379653930664,-0.0012826919555664062,0.9726278305053676,2.824162473678588,5.8232951164245605,-0.0015143501056118112,-3.3300390243530273,-3.2757598091848195e-06,0.0008049635449424382,0.004448470289353258,1.1192066669464111,465,-0.3,0.0,2000,20260918,CASE_NOT_PROMPT,1000
C4-N4,C4,N4,PS,2000,1934,1932,6,4,1928,62,23,18,-0.1,0.007409886169116362,-3.754507303237915,-1.1479132808744907e-05,0.25966851115226747,1.3447849875688545,4.634195804595947,0.014790641862899065,-10.418771743774414,0.003262758255004883,0.8255924463272091,2.923264141082764,9.634750366210938,0.007409886169116362,-3.754507303237915,-1.1479132808744907e-05,0.25966851115226747,1.3447849875688545,4.634195804595947,986,-0.4,0.2,2000,20260918,CASE_NOT_PROMPT,1000
C4-N4,C4,N4,NS,10000,8026,8046,49,69,7977,1905,39,59,0.2,0.003015498434388428,-3.951282501220703,0.0018992424011230469,0.32988500595092723,0.7573808288574219,6.050436496734619,-0.015180698271980509,-4.03802490234375,-0.004110813140869141,0.2843341588973999,0.6554923868179321,7.108500957489014,-0.015180698271980509,-4.03802490234375,-0.004110813140869141,0.2843341588973999,0.6554923868179321,7.108500957489014,4712,-0.010000000000000009,0.42000000000000004,2000,20260918,CASE_NOT_PROMPT,1000
C48-C4,C48,C4,RS,1000,998,999,0,1,998,1,1,4,0.1,0.005659254374488228,-2.9243578140158206,0.00040197200723923743,0.015095111779373829,0.06460719878552479,13.32256293296814,-0.7061456244289875,-12.44098949432373,-0.5238213539123535,3.760619926452636,8.05497026920318,16.823697090148926,0.005659254374488228,-2.9243578140158206,0.00040197200723923743,0.015095111779373829,0.06460719878552479,13.32256293296814,686,0.0,0.3,2000,20260918,CASE_NOT_PROMPT,1000
C48-C4,C48,C4,PS,2000,1932,1916,39,23,1893,45,108,72,-0.8,0.15589343899202868,-10.113211452960968,0.011659585870802402,1.935251247882843,3.811968141794204,7.204825401306152,-0.3845709773544222,-12.303959846496582,-0.2339944839477539,3.016686820983886,5.835341672897336,11.910491943359375,0.15589343899202868,-10.113211452960968,0.011659585870802402,1.935251247882843,3.811968141794204,7.204825401306152,1247,-1.7000000000000002,0.10124999999999318,2000,20260918,CASE_NOT_PROMPT,1000
C48-C4,C48,C4,NS,10000,8046,8170,136,260,7910,1694,126,262,1.24,0.20004800751020158,-8.382515668869019,0.1469421535730362,1.4997313499450657,2.921774415969849,7.825447082519531,-0.05941186308740289,-11.012717723846436,-0.009149312973022461,1.052847851812839,2.4203324460983278,14.782711267471313,-0.05941186308740289,-11.012717723846436,-0.009149312973022461,1.052847851812839,2.4203324460983278,14.782711267471313,4825,0.7600000000000001,1.720249999999999,2000,20260918,CASE_NOT_PROMPT,1000
C48-F48,C48,F48,RS,1000,1000,999,1,0,999,0,3,1,-0.1,-0.005161636662821365,-9.903605580329895,-0.0008617880739620887,0.011433782749008959,0.048202997283078725,3.0196027755737305,0.415835769534111,-16.210185050964355,0.7170577049255371,4.71987814903259,7.502108106613159,12.09565258026123,-0.005161636662821365,-9.903605580329895,-0.0008617880739620887,0.011433782749008959,0.048202997283078725,3.0196027755737305,321,-0.3,0.0,2000,20260918,CASE_NOT_PROMPT,1000
C48-F48,C48,F48,PS,2000,1909,1916,34,41,1875,50,98,131,0.35,-0.03717709506628671,-11.908380210399628,-0.007847987348213792,1.8670230984687803,4.43572098582983,8.446430444717407,0.12397339620254934,-13.92049789428711,0.17476511001586914,4.112794876098633,6.847031888961791,12.513951539993286,-0.03717709506628671,-11.908380210399628,-0.007847987348213792,1.8670230984687803,4.43572098582983,8.446430444717407,869,-0.6,1.3,2000,20260918,CASE_NOT_PROMPT,1000
C48-F48,C48,F48,NS,10000,8324,8170,275,121,8049,1555,235,180,-1.54,-0.3172253297118281,-14.13513994216919,-0.2152690887451172,0.9495361328124996,2.1400603723526004,9.73480224609375,0.07050355271710432,-11.752609252929688,0.007247805129736662,1.4812254339456519,3.2126987361908004,11.373596668243408,0.07050355271710432,-11.752609252929688,0.007247805129736662,1.4812254339456519,3.2126987361908004,11.373596668243408,5157,-2.0500000000000003,-1.05,2000,20260918,CASE_NOT_PROMPT,1000
C48-G48,C48,G48,RS,1000,1000,999,1,0,999,0,3,1,-0.1,0.01576358148962845,-4.869627118110657,0.0002087753928208258,0.010388609624351371,0.07040599657688289,14.465969324111938,-0.5015184537172318,-13.776043891906738,-0.27297306060791016,2.8875219821929927,7.584899072647094,14.465934753417969,0.01576358148962845,-4.869627118110657,0.0002087753928208258,0.010388609624351371,0.07040599657688289,14.465969324111938,660,-0.3,0.0,2000,20260918,CASE_NOT_PROMPT,1000
C48-G48,C48,G48,PS,2000,1938,1916,35,13,1903,49,86,62,-1.1,0.0971770565244733,-7.878548622131348,0.006334300385788083,1.460809409618377,3.830897697806358,13.677675724029541,-0.3207268912922591,-9.874169826507568,-0.17380642890930176,2.238628005981444,5.402904353141784,12.282333850860596,0.0971770565244733,-7.878548622131348,0.006334300385788083,1.460809409618377,3.830897697806358,13.677675724029541,1224,-1.8499999999999999,-0.35000000000000003,2000,20260918,CASE_NOT_PROMPT,1000
C48-G48,C48,G48,NS,10000,8088,8170,120,202,7968,1710,115,209,0.82,0.11551071947108321,-10.659349203109741,0.08071734756231308,1.1618946313858023,2.242973470687866,7.958652973175049,-0.054467973988706946,-9.262344598770142,-0.007581472396850586,0.7995613098144531,1.9456895262002945,10.826641082763672,-0.054467973988706946,-9.262344598770142,-0.007581472396850586,0.7995613098144531,1.9456895262002945,10.826641082763672,4783,0.39,1.2302499999999985,2000,20260918,CASE_NOT_PROMPT,1000
