arm,view,batch,population,metric,n,count,percent,strict_count,strict_percent,token_correct,token_count,ties,new_nll_mean,new_nll_p00,new_nll_p50,new_nll_p95,new_nll_p99,new_nll_p100,true_nll_mean,true_nll_p00,true_nll_p50,true_nll_p95,true_nll_p99,true_nll_p100,desired_margin_mean,desired_margin_p00,desired_margin_p50,desired_margin_p95,desired_margin_p99,desired_margin_p100,two_P_n,two_P_strict
N4,ENTRY,1,CURRENT100,RS,100,5,5.0,0,0.0,0,101,0,11.743398172855377,2.6649434566497803,11.794809341430664,17.85722961425781,20.54955348968506,21.15650177001953,4.899285252303816,0.0032719431910663843,4.411774158477783,12.17257852554321,14.300750102996831,15.272205352783203,-6.844112920551561,-19.781265690922737,-6.767649173736572,-0.6172097682952927,3.8515192222595243,4.406447410583496,,
N4,AT_WRITE,1,CURRENT100,RS,100,100,100.0,100,100.0,101,101,0,0.0014505088787700516,6.8662193370983e-05,0.0008624052279628813,0.004103520512580871,0.006732942759990713,0.010831019841134548,15.203706488609313,4.724857807159424,15.342006206512451,21.524964427948,25.840298042297373,27.617387771606445,15.202255979730545,4.72220047051087,15.34120729303686,21.524486787123898,25.838240918931852,27.617319109413074,,
N4,ENTRY,1,CURRENT100,PS,200,20,10.0,0,0.0,0,202,0,10.184146780967712,2.29310941696167,10.16865348815918,15.584749317169189,18.057230358123775,18.510713577270508,5.011512103741989,0.015909049659967422,4.745984792709351,11.626846599578851,13.519330320358273,18.12643814086914,-5.172634677225724,-18.461957179009914,-5.06204891204834,2.190676355361932,6.111190600395202,8.01390027999878,100,0
N4,AT_WRITE,1,CURRENT100,PS,200,194,97.0,125,62.5,127,202,0,1.6400640051125084,0.0004923323867842555,0.3955034166574478,6.829371380805961,9.776966915130611,10.714134216308594,10.153915958404541,0.8843942880630493,10.02016544342041,17.06114339828491,19.595753707885738,21.306928634643555,8.513851953292033,-5.414586901664734,8.348864717409015,16.832523868849965,19.594074323917734,21.037090569734573,100,44
N4,ENTRY,1,CURRENT100,NS,1000,886,88.6,171,17.1,200,1030,0,11.702866309762001,1.4505696296691895,11.753228187561035,17.844212245941154,20.694358615875245,23.890642166137695,5.548876543793653,0.0006337541271932423,5.327509164810181,12.224353837966918,15.0020481300354,19.437641143798828,6.1539897659683485,-7.564944267272949,6.283679723739624,14.603695090115068,17.407033039331434,19.776073440909386,,
N4,AT_WRITE,1,CURRENT100,NS,1000,865,86.5,160,16.0,190,1030,0,11.133724765693536,0.002092316746711731,11.104583740234375,17.2749960899353,20.17293081283569,23.542463302612305,5.526177989302028,0.0007858763565309346,5.322661638259888,12.1157244682312,14.517468338012694,18.67910385131836,5.607546776391508,-12.937066122889519,5.614887028932571,13.982353086210786,16.518053651452064,19.899939574301243,,
N4,ENTRY,2,CURRENT100,RS,100,11,11.0,0,0.0,2,102,0,10.965584667921066,1.1150139570236206,10.927775382995605,16.995656871795653,20.07482517242432,20.642995834350586,4.46991860230919,0.005240275990217924,4.096575498580933,10.98032808303833,12.770781593322758,13.515713691711426,-6.495666065611877,-16.340905904769897,-6.807186603546143,1.4905673027038564,2.8143024921417257,3.1762895584106445,,
N4,AT_WRITE,2,CURRENT100,RS,100,100,100.0,100,100.0,102,102,0,0.006550880679860711,0.00011276562872808427,0.0006678853824269027,0.007113244524225592,0.1215853514522326,0.3540442883968353,14.796576995849609,4.060751438140869,14.31551742553711,22.034510231018064,23.610924034118657,24.408180236816406,14.790026115169749,3.706707149744034,14.315068469950347,22.034263653784727,23.609711258596512,24.40745463478379,,
N4,ENTRY,2,CURRENT100,PS,200,28,14.0,1,0.5,5,204,0,10.14515511214733,0.8896776437759399,10.0947847366333,15.43471655845642,17.579542331695553,18.917821884155273,4.811316930409521,0.0058114612475037575,4.220985412597656,11.809185695648189,14.323035831451406,17.353605270385742,-5.333838181737811,-16.213018647395074,-5.140179991722107,2.16500821113586,4.850699132680892,5.460019111633301,100,0
N4,AT_WRITE,2,CURRENT100,PS,200,183,91.5,132,66.0,136,204,0,1.790091061926796,0.0008715168805792928,0.25531837344169617,7.820165467262263,10.703405265808103,13.968002319335938,9.72195050932467,0.2071107178926468,9.89570951461792,16.820895099639888,18.89801830291747,20.001052856445312,7.931859447397874,-10.578042447566986,8.21423364058137,16.47492891314905,18.895386847823385,20.000098207441624,100,54
