arm,batch,layer,targets,zero_adam,cap_stop,loss_stop,Adam,loss_evaluations,clamp_hits,loss_mean,loss_p00,loss_p50,loss_p95,loss_p99,loss_p100,nll_mean,nll_p00,nll_p50,nll_p95,nll_p99,nll_p100,kl_mean,kl_p00,kl_p50,kl_p95,kl_p99,kl_p100,decay_mean,decay_p00,decay_p50,decay_p95,decay_p99,decay_p100,delta_norm_mean,delta_norm_p00,delta_norm_p50,delta_norm_p95,delta_norm_p99,delta_norm_p100,radius_mean,radius_p00,radius_p50,radius_p95,radius_p99,radius_p100,loss_component_residual_mean,loss_component_residual_p00,loss_component_residual_p50,loss_component_residual_p95,loss_component_residual_p99,loss_component_residual_p100
N4,1,4,100,0,100,0,2400,2500,2400,0.13699554868042468,0.1010408028960228,0.1340358555316925,0.1735701732337475,0.2127826869487766,0.2835404872894287,0.0013409716775640845,0.00018465425819158554,0.0009206025570165366,0.0035810322733595946,0.006947249327786276,0.008854210376739502,0.011168086056131869,0.0006822175346314907,0.006353119621053338,0.02504801154136654,0.0732975257933144,0.1547127068042755,0.12448649019002915,0.089842788875103,0.12560584396123886,0.15038599595427513,0.1525848600268364,0.15774312615394592,2.2963063782977344,1.7829619037385918,2.2391483624568607,2.8824150530036983,2.944582682122434,3.130468439133629,2.296306382417679,1.7829619646072388,2.2391483783721924,2.882414972782135,2.9445825505256664,3.1304683685302734,7.566995918750763e-10,-7.8580342233181e-09,1.3387762010097504e-09,6.199115887284277e-09,8.551287464797554e-09,1.955777406692505e-08
N4,2,4,100,0,100,0,2400,2500,2400,0.1354123243689537,0.0989706814289093,0.1343250572681427,0.1595003493130207,0.18885359644889865,0.25530365109443665,0.0012794493648107164,0.00018096031271852553,0.0009205260721500963,0.004106302373111248,0.00494408689439298,0.007467984221875668,0.01056756891659461,0.0009226063266396523,0.005497409962117672,0.03722105380147695,0.04929870590567635,0.1384609192609787,0.12356530584394931,0.09276917576789856,0.12130844220519066,0.14676667302846907,0.15498030573129656,0.1573793888092041,2.3108997718809507,1.7870826492857368,2.318477855650684,2.7387559386031897,2.885037938863294,3.0317179717325824,2.3108997702598573,1.7870826721191406,2.3184778690338135,2.738755929470062,2.8850379824638375,3.0317180156707764,2.435990609228611e-10,-1.4901161193847656e-08,1.1204974725842476e-09,5.887704901397228e-09,7.109483703970913e-09,7.916241884231567e-09
N4,3,4,100,0,100,0,2400,2500,2400,0.13791604071855545,0.10106609016656876,0.13658440858125687,0.16967693269252776,0.22766785666346584,0.29110538959503174,0.0011245777165459004,0.00017548928735777736,0.0007618471863679588,0.003353793709538876,0.004568810835480714,0.009101434610784054,0.013036353717325255,0.0006123477360233665,0.007450815988704562,0.042404654622077945,0.10982688888907467,0.17583943903446198,0.12375510938465595,0.09689105302095413,0.1228170171380043,0.14661036506295205,0.1497095872461796,0.1528921127319336,2.303076681534714,1.839532133465312,2.2899923026934306,2.7566617662574417,2.823670529023043,2.902744719212245,2.30307669878006,1.8395322561264038,2.289992332458496,2.7566616535186768,2.823670415878296,2.902744770050049,-9.997165761888027e-11,-8.149072527885437e-09,-5.675246939063072e-10,7.395283319056034e-09,1.0411604307591972e-08,2.1187588572502136e-08
N4,4,4,100,0,100,0,2400,2500,2400,0.13454841017723085,0.10297676920890808,0.13340095430612564,0.1597631499171257,0.17706665068864832,0.1980409324169159,0.0011233556900697294,0.00018049564096145332,0.0007532349263783544,0.002894012921024113,0.005808258522301925,0.008298246189951897,0.009017657059011981,0.001548654749058187,0.0058996123261749744,0.02276712404564022,0.044828054308891356,0.056128643453121185,0.12440739721059799,0.09545781463384628,0.12326027452945709,0.146611101180315,0.14938990518450737,0.15112893283367157,2.2920288890955978,1.860993822094131,2.281761582463979,2.764085328049557,2.9280464687190957,2.9463279767300747,2.2920288956165313,1.8609938621520996,2.2817615270614624,2.7640854358673095,2.928046352863312,2.9463279247283936,2.1755113266408442e-10,-7.62520357966423e-09,9.022187441587448e-10,6.548361852765082e-09,8.268980309367182e-09,8.614733815193176e-09
N4,5,4,100,0,100,0,2400,2500,2400,0.13304314590990543,0.09220774471759796,0.1302216798067093,0.1586465932428837,0.22158538371324546,0.23556655645370483,0.0010009059679578058,0.00014811332221142948,0.000785270327469334,0.0024799361359328026,0.003937664558179679,0.004386279731988907,0.00966527068580035,0.0009569851099513471,0.005475739948451519,0.020067762210965134,0.10563887178897863,0.1156211793422699,0.12237696841359139,0.09053418040275574,0.1201380081474781,0.1454371504485607,0.14712964296340944,0.14942389726638794,2.328417759688198,1.8822293944576811,2.3410645110690336,2.7560365728897014,3.0504455804939554,3.1065611575782905,2.3284177660942076,1.8822293281555176,2.341064453125,2.756036627292633,3.050445423126221,3.1065611839294434,8.425558917224407e-10,-7.566995918750763e-09,1.3969838619232178e-09,6.594927981495856e-09,7.685739547014238e-09,7.916241884231567e-09
N4,6,4,100,0,100,0,2400,2500,2400,0.1345793253183365,0.09220875799655914,0.1311136856675148,0.17470760941505425,0.2487293472886087,0.2812223434448242,0.001070707616090658,0.00010255338565912098,0.0007367753714788705,0.00327137253480032,0.0037088538869284138,0.004529330413788557,0.014047445914475248,0.0012427489273250103,0.006662136176601052,0.0598752919584512,0.1122460582852365,0.13809692859649658,0.1194611719250679,0.08745703101158142,0.12040427327156067,0.14064744338393212,0.14530193641781808,0.14710891246795654,2.39018032042372,1.9118487053210989,2.3358815987213952,2.8959018355319612,3.1621254326334545,3.215864786551161,2.3901803302764892,1.911848783493042,2.3358817100524902,2.895901894569397,3.1621255302429203,3.215864896774292,-1.3729732017964125e-10,-7.908965926617384e-09,0.0,6.592017598450183e-09,7.220078259706498e-09,7.450580596923828e-09
N4,7,4,100,0,100,0,2400,2500,2400,0.13158341355621814,0.09892896562814713,0.13067832589149475,0.15784361138939856,0.18788917794823695,0.2839939594268799,0.0012445994792506098,0.00015866270405240357,0.000743929500458762,0.0036584550165571265,0.008235153425484896,0.008253470063209534,0.011117639916483313,0.0009317003423348069,0.00574705726467073,0.03764734528958797,0.04792014107108171,0.15380993485450745,0.11922117419540883,0.09201774001121521,0.11955812573432922,0.14365947991609573,0.14871924445033075,0.1518460363149643,2.4014078311831577,1.8522051904033943,2.3524165886368937,2.972871836164901,3.0373498666502807,3.0564758975950936,2.4014078402519226,1.8522051572799683,2.352416515350342,2.9728718042373656,3.037349774837494,3.056475877761841,-3.492459654808044e-11,-2.1420419216156006e-08,2.9103830456733704e-11,6.181653589010238e-09,7.451162673532962e-09,7.508788257837296e-09
N4,8,4,100,0,100,0,2400,2500,2400,0.1320158065110445,0.0977524071931839,0.13283181190490723,0.1632591001689434,0.17181230679154397,0.17227070033550262,0.0009902650286676361,0.0001862139906734228,0.0006408635526895523,0.0024478562525473532,0.005802764641121031,0.005978692322969437,0.010349302415270357,0.0014728133101016283,0.005965476855635643,0.03724828995764255,0.059383943490684085,0.06902261078357697,0.12067623853683472,0.09029947966337204,0.12263910099864006,0.14305335506796837,0.1459687560796738,0.1499701291322708,2.365785660037775,1.8753735967200207,2.2933149971232174,2.901635616257712,3.0735703281095903,3.1146358983719296,2.3657856512069704,1.8753736019134521,2.2933149337768555,2.901635503768921,3.0735702085494996,3.114635944366455,5.30271790921688e-10,-7.392372936010361e-09,4.94765117764473e-10,5.86005626246333e-09,7.167109288275246e-09,7.916241884231567e-09
N4,9,4,100,0,100,0,2400,2500,2395,0.12550346076488494,0.0806223601102829,0.12455668672919273,0.1508518449962139,0.1688215613365176,0.21974332630634308,0.0011233917991921771,8.63428576849401e-05,0.0007533830357715487,0.003558401262853294,0.005048770620487631,0.005190038587898016,0.009492835898417979,0.0012309611774981022,0.006345279514789581,0.02400466026738284,0.04077159482985769,0.10638275742530823,0.11488723330199718,0.07718916237354279,0.11267265677452087,0.1372652158141136,0.14880234748125076,0.15026797354221344,2.484169198638037,1.8484021470956793,2.493707560660572,2.990647965899094,3.179109878068873,3.6436466123652456,2.487807494401932,1.8716561794281006,2.4937076568603516,2.9906479477882386,3.1791097855567956,3.643646478652954,-2.347223926335573e-10,-6.51925802230835e-09,-9.313225746154785e-10,5.023321136832233e-09,7.925555109977727e-09,8.847564458847046e-09
N4,10,4,100,0,100,0,2400,2500,2400,0.12789305701851844,0.08798187226057053,0.12856029719114304,0.15614363104104995,0.205922882705927,0.2294256091117859,0.0009453413942537737,0.0001507040433352813,0.0007876473828218877,0.0023087762063369152,0.0030751384934410452,0.0030902884900569916,0.009999783786479383,0.0010164014529436827,0.0055648875422775745,0.02799572758376598,0.1028780868649483,0.10853559523820877,0.11694793157279491,0.08382919430732727,0.11766552552580833,0.1425925426185131,0.15009419798851015,0.15306103229522705,2.4550291223161076,1.8375021147786665,2.390251843158654,3.041527255820132,3.293584359050233,3.3550364221488156,2.455029114484787,1.8375022411346436,2.390251874923706,3.0415273666381832,3.2935842347145083,3.355036497116089,2.649903763085604e-10,-7.683411240577698e-09,8.731149137020111e-11,6.81320670992136e-09,7.28701706975699e-09,8.381903171539307e-09
F48,1,4,100,0,100,0,2400,2500,2400,0.13699554868042468,0.1010408028960228,0.1340358555316925,0.1735701732337475,0.2127826869487766,0.2835404872894287,0.0013409716775640845,0.00018465425819158554,0.0009206025570165366,0.0035810322733595946,0.006947249327786276,0.008854210376739502,0.011168086056131869,0.0006822175346314907,0.006353119621053338,0.02504801154136654,0.0732975257933144,0.1547127068042755,0.12448649019002915,0.089842788875103,0.12560584396123886,0.15038599595427513,0.1525848600268364,0.15774312615394592,2.2963063782977344,1.7829619037385918,2.2391483624568607,2.8824150530036983,2.944582682122434,3.130468439133629,2.296306382417679,1.7829619646072388,2.2391483783721924,2.882414972782135,2.9445825505256664,3.1304683685302734,7.566995918750763e-10,-7.8580342233181e-09,1.3387762010097504e-09,6.199115887284277e-09,8.551287464797554e-09,1.955777406692505e-08
F48,1,8,100,64,36,64,864,964,852,0.03433420546352863,0.0016162216197699308,0.0236829100176692,0.07265743911266327,0.07560446903109552,0.07936631143093109,0.010843482494383352,9.098828013520688e-05,0.008047129027545452,0.037173893116414544,0.04587384190410376,0.047816209495067596,0.0015177339874207973,0.0,0.0,0.007954169809818265,0.009889411507174463,0.02721320651471615,0.02197298899292946,0.0,0.0,0.06737827807664871,0.07380350656807423,0.0753554105758667,1.652962831673181,0.0,0.0,5.05675454540334,5.733149289800309,6.343736094528764,4.652134397029877,3.732313632965088,4.602677822113037,5.37085223197937,5.8548409652709985,6.343736171722412,-1.1204974725842476e-11,-3.259629011154175e-09,0.0,2.337037585675716e-09,2.914457581937315e-09,3.3178366720676422e-09
F48,2,4,100,0,100,0,2400,2500,2400,0.13657590471208095,0.0994345173239708,0.1338188797235489,0.16922081038355824,0.2334804104268551,0.23735596239566803,0.0011703700225916692,0.00018018073751591146,0.0008393256284762174,0.002880191826261578,0.0051906079100444945,0.005773622542619705,0.01121042132144794,0.0008240335737355053,0.005875774659216404,0.03207930121570824,0.11736687451601034,0.12789049744606018,0.12419511370360851,0.09303339570760727,0.1220708042383194,0.147304929792881,0.15543935641646386,0.15796585381031036,2.2983344459120207,1.780447926923479,2.304000659052885,2.7178883429491023,2.7669005475806294,3.0231079599123816,2.298334447145462,1.7804479598999023,2.304000735282898,2.7178883790969848,2.766900458335878,3.0231077671051025,-3.355671651661396e-10,-8.32369551062584e-09,-2.3283064365386963e-10,6.065238267183303e-09,7.450580596923828e-09,7.450580596923828e-09
F48,2,8,100,78,22,78,528,628,523,0.02918386253528297,0.0013896580785512924,0.01868122722953558,0.07202892154455184,0.09850307367742064,0.10453061759471893,0.013657588891983324,5.872831025044434e-05,0.009668822400271893,0.03931249491870402,0.046501384899020205,0.04827771335840225,0.0014610584830006702,0.0,0.0,0.007830524374730884,0.01786943718791023,0.04709548130631447,0.014065215215086937,0.0,0.0,0.06829320304095744,0.07941763274371627,0.08643835037946701,0.975788881297371,0.0,0.0,4.7742684736334065,5.119985008594817,5.202362225152324,4.545239772796631,3.2537636756896973,4.5333027839660645,5.232063245773316,5.668526492118836,5.796394348144531,-5.47879608348012e-11,-3.958120942115784e-09,0.0,1.2601958587765689e-09,2.1001324057579064e-09,2.561137080192566e-09
F48,3,4,100,1,99,1,2376,2476,2376,0.13808738301508128,0.0128641901537776,0.13604522496461868,0.18310852497816085,0.23533771812915835,0.30084747076034546,0.0013609516501310282,0.00012462155427783728,0.0008751270943321288,0.004342330200597642,0.00700338332913819,0.0128641901537776,0.012899436881998554,0.0,0.007230154238641262,0.04039698392152786,0.11068446353077926,0.18421007692813873,0.12382699459791184,0.0,0.12408842891454697,0.14777779206633568,0.1514978598058224,0.1536889523267746,2.2549281724519563,0.0,2.2582439149624087,2.730457640145667,2.8147817839029767,2.8597056535790197,2.2810915434360504,1.8299949169158936,2.266532063484192,2.7304576635360718,2.8147817325592044,2.859705686569214,-1.1496013030409813e-10,-9.080395102500916e-09,-7.275957614183426e-10,6.170012056827545e-09,7.810303941369062e-09,8.847564458847046e-09
F48,3,8,100,78,22,78,528,628,523,0.024946233766968362,0.0008157668053172529,0.012399115599691868,0.07810100950300694,0.08682166889309884,0.08858981728553772,0.009449854058075288,4.809967867913656e-05,0.006277382140979171,0.03330536521971225,0.04302149794995787,0.047563470900058746,0.0018045792041812092,0.0,0.0,0.01430231486447155,0.021297784335911323,0.030845172703266144,0.013691800460219384,0.0,0.0,0.065721170976758,0.07399528674781322,0.07440854609012604,0.9933619171595801,0.0,0.0,4.753676103424123,5.091585065748795,5.118993965933379,4.602849082946777,3.737884998321533,4.552456855773926,5.277531480789184,5.980649681091309,6.174077033996582,4.449248081073165e-11,-3.899913281202316e-09,0.0,1.933949533849954e-09,3.684544935822496e-09,5.413312464952469e-09
F48,4,4,100,0,100,0,2400,2500,2400,0.13634386323392392,0.10521283745765686,0.13636594265699387,0.16217877268791198,0.16942457452416423,0.17396488785743713,0.0011495506508799735,0.0001626646553631872,0.0007615186041221023,0.0027341097942553457,0.006076883231289715,0.011885374784469604,0.009444013222819195,0.001195122953504324,0.006746693514287472,0.028243350330740203,0.034381279051303906,0.04261494055390358,0.1257502992451191,0.09831254184246063,0.12558916211128235,0.1479956716299057,0.150149362385273,0.15224289894104004,2.2666272149127904,1.8473768501387962,2.2394455023255238,2.7280575555583093,2.833376468789523,2.860774135318452,2.2666272068023683,1.847376823425293,2.239445447921753,2.728057527542114,2.8333765864372253,2.860774278640747,1.151056494563818e-10,-7.916241884231567e-09,4.656612873077393e-10,6.184563972055911e-09,7.455237209796908e-09,7.916241884231567e-09
F48,4,8,100,86,14,86,336,436,323,0.020501324130455034,0.001266553532332182,0.007299231365323067,0.0747595015913248,0.13881715014576917,0.14733098447322845,0.008943817883118755,8.057845116127282e-05,0.00465118233114481,0.026353772450238448,0.047382434308528905,0.048493772745132446,0.0027181982091860845,0.0,0.0,0.005599468783475458,0.08264305524528028,0.08370234072208405,0.008839308060705662,0.0,0.0,0.06615260019898414,0.07253368735313417,0.07647082954645157,0.6174629228239497,0.0,0.0,4.443077854860885,5.218664592039909,6.611504542781189,4.594175786972046,3.3204360008239746,4.593539476394653,5.3316086769104,5.713396048545842,6.611504554748535,-2.255546860396862e-11,-3.3760443329811096e-09,0.0,4.954927135258913e-10,3.1065428629517665e-09,5.238689482212067e-09
F48,5,4,100,0,100,0,2400,2500,2398,0.13590298026800154,0.09521980583667755,0.13427097350358963,0.15833644121885299,0.23468933850526832,0.2801331877708435,0.0011736000741075258,0.0001637419918552041,0.0008161615405697376,0.003588180546648799,0.006350688003003605,0.007938141003251076,0.010635098842903971,0.0004335836274549365,0.005231016781181097,0.028661470394581553,0.1036971721798185,0.1715776026248932,0.12409428127110005,0.09222449362277985,0.12212053686380386,0.14701886028051375,0.14866733625531198,0.1519261598587036,2.2945393220108645,1.851228288434344,2.3030709966113108,2.732789752712558,2.986971980452849,3.0496238212826356,2.295057532787323,1.8512282371520996,2.3030710220336914,2.732789731025696,2.9869719386100773,3.049623727798462,7.989001460373402e-11,-8.381903171539307e-09,-4.3655745685100555e-10,7.363269105553625e-09,8.403731044381913e-09,1.9208528101444244e-08
F48,5,8,100,90,10,90,240,340,237,0.018865335058071652,0.000950426037888974,0.010207352228462696,0.06905150152742862,0.09612239569425628,0.18293257057666779,0.01078622281394928,4.629179238690995e-05,0.006461515557020903,0.03559721745550632,0.04646744459867478,0.04747563600540161,0.0016889682738110423,0.0,0.0,0.002223543054424225,0.028387264851481176,0.11633621901273727,0.006390144005417824,0.0,0.0,0.0633409459143877,0.0704178061336279,0.07090975344181061,0.4413225798739,0.0,0.0,4.256906588725108,4.988711936114481,4.989047597270642,4.640542840957641,3.329977512359619,4.618942022323608,5.257116413116455,5.661185684204103,5.965145111083984,-3.510649548843503e-11,-3.4924596548080444e-09,0.0,0.0,3.14321368932724e-09,3.14321368932724e-09
