endpoint,panel,metric,denominator,baseline_success_denominator,lost,gained,unchanged_success,unchanged_failure,loss_rate_among_baseline_success,paired_identity_root
Middle-B060,cohort_B007,RS,100,100,0,0,100,0,0.0,ea82a86f1d3d97c33a26df1e2596dfc3f8b0377de4f4e0e75b860767ff19907c
Middle-B060,cohort_B007,PS,200,192,1,0,191,8,0.005208333333333333,5b91482ed81a97ef1b7a754a8698bf814f1761f1ec41957093212698c67ae44a
Middle-B060,cohort_B007,NS,1000,692,13,9,679,299,0.01878612716763006,3ba34b653a6b82f8364f5c3a0d07e73342b33c95173bf751d8577c3666b61c0d
Middle-B060,cohort_B008,RS,100,99,0,0,99,1,0.0,e346bc56d1127e5a814e0992ba4ec4f24c8a0dc7a33bc55471dd2fd813b8a948
Middle-B060,cohort_B008,PS,200,192,0,0,192,8,0.0,7cd4089a2464dc44759e5ff71a1521d99309b752aeae609d890ccdc0bb10a5ba
Middle-B060,cohort_B008,NS,1000,698,8,11,690,291,0.011461318051575931,a33d0423121ee3663113c7d90bc6e928337bfa47ea6465b9284bdc82c2a45b33
Middle-B060,cohort_B009,RS,100,98,0,0,98,2,0.0,06461ab5a452c975217823a1c46a8369bc93d33f74852671bdc2d743a405755a
Middle-B060,cohort_B009,PS,200,192,1,0,191,8,0.005208333333333333,70d873f7102d88ac7bf6eb6a7a3213f2c4cd936c71974c2df0cf8762818cba75
Middle-B060,cohort_B009,NS,1000,672,9,4,663,324,0.013392857142857142,1bff0db10cf9e8bc9a05440e4d2edf02d55fbe64b98800a1006b56daff8ab34f
Middle-B060,cohort_B010,RS,100,99,0,0,99,1,0.0,405a4640068e9bdaf98e18e00194111e0768da355a0fea4ee431d0acd7c93747
Middle-B060,cohort_B010,PS,200,186,0,2,186,12,0.0,818854449097de6920143ef255347cdc42975cae3f8ea02cb6ecef245cf2d290
Middle-B060,cohort_B010,NS,1000,663,6,6,657,331,0.00904977375565611,d01dab36f99ad680f02407f038a38c17b896e95f886a31b3eef944eaf5564028
Middle-B060,cohort_B011,RS,100,100,0,0,100,0,0.0,5586ead8aaf339e3415e00cb6afc5e1ee5cf490824b31cb7e62b4b8988feb8e2
