endpoint,panel,metric,denominator,baseline_success_denominator,lost,gained,unchanged_success,unchanged_failure,loss_rate_among_baseline_success,paired_identity_root
Middle-B060,cohort_B052,PS,200,194,0,1,194,5,0.0,12cfda0322ed1171e91d84f004180d5d9c1c3a85d47f8eb3514705edf2eae585
Middle-B060,cohort_B052,NS,1000,714,10,9,704,277,0.014005602240896359,b402fa043290f15891bfcc994854711478a5fa9ebbb37a8bc03b2f3c18a2421b
Middle-B060,cohort_B053,RS,100,100,0,0,100,0,0.0,056d9225e9be0983e73eaa4b41f5d710bfb77e3fc70fe05bf198df32e90f87ee
Middle-B060,cohort_B053,PS,200,191,2,0,189,9,0.010471204188481676,99018687615449aadca03e43740652fd85b7f4b610e7d5fd2209be1fee242cec
Middle-B060,cohort_B053,NS,1000,678,5,9,673,313,0.007374631268436578,ea7b734406ac0576d7e76b8ce7f962db0f006cfa9ae0fd5b91711aaf8328199e
Middle-B060,cohort_B054,RS,100,100,0,0,100,0,0.0,6f4cba99f8eff70c4a321ce628a490422b14938aa57b75c220d660bf927b5e5c
Middle-B060,cohort_B054,PS,200,195,0,2,195,3,0.0,c9d80c8f4c0ad92e3561b180817c789ced4dbadee0c30eacdfe9e41c42f708d2
Middle-B060,cohort_B054,NS,1000,717,6,4,711,279,0.008368200836820083,c4c34ebb44bd94d240b726bd45ba39dc650d904f9940dca837be189b960e21c3
Middle-B060,cohort_B055,RS,100,100,0,0,100,0,0.0,67a6df7240c245188db88ba563b065c1c5f7560b20a14bbc2ad99679241d3a0b
Middle-B060,cohort_B055,PS,200,194,0,0,194,6,0.0,b11219362d0370ed145f34daa0637654dc976a34132d2569f0241c3a66faa91e
Middle-B060,cohort_B055,NS,1000,755,10,10,745,235,0.013245033112582781,8fd38ff40344cdd1bc01497d8e95980a6aa83922e547e52cc966a6258a54ab32
Middle-B060,cohort_B056,RS,100,100,0,0,100,0,0.0,106cde5ae5c9629f122e0dd4e34fc7f228094ee86f0559d417d5a372b8cbe774
Middle-B060,cohort_B056,PS,200,188,2,3,186,9,0.010638297872340425,34ff470976d572700a207724284de3554fc2973d89e554140e0169465591418c
Middle-B060,cohort_B056,NS,1000,693,7,6,686,301,0.010101010101010102,ba0b7d514fee32caeab4477917d8530ff4bdb41bb58e7b5c12dec513c2ec5bb7
Middle-B060,cohort_B057,RS,100,100,0,0,100,0,0.0,32f63db999509de02a606be007551c334b80b49d365a58e657e18362a5fe51a8
Middle-B060,cohort_B057,PS,200,197,0,0,197,3,0.0,3a399f214e70749559f09879d0943e7dfe21901b822e030e1e97e85afc306735
Middle-B060,cohort_B057,NS,1000,727,4,5,723,268,0.005502063273727648,664398b5019f5d21669660ec3c4918e78ae21164980d2f1f88614bee144dfd67
Middle-B060,cohort_B058,RS,100,100,0,0,100,0,0.0,44889aec72260d118eae01b3f52dd9e21fbdb9f19ed85a261dcd3cb4479a61ca
Middle-B060,cohort_B058,PS,200,194,0,1,194,5,0.0,8ecc42a603e2b8a3692bd462d14128366ca157a7651667dc11c74dc32ba01b7a
Middle-B060,cohort_B058,NS,1000,698,6,10,692,292,0.008595988538681949,ae65216761aaaae59db86113f87db94c6e08fcc8f4c45230a7a0760a50c4318d
Middle-B060,cohort_B059,RS,100,100,0,0,100,0,0.0,4a49274c288acaa5fe5672da0d0f5f14b9159c44f50975cb9f7162774bb9cf09
Middle-B060,cohort_B059,PS,200,194,0,2,194,4,0.0,846a01da0137c226a05ba191e3585f8de70bf33a93168e19fdcfebb9027947de
Middle-B060,cohort_B059,NS,1000,678,11,11,667,311,0.016224188790560472,cce12e5df7b77c4113d827fe6a9c779e5ea8f7a56d0bfee5e3da74e2371c8676
Middle-B060,cohort_B060,RS,100,100,0,0,100,0,0.0,e396f5d5b066d8710c0cde351d21f5da1e8e61b05cf89822cb55a58344f0ddf3
Middle-B060,cohort_B060,PS,200,195,1,2,194,3,0.005128205128205128,58ee1c03f40b09f60304f8d500a22c34a69c4f2f60a9156aac4c3e3611bdc018
Middle-B060,cohort_B060,NS,1000,734,12,4,722,262,0.01634877384196185,6263c5376db043891f3bb5a297dc5f64817242e80321eac05dccccdcfb708f5e
Middle-B060,active,RS,5903,5894,0,0,5894,9,0.0,7cbb58d55e7f3211b370b801fca46a12002236379eebca351f9a587c43eecbf8
Middle-B060,active,PS,11806,11459,19,27,11440,320,0.0016580853477615848,d1c6f3b5b2d9a9897427c6c32fded24c7238431fa309c3414088ddb445144dcc
Middle-B060,active,NS,59030,40993,405,417,40588,17620,0.009879735564608591,ec12ecc949bc506c97b19fad6bf7c1c6cdcefd7dcc54c6904a8276e5783b14bc
Middle-B060,superseded_conflicting_target,RS,96,89,0,0,89,7,0.0,2fdf44f9a931c0f9844532bf42010e9c3593fec676be138fb7b34be498fe721a
Middle-B060,superseded_conflicting_target,PS,192,135,1,4,134,53,0.007407407407407408,7aa657a68b8eed787d42ca0b7b244d789c45c4acaa827e62d46d9729a2f6bce0
Middle-B060,superseded_conflicting_target,NS,960,623,11,11,612,326,0.01765650080256822,5b0896f0e2807c7c5d1077f55ad8f5b4c44b6084a075233f677e19de135443cd
Middle-B060,superseded_same_target,RS,1,1,0,0,1,0,0.0,135b246439fe11c80e7d8c8bf08ec0660e13f4c6215376e8183e9a1913e1e142
Middle-B060,superseded_same_target,PS,2,2,0,0,2,0,0.0,080beffffeff555c16b0265ff8297f89cd89c53277e1915095c0e4527bf62692
Middle-B060,superseded_same_target,NS,10,5,0,0,5,5,0.0,a5759f579a3a63b1bf759897756d5681700bf5b6f15924f9d9a0241096c6183d
Late-B100,fullseen,RS,10000,9939,4,4,9935,57,0.00040245497534963277,debcc277b6da90c4d4c6d2db12b0e154127cabc8e053d2d91c3a4a9795b9746a
Late-B100,fullseen,PS,20000,19136,41,51,19095,813,0.0021425585284280935,1005a5bdc22accfa744a740004129a554848f105198269618bc5d126de379a3e
Late-B100,fullseen,NS,100000,65348,770,737,64578,33915,0.011783069106935178,b14536e63ae78ce0144660c6a06be59b37bb2f92678788c00dc1fce6aee7e2df
Late-B100,Current100,RS,100,100,0,0,100,0,0.0,e1c52ba094bd3babebdc49d69338342f80d11a6933c3f19fe86901ce35e233d7
Late-B100,Current100,PS,200,194,2,1,192,5,0.010309278350515464,288f103f719a4a75bd24cdd2948d9f3c41ff03cd458daded0180901eaeaecaf7
Late-B100,Current100,NS,1000,655,11,9,644,336,0.016793893129770993,e5fdaf3995c4d3f0fbbd45b96da211e58accae7f87b6d0fc216c9eb262ba6cd1
Late-B100,entry_old,RS,9000,8943,4,4,8939,53,0.00044727720004472774,e68328749b9e63ed5e99c4aed44823d94ae27b80159cea230f2da8db7655f7c3
Late-B100,entry_old,PS,18000,17214,34,40,17180,746,0.00197513651678866,978394eb6857c265facaa9215acc53490e4219b5ec8fb2b48ac50c7e6eca5971
Late-B100,entry_old,NS,90000,58808,684,656,58124,30536,0.011631070602639097,d6263422b30c125a2bcd33f573641ea17dd537a941b4059f208f7e93f9d43f9e
Late-B100,new_window1000,RS,1000,996,0,0,996,4,0.0,6eaa663b980c1991c7ed6342a2e4a2f1e029f116bcf2ba4af427b4d5bce83e59
Late-B100,new_window1000,PS,2000,1922,7,11,1915,67,0.0036420395421436005,2d9c79f57751d104f14ed5b3f2f41519e52279ecb40aa9680bd82cf6ea4d477b
Late-B100,new_window1000,NS,10000,6540,86,81,6454,3379,0.013149847094801223,bd1844f652c1da21421fb0d0f918def886ecadfe4e353a7143f540ad4762b871
Late-B100,cohort_B001,RS,100,99,0,0,99,1,0.0,49dcd388134977ec9465eef8214be6ccbdebd4bd0c5884a3d18cd133ec527dfb
Late-B100,cohort_B001,PS,200,187,2,0,185,13,0.0106951871657754,493cef47a5752a69076369bdf91baa2ec97c6394ea848595c5c3a93bf36dc298
Late-B100,cohort_B001,NS,1000,662,9,5,653,333,0.013595166163141994,14c747acd2980043b20f8f6d4b53065e1eafeda2e4a1ab0b3a72c4b6fc21568d
Late-B100,cohort_B002,RS,100,98,0,0,98,2,0.0,34f45a184a4f2d800ac9147de94c96cf41d77f58dff43c76e409ea8b4fccb7b4
Late-B100,cohort_B002,PS,200,187,0,0,187,13,0.0,87119ceff4f02bcdc6d963c4cccc69065218f6c44d70381aaa363dc49aafd29e
Late-B100,cohort_B002,NS,1000,624,9,6,615,370,0.014423076923076924,f9288c39d3305f3dc864cbf4ae7f4662434a0d1ffee780f1fd6cdf9d21814c51
Late-B100,cohort_B003,RS,100,100,0,0,100,0,0.0,a9e57d6127055d490cb039f2ffd262ac59e40d7809f67ac108d74380dad3e949
Late-B100,cohort_B003,PS,200,188,1,0,187,12,0.005319148936170213,7261748b30e6bcccaf23366a799ab25ce8b3e644339a4d7d171a99ecdfe66979
Late-B100,cohort_B003,NS,1000,617,8,6,609,377,0.012965964343598054,6cc8dbb56352e37a806827bc689575b48af22aee671d67229a9a298d14d268ba
Late-B100,cohort_B004,RS,100,99,0,0,99,1,0.0,f6146d6b202da50176348907fc700e1084e68ea2b61948280bec3ef52f911ab9
Late-B100,cohort_B004,PS,200,188,0,1,188,11,0.0,51cc363e36cb5cf54f95f7b44560c5a890dad8555c49a62b7b8ac221ce628995
Late-B100,cohort_B004,NS,1000,569,9,9,560,422,0.015817223198594025,e4ae7f045b04872242c0db34b372e10eb73431a270bb7b73bb49be417093397e
Late-B100,cohort_B005,RS,100,99,0,0,99,1,0.0,6f576ce7f98caa83185c379c5ceddb04020335e2b27bafd8258e04b2b379ca9e
Late-B100,cohort_B005,PS,200,190,0,0,190,10,0.0,f3ed95746148732f2879f22b34e78eacd41bced9367ce2972e1a57e14bc93934
Late-B100,cohort_B005,NS,1000,610,7,10,603,380,0.011475409836065573,5520621b38ff1ad76b9c3b272267cbdc44bf4eb6272a1ae177b9df5f1fd50d16
Late-B100,cohort_B006,RS,100,100,0,0,100,0,0.0,77783166243e214602119651cd5390022998760b59166a395335011fbd612401
Late-B100,cohort_B006,PS,200,189,0,1,189,10,0.0,e03a585cb704a7d0f0d57ecd3f79232a6160fdd96797b5c4524077deb52b411d
Late-B100,cohort_B006,NS,1000,621,6,7,615,372,0.00966183574879227,9b51c59b432136c37ecbad7dcfad9840974fb33cbdcbdcc71e4cec5b80cab320
Late-B100,cohort_B007,RS,100,98,0,0,98,2,0.0,ea82a86f1d3d97c33a26df1e2596dfc3f8b0377de4f4e0e75b860767ff19907c
Late-B100,cohort_B007,PS,200,191,0,1,191,8,0.0,5b91482ed81a97ef1b7a754a8698bf814f1761f1ec41957093212698c67ae44a
Late-B100,cohort_B007,NS,1000,640,9,8,631,352,0.0140625,3ba34b653a6b82f8364f5c3a0d07e73342b33c95173bf751d8577c3666b61c0d
Late-B100,cohort_B008,RS,100,99,0,0,99,1,0.0,e346bc56d1127e5a814e0992ba4ec4f24c8a0dc7a33bc55471dd2fd813b8a948
Late-B100,cohort_B008,PS,200,190,1,1,189,9,0.005263157894736842,7cd4089a2464dc44759e5ff71a1521d99309b752aeae609d890ccdc0bb10a5ba
Late-B100,cohort_B008,NS,1000,677,10,10,667,313,0.014771048744460856,a33d0423121ee3663113c7d90bc6e928337bfa47ea6465b9284bdc82c2a45b33
Late-B100,cohort_B009,RS,100,97,0,0,97,3,0.0,06461ab5a452c975217823a1c46a8369bc93d33f74852671bdc2d743a405755a
Late-B100,cohort_B009,PS,200,188,0,0,188,12,0.0,70d873f7102d88ac7bf6eb6a7a3213f2c4cd936c71974c2df0cf8762818cba75
Late-B100,cohort_B009,NS,1000,611,7,11,604,378,0.011456628477905073,1bff0db10cf9e8bc9a05440e4d2edf02d55fbe64b98800a1006b56daff8ab34f
Late-B100,cohort_B010,RS,100,98,0,0,98,2,0.0,405a4640068e9bdaf98e18e00194111e0768da355a0fea4ee431d0acd7c93747
Late-B100,cohort_B010,PS,200,185,0,0,185,15,0.0,818854449097de6920143ef255347cdc42975cae3f8ea02cb6ecef245cf2d290
Late-B100,cohort_B010,NS,1000,627,9,5,618,368,0.014354066985645933,d01dab36f99ad680f02407f038a38c17b896e95f886a31b3eef944eaf5564028
Late-B100,cohort_B011,RS,100,98,0,1,98,1,0.0,5586ead8aaf339e3415e00cb6afc5e1ee5cf490824b31cb7e62b4b8988feb8e2
Late-B100,cohort_B011,PS,200,186,0,3,186,11,0.0,69350125316ef3371e7c5b6caa1ebeaa84473dfd6266524c0633af26dee93181
Late-B100,cohort_B011,NS,1000,625,6,7,619,368,0.0096,2a1e8235712417fe6adebfc452ca34ae46cc6ae98b381ec54faf4ae1e8334519
Late-B100,cohort_B012,RS,100,98,0,0,98,2,0.0,8a4508a439931acf66d9b34db7ed4b1253747b2f8fd4a18b9ee86d6025660239
Late-B100,cohort_B012,PS,200,186,0,1,186,13,0.0,8120804312ab51fa1bcb657ed11a2755903f9c07d6411009d4b428a3631e442e
Late-B100,cohort_B012,NS,1000,699,3,3,696,298,0.004291845493562232,51f2281f5f50645165d49ea14d16be1d311f3b0a3834efabf411ef7888f718fe
Late-B100,cohort_B013,RS,100,99,0,0,99,1,0.0,b2c5a815ab7636c16cb4f31ba8235baf270f9668cc2b89a47437b71959542d61
Late-B100,cohort_B013,PS,200,187,0,0,187,13,0.0,4023172df970706ace1d259336b1e43fb6ff86ed13a50e1fb857b24b0e6ba890
Late-B100,cohort_B013,NS,1000,678,9,8,669,314,0.01327433628318584,e27f05c9c91f6aec80237bc0ddf57996328d10852d1e681ba1dd3041726b20b2
Late-B100,cohort_B014,RS,100,98,0,0,98,2,0.0,a5336d47006f816a8337f25d9cfc13c4ca3bc575015164f34d39d2f466041e6f
Late-B100,cohort_B014,PS,200,182,0,1,182,17,0.0,972e2f3abb0860fbf6fcd7a5f9f2b0425e438af4de3a1fc0799e562c43a0bbfb
Late-B100,cohort_B014,NS,1000,652,8,6,644,342,0.012269938650306749,8de118edb2a7ca3932bd75720f5ec6f7af5b9d58bbb3b99c08f4cbf1b847a970
Late-B100,cohort_B015,RS,100,99,0,0,99,1,0.0,2334412f6ba151219fb4f69dbd3af61d1bf4cd51724d6129466ecd3a439d3b20
Late-B100,cohort_B015,PS,200,195,0,0,195,5,0.0,8a4178416c9877d14d1e501d8a942d1b7150b38475e69abb0a9265aac556a09a
Late-B100,cohort_B015,NS,1000,634,4,7,630,359,0.006309148264984227,ddf8c88cf4d77db081ef6c3a23f55afa70e9d2fdf94b9d028841688fda02c7ba
Late-B100,cohort_B016,RS,100,99,0,0,99,1,0.0,eb3f1aa457fb2ed749a0e09ce6152e804145a7e0d86421d4721bc4bb1ad5d68b
Late-B100,cohort_B016,PS,200,193,0,0,193,7,0.0,6471ddc30c57a673a45063a83e5143e831718f094e615cbb366fbaaf88f94280
Late-B100,cohort_B016,NS,1000,576,6,9,570,415,0.010416666666666666,174545a93a3ff663be2983cb9c86247760a2290506846adfceb3df3b407b9602
Late-B100,cohort_B017,RS,100,98,0,0,98,2,0.0,43829a921be0a255ea1b0029d8791cefc96f9b51755dad17a01def56781152cb
Late-B100,cohort_B017,PS,200,190,0,2,190,8,0.0,b72a61b26e45a6de1a4feedd90dfa34d5390958c60a78dd510f88a8dfdd3c8d5
Late-B100,cohort_B017,NS,1000,646,5,7,641,347,0.007739938080495356,52ac0c9619880f8db7a4f3c6e3d6fba6c5e338e0a696c6272981cc00f06a4ea2
Late-B100,cohort_B018,RS,100,100,0,0,100,0,0.0,af590a06e0638ecc6b65612ace474fec8a591315c1c670748e22799d27a5686d
Late-B100,cohort_B018,PS,200,190,0,0,190,10,0.0,7097e4952a1cdcbce714736370f77acdd4ca62353d872074f7255f0574cbf3f0
Late-B100,cohort_B018,NS,1000,651,7,8,644,341,0.010752688172043012,e4539ef84a69445ecc3445cebf08b11baa06865c77fe18b7770c2be72332fbdb
Late-B100,cohort_B019,RS,100,99,0,0,99,1,0.0,c991d9dcdb0dd87347fd12f3efeabb3ea4353d9e69931e38de972b59ee478c75
Late-B100,cohort_B019,PS,200,189,0,0,189,11,0.0,674496b4f0e1a7fb29eb78c5b80341c9db21122bc52ade86793aec7d2c431581
Late-B100,cohort_B019,NS,1000,695,6,6,689,299,0.008633093525179856,ca65df04c266de2713e707c660a6e17b6333b4c424ea66a3476374fc5c653294
Late-B100,cohort_B020,RS,100,98,0,1,98,1,0.0,63d20874297631c94c9dee8d48fcdb613ad0f997c7cc2a15b20af58e4fee4d84
Late-B100,cohort_B020,PS,200,190,1,1,189,9,0.005263157894736842,f12817246d30f70c0ccd477f2a8c3b916a5981f486b969748a77f87c8861ea17
Late-B100,cohort_B020,NS,1000,674,6,9,668,317,0.008902077151335312,8eff0c5c987ccbf0b446d4778fec4400738c904928ae52f18d45edddb80d1c75
Late-B100,cohort_B021,RS,100,100,0,0,100,0,0.0,713ca2a951bc8d6a87824c372ad4c561c361883185e36b39800999ef7091bfc7
Late-B100,cohort_B021,PS,200,189,0,0,189,11,0.0,b9a0d205b88ea70e4e0cefde38337111ca7e705bead54a867d03407f4df21f55
Late-B100,cohort_B021,NS,1000,682,4,6,678,312,0.005865102639296188,fe93c1a89b557fff38b8e748c0fdd6cd7fa462625f8aa7b7d3def37972f89a2f
Late-B100,cohort_B022,RS,100,99,0,0,99,1,0.0,a9f6e04687f4199896f99bb5029a4f899a0632f7024a3adc469025a1acf7f634
Late-B100,cohort_B022,PS,200,192,0,0,192,8,0.0,56925fa1692ff6f7211c7e63d9e19b2b077493d45e78156815e5ed2c4fc42231
Late-B100,cohort_B022,NS,1000,672,10,3,662,325,0.01488095238095238,a7097b081ab1c2f13c82f6376197f4c23c3034d48c728fad0ec9d3e8ed603bdb
Late-B100,cohort_B023,RS,100,100,0,0,100,0,0.0,13500b7901116a8b9a3d6ec06f931aeb1403cd18f22b795cf69900bedaa52de3
Late-B100,cohort_B023,PS,200,191,1,0,190,9,0.005235602094240838,22743480250fa49ef87639ab1f7e50f2d681c52f0b5cf0deeb446b186fa60507
Late-B100,cohort_B023,NS,1000,630,8,4,622,366,0.012698412698412698,91fcdd0063d73944af3d2d8578b14043bf15de4f17df312e6f5f7cc04067317f
Late-B100,cohort_B024,RS,100,100,0,0,100,0,0.0,4ce7b7a1be0f74b14a918cff80b9b3b48d3441c83ab5fcd805e62d4ef4c9c437
Late-B100,cohort_B024,PS,200,186,0,0,186,14,0.0,3f38a67c60a30782512f4c02c63f0a645cbed76c762f95d765c0625ee5db6bc6
Late-B100,cohort_B024,NS,1000,665,3,13,662,322,0.004511278195488722,d3f8380f7d96d86239e0b37378c6863ed296e4e9d6a28e9e8434a2cbf3f4ead3
Late-B100,cohort_B025,RS,100,98,0,0,98,2,0.0,616073bef482160e47c9e0ef779b4135eece514fcaa50f52ba003f6146ad669f
Late-B100,cohort_B025,PS,200,196,0,1,196,3,0.0,5f021bc933d10afd4f77384d52f2ae160085de6fad5ec5b3a9a9dc20d18994c3
Late-B100,cohort_B025,NS,1000,669,12,5,657,326,0.017937219730941704,4707e190f3ce4a787de5966a170ebddaaf2ca5e70e883d85a6e86ac4d61d5263
Late-B100,cohort_B026,RS,100,100,0,0,100,0,0.0,8cffbe36ac9a6fe77b057b4cacce70e4c2ca89099a66b4082d3d6d95585c866b
Late-B100,cohort_B026,PS,200,190,1,1,189,9,0.005263157894736842,ef93e102b75c6fd4ea3cab37bf9c077a8b4eb15a17d2f9ae0f9add32503450dc
Late-B100,cohort_B026,NS,1000,652,5,4,647,344,0.007668711656441718,a3fdd7d01662e771e25810eace4d17a7225baf10d81cfaef36e6d957db025e61
Late-B100,cohort_B027,RS,100,100,0,0,100,0,0.0,5225e7fb80f1891260ca3887ea2abe7c6714b5574111ee975404652c73cd5da8
Late-B100,cohort_B027,PS,200,192,0,1,192,7,0.0,a74947cf5187b8dcbcb47560bd79372f5532256d742925a8b6fc30c8de36fb78
Late-B100,cohort_B027,NS,1000,694,12,10,682,296,0.01729106628242075,3099bba3be537b21f941032300d20bef874a65bd9cf3bec9c317b9b140807122
Late-B100,cohort_B028,RS,100,99,0,1,99,0,0.0,bf0361f1d1cc31a8eb01eb017fe457942b12d65120e3d65e72dc69665c40d503
Late-B100,cohort_B028,PS,200,192,0,0,192,8,0.0,82a6c11a80d7360d858825526b019441cb4f63fa17c271f19d33f752eb520ead
Late-B100,cohort_B028,NS,1000,636,10,7,626,357,0.015723270440251572,fca62107b07907c80bfe3ebac6f776c1fe072c290e668e29dc1fcc6847e7145c
Late-B100,cohort_B029,RS,100,100,0,0,100,0,0.0,338016967635e081ff144a3507df04ca2a9d99f560fdbee27b20ed45bd04e74b
Late-B100,cohort_B029,PS,200,192,0,0,192,8,0.0,900436500c7fa0ab1de68e0e785b08ae331247f639b5b5227d162a70211880b7
Late-B100,cohort_B029,NS,1000,602,8,10,594,388,0.013289036544850499,8a997350ebe85cab2bac05f97c82cde1f63926c552c13e1c2ac27c1a2d841312
Late-B100,cohort_B030,RS,100,99,0,0,99,1,0.0,a14e90c70a22a765d9fea596b69a651d2cb803cffef745661382de5e34b36452
Late-B100,cohort_B030,PS,200,187,1,0,186,13,0.0053475935828877,c7188e4946ac5f75c142200b182990a2f19fd40b577ee4e6270ed7b182ba77f2
Late-B100,cohort_B030,NS,1000,647,10,7,637,346,0.015455950540958269,254b05351131b5fa25d2621e94559bfcd7a02b12cb0a89fd016112ce61e1c9a3
Late-B100,cohort_B031,RS,100,100,0,0,100,0,0.0,db5c5a8f8b6a32a6bb145524a2df6fc918363f458bb96ea656c8b3bd13876dce
Late-B100,cohort_B031,PS,200,190,1,0,189,10,0.005263157894736842,977d34d46825f0583ac0b4ca1c6bfe3cf235b21c062c4e5bf4a8302e9e7c49cf
Late-B100,cohort_B031,NS,1000,651,6,11,645,338,0.009216589861751152,15ff855efcf72998ff333490712d599a63cbd114cf6132000f8c664fd00c5119
Late-B100,cohort_B032,RS,100,100,0,0,100,0,0.0,b5c6eef2105b7fb98a1e2259cd4893c36a02ac710e04e32057f5ed887abeb3ba
Late-B100,cohort_B032,PS,200,197,0,0,197,3,0.0,72c04cde4c9fcea0b123b55e081fad72788590ba155290a0fb38818eb48acc19
Late-B100,cohort_B032,NS,1000,692,7,6,685,302,0.010115606936416185,7ee2b44c078e542568215352329a2c710a50cb3f750b57a8fac97caeac6fcdd0
Late-B100,cohort_B033,RS,100,97,0,0,97,3,0.0,8a00aae1df7b4b0d585fb38415d38afe37ac4246360ee4a1039da9f8f8311203
Late-B100,cohort_B033,PS,200,191,1,1,190,8,0.005235602094240838,99eebd39ff6980a27776644463c4cade75a4d08e8e361a9f0c9aaa579b8ebb06
Late-B100,cohort_B033,NS,1000,636,7,3,629,361,0.0110062893081761,ea36c288610d89d4f6d91bcf179297edd736d494730e728c3c722d654b4941bb
Late-B100,cohort_B034,RS,100,99,0,0,99,1,0.0,f3a275ac2dd4e38296f7c1dbe2734e4bb8ff6cc1dc5f884335e7a492389ff746
Late-B100,cohort_B034,PS,200,195,0,0,195,5,0.0,9988a69c99bd5a9842c67cc2ca98ceffaecf1b4b5395277f16703a35034e6176
Late-B100,cohort_B034,NS,1000,663,5,7,658,330,0.007541478129713424,ab98accc689245411d9aca84fecd5a9ca0c2fc848318278df8e39a289090b9c7
Late-B100,cohort_B035,RS,100,100,0,0,100,0,0.0,75cd3f03d2d488f352762566f04bcae2ca790eea74bb302f9282a5f3e33cd131
Late-B100,cohort_B035,PS,200,189,2,0,187,11,0.010582010582010581,4a82c085bbeab89ecb4b38d924d5a6d5f27ce6d9ff1e14df70d64775f1eae7c3
Late-B100,cohort_B035,NS,1000,651,4,12,647,337,0.006144393241167435,9cb579f4533ff1b9772d6c2567d51ff6732ebea3dcbaea2b7eb7d7f467741e9a
Late-B100,cohort_B036,RS,100,100,0,0,100,0,0.0,eb0ae0de1b519b98eea50eb177a9210ce1c07b844e435d9ce87ca279a4d52ba7
Late-B100,cohort_B036,PS,200,197,0,0,197,3,0.0,b42a8abc78051fa08c55d4c3449d238c4c01d67da0cf45498fd15ee8d5fb75df
Late-B100,cohort_B036,NS,1000,628,10,8,618,364,0.01592356687898089,964703f33bb04592bf99b5aa3b31b4171b15ddf68b2051d0c839512a4af9fb9b
Late-B100,cohort_B037,RS,100,100,0,0,100,0,0.0,e9c8a78602647bf27aceb1c1ccd0978d0005db01df343ea43ba9002b298c5654
Late-B100,cohort_B037,PS,200,194,0,0,194,6,0.0,7bc64c4fc4d50b1f952e40ec85346fcf158790c98d03134b67fa0c3dc56f45ac
Late-B100,cohort_B037,NS,1000,674,9,5,665,321,0.013353115727002967,d47dac9929191302e5974c904fa3f3309b450ff72e6a870e88b9947082251b67
Late-B100,cohort_B038,RS,100,100,0,0,100,0,0.0,e34fb3c93e573a98202e11198c14bb16db55848073541ff1c8debc5ce52c962c
Late-B100,cohort_B038,PS,200,186,0,1,186,13,0.0,219e40a40ceafa235a1a3837f5a0ef7c177fefef3c5e8272ed4e88f4d1f72408
Late-B100,cohort_B038,NS,1000,695,9,4,686,301,0.012949640287769784,4483431e223b3345713a4ca38b7637b20706585d62459b5732d7da457883fdee
Late-B100,cohort_B039,RS,100,100,0,0,100,0,0.0,352255617d34c780148d4e9c569a0a95ec137876c8f8e41ebe5108603cb1f143
Late-B100,cohort_B039,PS,200,193,1,0,192,7,0.0051813471502590676,8ffd16ee20baf5513e6ece81f409fb3a803d6db57db2a5934f50fff22b349662
Late-B100,cohort_B039,NS,1000,699,4,8,695,293,0.005722460658082976,676467cabd13d9cadc67338479f804cff95beafc40539ba5b71d00398902f2be
Late-B100,cohort_B040,RS,100,100,0,0,100,0,0.0,24e9dc00f43fc01880caffb5b0b5863d23e494c11c16b59640ddc576c8489fb3
Late-B100,cohort_B040,PS,200,196,0,0,196,4,0.0,8ede74599a54ea88e0af211d0a29b80ba6f036a5b42625cfeb7f70f4bc7228e4
Late-B100,cohort_B040,NS,1000,591,11,12,580,397,0.018612521150592216,ee1ec322f4a8f2d455fc30ac00759e50c5e4a4df10cc187d797b18f78ad8947e
Late-B100,cohort_B041,RS,100,100,0,0,100,0,0.0,8dcc6ef03c42bf3aa90b450cb88bba9018dacc01dbdc5e7b03e6fb51d28e61bf
Late-B100,cohort_B041,PS,200,194,2,0,192,6,0.010309278350515464,2fec1b9664808da93be42c0d46e65439d93e9fe99c30f265c08ddc62f97963fd
Late-B100,cohort_B041,NS,1000,657,10,8,647,335,0.015220700152207,56ae7637293a5ccece469cfb907083422c5b6b5f33e63ff89d853412d3fc9f55
Late-B100,cohort_B042,RS,100,100,0,0,100,0,0.0,56e437437a970d189421cb61b7f7ade5d43c8bbfe47f52ef7f4b26029485a073
Late-B100,cohort_B042,PS,200,192,0,0,192,8,0.0,84fa12cdd5dd056789b0386ab20c02556f484d05ff97ad309659bfbcdfa63046
Late-B100,cohort_B042,NS,1000,641,3,3,638,356,0.0046801872074883,aafe6c0f817651aa5a69927e9e881017fcd1230e43396479f9498de1b41bf828
Late-B100,cohort_B043,RS,100,98,0,0,98,2,0.0,210bced1a14659371d414553520f055663a7cb078fc14bcd408dfa93a17ec83b
Late-B100,cohort_B043,PS,200,192,0,1,192,7,0.0,678e336c0ac679dffe63607ab1e5ac04b9bdafbb58e55007bd4cd823727294f0
Late-B100,cohort_B043,NS,1000,666,10,6,656,328,0.015015015015015015,ae63f5eb60ec07015f847ecfc3a80f2a5c034abf5e98cd730cb2cf301fe4fc4b
Late-B100,cohort_B044,RS,100,100,0,0,100,0,0.0,fc7542b5ea8b7069cab5aa0de8bcc69d7d2e8c6ace1200db4c6389c54a4b1f85
Late-B100,cohort_B044,PS,200,192,1,1,191,7,0.005208333333333333,adafa21a8d6008a11745d17dbe65169b93960a0acb9486f57117cafd98e2e8c7
Late-B100,cohort_B044,NS,1000,694,3,3,691,303,0.004322766570605188,de4feda094a3dd2bb717c9f62674cbb0c90050c0dab8185b318fbd662f42b483
