endpoint,panel,metric,requests,denominator,baseline_numerator,replay_numerator,baseline_rate,replay_rate,delta_pp,baseline_ties,replay_ties,comparison,status,baseline_new_strict_numerator,baseline_new_strict_denominator,baseline_new_token_correct,baseline_new_token_denominator,replay_new_strict_numerator,replay_new_strict_denominator,replay_new_token_correct,replay_new_token_denominator,baseline_true_strict_numerator,baseline_true_strict_denominator,baseline_true_token_correct,baseline_true_token_denominator,replay_true_strict_numerator,replay_true_strict_denominator,replay_true_token_correct,replay_true_token_denominator
Middle-B060,fullseen,RS,6000,6000,5984,5984,0.9973333333333333,0.9973333333333333,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,5860,6000,5945,6085,5863,6000,5948,6085,5,6000,68,6073,5,6000,68,6073
Middle-B060,fullseen,PS,6000,12000,11596,11607,0.9663333333333334,0.96725,0.09166666666666666,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,8286,12000,8452,12170,8308,12000,8474,12170,64,12000,194,12146,57,12000,188,12146
Middle-B060,fullseen,NS,6000,60000,41621,41633,0.6936833333333333,0.6938833333333333,0.02,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,2767,60000,3554,60850,2727,60000,3520,60850,6148,60000,6834,60730,6210,60000,6896,60730
Middle-B060,Current100,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,100,100,100,100,100,100,100,100,0,100,0,101,0,100,0,101
Middle-B060,Current100,PS,100,200,195,196,0.975,0.98,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,155,200,155,200,157,200,157,200,0,200,1,202,0,200,1,202
Middle-B060,Current100,NS,100,1000,734,726,0.734,0.726,-0.8,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,50,1000,50,1000,49,1000,49,1000,114,1000,120,1010,118,1000,124,1010
Middle-B060,entry_old,RS,5000,5000,4984,4984,0.9968,0.9968,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,4867,5000,4936,5069,4870,5000,4939,5069,5,5000,53,5056,5,5000,52,5056
Middle-B060,entry_old,PS,5000,10000,9658,9662,0.9658,0.9662,0.04,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,6863,10000,6998,10138,6875,10000,7010,10138,59,10000,159,10112,55,10000,155,10112
Middle-B060,entry_old,NS,5000,50000,34513,34528,0.69026,0.69056,0.03,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,2323,50000,2951,50690,2280,50000,2914,50690,5072,50000,5595,50560,5128,50000,5651,50560
Middle-B060,new_window1000,RS,1000,1000,1000,1000,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,993,1000,1009,1016,993,1000,1009,1016,0,1000,15,1017,0,1000,16,1017
Middle-B060,new_window1000,PS,1000,2000,1938,1945,0.969,0.9725,0.35,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,1423,2000,1454,2032,1433,2000,1464,2032,5,2000,35,2034,2,2000,33,2034
Middle-B060,new_window1000,NS,1000,10000,7108,7105,0.7108,0.7105,-0.03,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,444,10000,603,10160,447,10000,606,10160,1076,10000,1239,10170,1082,10000,1245,10170
Late-B100,fullseen,RS,10000,10000,9939,9939,0.9939,0.9939,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,9529,10000,9688,10163,9528,10000,9687,10163,18,10000,106,10127,19,10000,106,10127
Late-B100,fullseen,PS,10000,20000,19136,19146,0.9568,0.9573,0.05,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,13362,20000,13658,20326,13395,20000,13692,20326,136,20000,321,20254,134,20000,320,20254
Late-B100,fullseen,NS,10000,100000,65348,65315,0.65348,0.65315,-0.033,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,5116,100000,6448,101630,5105,100000,6449,101630,8210,100000,9195,101270,8259,100000,9242,101270
Late-B100,Current100,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,101,103,98,100,101,103,0,100,1,102,0,100,1,102
Late-B100,Current100,PS,100,200,194,193,0.97,0.965,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,146,200,152,206,146,200,152,206,0,200,2,204,0,200,2,204
Late-B100,Current100,NS,100,1000,655,653,0.655,0.653,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,48,1000,75,1030,50,1000,76,1030,80,1000,95,1020,81,1000,96,1020
Late-B100,entry_old,RS,9000,9000,8943,8943,0.9936666666666667,0.9936666666666667,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,8548,9000,8689,9145,8548,9000,8689,9145,18,9000,98,9114,19,9000,98,9114
Late-B100,entry_old,PS,9000,18000,17214,17220,0.9563333333333334,0.9566666666666667,0.03333333333333333,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,11969,18000,12232,18290,11996,18000,12260,18290,124,18000,291,18228,122,18000,291,18228
Late-B100,entry_old,NS,9000,90000,58808,58780,0.6534222222222222,0.6531111111111111,-0.03111111111111111,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,4570,90000,5759,91450,4553,90000,5752,91450,7397,90000,8295,91140,7437,90000,8336,91140
Late-B100,new_window1000,RS,1000,1000,996,996,0.996,0.996,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,981,1000,999,1018,980,1000,998,1018,0,1000,8,1013,0,1000,8,1013
Late-B100,new_window1000,PS,1000,2000,1922,1926,0.961,0.963,0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,1393,2000,1426,2036,1399,2000,1432,2036,12,2000,30,2026,12,2000,29,2026
Late-B100,new_window1000,NS,1000,10000,6540,6535,0.654,0.6535,-0.05,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,546,10000,689,10180,552,10000,697,10180,813,10000,900,10130,822,10000,906,10130
