endpoint,panel,metric,quantity,population,denominator,mean,median,p90,p95,p99,min,max
Middle-B060,fullseen,RS,new_nll,baseline,6000,0.11292289724070118,0.0030875771772116423,0.04068063534796238,0.19168670997023593,3.8169206690788324,2.038458114839159e-05,13.452467918395996
Middle-B060,fullseen,RS,new_nll,replay,6000,0.11078966321795602,0.0030043843435123563,0.0393983948975802,0.1984249450266363,3.711594367027303,1.8954096958623268e-05,13.505111694335938
Middle-B060,fullseen,RS,new_nll,paired_delta,6000,-0.002133234022745152,-1.753075048327446e-05,0.0010447097942233086,0.0035968323238194082,0.06918517589569106,-2.0379616618156433,2.4019963145256042
Middle-B060,fullseen,RS,true_nll,baseline,6000,13.308732104182864,13.093970775604248,18.79238033294678,20.378165149688723,23.40176643371584,0.05741715803742409,27.846921920776367
Middle-B060,fullseen,RS,true_nll,replay,6000,13.338150872727235,13.106422424316406,18.816883659362794,20.36119890213013,23.440868644714367,0.05622829496860504,28.055727005004883
Middle-B060,fullseen,RS,true_nll,paired_delta,6000,0.029418768544370928,0.020787715911865234,0.31527452468872075,0.48208379745483415,1.1703735160827702,-14.350971221923828,6.112028121948242
Middle-B060,fullseen,RS,desired_margin,baseline,6000,13.195809206942164,13.061018160311505,18.790712202689612,20.36437421906303,23.39964930877266,-4.5176832638680935,27.845882955705747
Middle-B060,fullseen,RS,desired_margin,replay,6000,13.227361209509278,13.076997622440103,18.810064893972598,20.36053562088637,23.440124425115073,-4.681020602583885,28.055405072547728
Middle-B060,fullseen,RS,desired_margin,paired_delta,6000,0.03155200256711608,0.021182142052566633,0.3217702829046176,0.49611594924936087,1.2161468546086753,-15.574256541884097,6.123853323981166
Middle-B060,fullseen,PS,new_nll,baseline,12000,1.4457917227252535,0.3034280389547348,4.738873147964478,6.548985290527334,9.637249708175661,0.00010513706365600228,20.760717391967773
Middle-B060,fullseen,PS,new_nll,replay,12000,1.4435319546468588,0.30557720363140106,4.726783514022827,6.470526695251465,9.610120115280152,9.786603914108127e-05,20.832294464111328
Middle-B060,fullseen,PS,new_nll,paired_delta,12000,-0.0022597680783946997,-2.7783615223597735e-05,0.10369847416877748,0.19335943758487698,0.4689596152305603,-4.481708526611328,5.2446214854717255
Middle-B060,fullseen,PS,true_nll,baseline,12000,9.876687508194397,9.713360786437988,14.830547523498536,16.406126689910888,19.59146158218384,0.016305070370435715,25.72938346862793
Middle-B060,fullseen,PS,true_nll,replay,12000,9.891819477756663,9.736335754394531,14.831124496459962,16.365034580230713,19.610710258483888,0.01575475186109543,25.550201416015625
Middle-B060,fullseen,PS,true_nll,paired_delta,12000,0.015131969562266022,0.008320331573486328,0.2800187110900879,0.41889886856079095,1.04041828155518,-6.093100547790527,7.743169784545898
Middle-B060,fullseen,PS,desired_margin,baseline,12000,8.430895785469144,8.406476717442274,14.311724657937885,16.06449530280661,19.45869203250158,-14.403391242027283,25.715954281389713
Middle-B060,fullseen,PS,desired_margin,replay,12000,8.448287523109805,8.403609103988856,14.308657104312443,16.057870666310187,19.489567568395294,-13.459962844848633,25.537244227714837
Middle-B060,fullseen,PS,desired_margin,paired_delta,12000,0.017391737640660723,0.008010145276784897,0.3156918287277222,0.4859509825706481,1.23883876066655,-8.6792833507061,7.823562668403611
Middle-B060,fullseen,NS,new_nll,baseline,60000,8.232115717702866,8.220359802246094,13.218298435211182,14.654604768753051,17.564633083343512,5.781483559985645e-05,26.826120376586914
Middle-B060,fullseen,NS,new_nll,replay,60000,8.237371095981633,8.214797019958496,13.218377399444579,14.651928424835196,17.556568717956555,6.05564855504781e-05,26.827735900878906
Middle-B060,fullseen,NS,new_nll,paired_delta,60000,0.005255378278765966,0.0028035640716552734,0.25258603096008303,0.3573127269744873,0.6418380737304688,-1.925466537475586,4.471737861633301
