family,layer,entry_n,canonical_E1_cell,native_first_B100,continuation_batches,E0_noop_restore,original_endpoint_fidelity,current_historical_panel,query_general,signed_probe,priority_signed_panel,actual_fullseen,target_training_trajectory,full_E01_complete
AlphaEdit_BLUE_singleton,4,0,True,COMPLETE_REUSED,1,RECORDED_POINTER_BYTES_RNG,NONEXACT_CAUSE_UNRESOLVED,CURRENT100_ONLY,NOT_RECORDED,REPRESENTATIVE_SIGNED_FD,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,4,1000,True,COMPLETE_REUSED,10,RECORDED_POINTER_BYTES_RNG,NONEXACT_CAUSE_UNRESOLVED,CURRENT100_HISTORY128,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,4,5000,True,COMPLETE_REUSED,10,RECORDED_POINTER_BYTES_RNG,NONEXACT_CAUSE_UNRESOLVED,CURRENT100_HISTORY128,RECORDED_B051_B091,REPRESENTATIVE_SIGNED_FD,CURRENT_HISTORY_160_GENERAL16,6000,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,4,9000,True,COMPLETE_REUSED,10,RECORDED_POINTER_BYTES_RNG,NONEXACT_CAUSE_UNRESOLVED,CURRENT100_HISTORY128,RECORDED_B051_B091,REPRESENTATIVE_SIGNED_FD,CURRENT_HISTORY_160_GENERAL16,10000,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,5,0,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,5,1000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,5,5000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,5,9000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,6,0,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,6,1000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,6,5000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,6,9000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,7,0,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,7,1000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,7,5000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,7,9000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,8,0,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,8,1000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,8,5000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
AlphaEdit_BLUE_singleton,8,9000,True,NOT_RUN,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_REPLAY,NOT_RECORDED,False
