entry_n,instrumented_batch,category,panel,metric,value,status,detail
5000,51,observation_receipt,all,canonical_evaluator_calls,0,RECORDED,
5000,51,observation_receipt,all,direction_source,ACTUAL_ENDPOINT_DIFFERENCE_FP32,RECORDED,
5000,51,observation_receipt,all,fd_calls,0,RECORDED,
5000,51,observation_receipt,all,forward_pairs,2965,RECORDED,
5000,51,observation_receipt,all,general_W0,MEASURED,RECORDED,
5000,51,observation_receipt,all,general_backward_sequences,16,RECORDED,
5000,51,observation_receipt,all,general_forward_sequences,512,RECORDED,
5000,51,observation_receipt,all,input_preservation,ALL_CAUSAL_POSITIONS; PADDING_TAGGED_NOT_HIDDEN,RECORDED,
5000,51,observation_receipt,all,native_delta_sha256,8b152d0764c3abae37e50999f58ba69c9c9e4c49de42ce07aac92e2e70328316,RECORDED,
5000,51,observation_receipt,all,native_state_mutation,0,RECORDED,
5000,51,observation_receipt,all,numerical_layout,PAIR2_DIAGNOSTIC_NOT_CANONICAL_MB16_PARITY,RECORDED,
5000,51,observation_receipt,all,parameter_guard,PASS,RECORDED,
5000,51,observation_receipt,all,raw_position_rows,88607,RECORDED,
5000,51,observation_receipt,all,rng_consumed_before_restore,False,RECORDED,
5000,51,observation_receipt,all,rng_restored,True,RECORDED,
5000,51,observation_receipt,all,selected_bytes_restored,True,RECORDED,
5000,51,observation_receipt,all,selected_version_change,0,RECORDED,
5000,51,observation_receipt,all,signed_backward_pairs,160,RECORDED,
5000,51,observation_receipt,all,source_pre_addition_update,CALLER_SEPARATE_ARTIFACT,RECORDED,
5000,51,observation_receipt,all,status,OBSERVATIONS_FINITE,RECORDED,
5000,51,observation_receipt,all,subject_token_span,NOT_RECORDED_NO_SUBSEQUENCE_GUESS,RECORDED,
5000,51,observation_receipt,all,temporary_state_policy,DATA_STORAGE_SWAP_NO_COPY_INTO_LIVE_PARAMETER,RECORDED,
5000,51,observation_receipt,all,wall_seconds,344.77445547655225,RECORDED,
5000,51,observation_receipt,all,writer_calls,0,RECORDED,
5000,51,native_write,all,delta_K_minus_R_norm,7.352747440338135,RECORDED,
5000,51,native_write,all,delta_K_minus_R_relative,0.2599928219603366,RECORDED,
5000,51,native_write,all,delta_norm,10.74401569366455,RECORDED,
5000,51,native_write,all,delta_relative_norm,0.10554135149235035,RECORDED,
5000,51,native_write,all,direction_source,ACTUAL_NATIVE_MATERIALIZED_DENSE,RECORDED,
5000,51,native_write,all,factor_vs_actual_bitwise,False,RECORDED,
5000,51,native_write,all,factor_vs_actual_max_abs,3.450550138950348e-07,RECORDED,
5000,51,native_write,all,factor_vs_actual_norm,3.738013401743956e-05,RECORDED,
5000,51,native_write,all,factor_vs_actual_relative,3.479158545857448e-06,RECORDED,
5000,51,native_write,all,key_columns,100,RECORDED,
5000,51,native_write,all,native_history_symmetrized,False,RECORDED,
5000,51,native_write,all,native_projector_symmetrized,False,RECORDED,
5000,51,native_write,all,native_solve_backward_error,1.327831131194129e-08,RECORDED,
5000,51,native_write,all,native_solve_residual_norm,0.00026132003404200077,RECORDED,
5000,51,native_write,all,native_system_symmetry_error,0.9459301537853188,RECORDED,
5000,51,native_write,all,recomputed_dense_vs_actual_bitwise,True,RECORDED,
5000,51,native_write,all,recomputed_dense_vs_actual_norm,0.0,RECORDED,
5000,51,native_write,all,status,FINITE,RECORDED,
5000,51,native_write,all,timing_kind,HOST_WALL_INCLUDES_SCALAR_SYNCHRONIZATION,RECORDED,
5000,51,native_write,all,wall_seconds,0.8369475416839123,RECORDED,
5000,51,native_write,all,writer_replaced,False,RECORDED,
5000,51,representative_signed_FD,all,absolute_error,0.1230621337890625,RECORDED,
5000,51,representative_signed_FD,all,absolute_tolerance,0.0008331434801220894,RECORDED,
5000,51,representative_signed_FD,all,alpha,0.00390625,RECORDED,
5000,51,representative_signed_FD,all,central_slope,68.8226318359375,RECORDED,
5000,51,representative_signed_FD,all,event_derivative,68.94569396972656,RECORDED,
5000,51,representative_signed_FD,all,forward_noise,0.0,RECORDED,
5000,51,representative_signed_FD,all,minus,-3.6825342178344727,RECORDED,
5000,51,representative_signed_FD,all,performance_selection,False,RECORDED,
5000,51,representative_signed_FD,all,plus,-3.144857406616211,RECORDED,
5000,51,representative_signed_FD,all,positive_one_sided_slope,68.53076171875,RECORDED,
5000,51,representative_signed_FD,all,relative_error,0.0017849139910477655,RECORDED,
5000,51,representative_signed_FD,all,relative_tolerance,0.05,RECORDED,
5000,51,representative_signed_FD,all,slope_noise_bound,0.0,RECORDED,
5000,51,representative_signed_FD,all,status,PASS,RECORDED,
5000,51,representative_signed_FD,all,zero,-3.412555694580078,RECORDED,
5000,51,signed_R,Current,event_derivative_count,32,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_mean,35.3527702242136,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_median,29.791701316833496,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_p90,59.31855163574219,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_p95,64.26010913848876,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_p99,125.56411270141612,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_min,3.454759120941162,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_max,151.00137329101562,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_positive,32,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_negative,0,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,event_derivative_zero,0,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_count,32,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_mean,35.3527702242136,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_median,29.791701316833496,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_p90,59.31855163574219,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_p95,64.26010913848876,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_p99,125.56411270141612,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_min,3.454759120941162,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_max,151.00137329101562,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_positive,32,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_negative,0,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,raw_all_position_derivative_zero,0,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,diagnostic_factor_derivative_count,32,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
5000,51,signed_R,Current,diagnostic_factor_derivative_mean,35.35277011990547,RECORDED,"Signed values retained, not clipped progress_slope; pair2 diagnostic, not canonical MB16 evaluator."
