endpoint,panel,metric,requests,denominator,baseline_numerator,replay_numerator,baseline_rate,replay_rate,delta_pp,baseline_ties,replay_ties,comparison,status,baseline_new_strict_numerator,baseline_new_strict_denominator,baseline_new_token_correct,baseline_new_token_denominator,replay_new_strict_numerator,replay_new_strict_denominator,replay_new_token_correct,replay_new_token_denominator,baseline_true_strict_numerator,baseline_true_strict_denominator,baseline_true_token_correct,baseline_true_token_denominator,replay_true_strict_numerator,replay_true_strict_denominator,replay_true_token_correct,replay_true_token_denominator
Middle-B060,cohort_B040,NS,100,1000,622,625,0.622,0.625,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,35,1000,35,1000,32,1000,32,1000,82,1000,92,1010,82,1000,92,1010
Middle-B060,cohort_B041,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,100,102,98,100,100,102,0,100,0,100,0,100,0,100
Middle-B060,cohort_B041,PS,100,200,195,195,0.975,0.975,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,152,200,156,204,152,200,156,204,0,200,0,200,0,200,0,200
Middle-B060,cohort_B041,NS,100,1000,693,697,0.693,0.697,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,32,1000,52,1020,31,1000,51,1020,115,1000,115,1000,121,1000,121,1000
Middle-B060,cohort_B042,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,99,100,100,101,0,100,0,101,0,100,0,101
Middle-B060,cohort_B042,PS,100,200,194,194,0.97,0.97,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,138,200,140,202,140,200,142,202,0,200,2,202,0,200,2,202
Middle-B060,cohort_B042,NS,100,1000,681,679,0.681,0.679,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,42,1000,52,1010,41,1000,51,1010,92,1000,102,1010,91,1000,101,1010
Middle-B060,cohort_B043,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,101,102,99,100,101,102,0,100,0,100,0,100,0,100
Middle-B060,cohort_B043,PS,100,200,199,199,0.995,0.995,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,142,200,146,204,142,200,146,204,0,200,0,200,0,200,0,200
Middle-B060,cohort_B043,NS,100,1000,723,722,0.723,0.722,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,37,1000,55,1020,38,1000,56,1020,91,1000,91,1000,99,1000,99,1000
Middle-B060,cohort_B044,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,101,102,99,100,101,102,0,100,2,102,0,100,1,102
Middle-B060,cohort_B044,PS,100,200,196,196,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,149,200,153,204,151,200,155,204,0,200,2,204,0,200,2,204
Middle-B060,cohort_B044,NS,100,1000,721,719,0.721,0.719,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,43,1000,63,1020,43,1000,63,1020,127,1000,145,1020,124,1000,142,1020
Middle-B060,cohort_B045,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,99,101,98,100,99,101,1,100,2,101,1,100,2,101
Middle-B060,cohort_B045,PS,100,200,187,188,0.935,0.94,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,141,200,143,202,139,200,141,202,4,200,6,202,4,200,6,202
Middle-B060,cohort_B045,NS,100,1000,648,649,0.648,0.649,0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,58,1000,68,1010,58,1000,68,1010,94,1000,104,1010,98,1000,108,1010
Middle-B060,cohort_B046,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,99,100,100,101,0,100,1,101,0,100,1,101
Middle-B060,cohort_B046,PS,100,200,194,194,0.97,0.97,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,138,200,140,202,138,200,140,202,1,200,3,202,1,200,3,202
Middle-B060,cohort_B046,NS,100,1000,700,704,0.7,0.704,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,45,1000,55,1010,46,1000,56,1010,104,1000,114,1010,101,1000,111,1010
Middle-B060,cohort_B047,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,99,101,98,100,99,101,0,100,1,102,0,100,1,102
Middle-B060,cohort_B047,PS,100,200,193,191,0.965,0.955,-1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,133,200,135,202,134,200,136,202,2,200,6,204,2,200,6,204
Middle-B060,cohort_B047,NS,100,1000,717,714,0.717,0.714,-0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,40,1000,50,1010,37,1000,47,1010,128,1000,148,1020,128,1000,148,1020
Middle-B060,cohort_B048,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,101,102,99,100,101,102,0,100,1,101,0,100,1,101
Middle-B060,cohort_B048,PS,100,200,194,193,0.97,0.965,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,137,200,141,204,139,200,143,204,2,200,4,202,2,200,4,202
Middle-B060,cohort_B048,NS,100,1000,718,722,0.718,0.722,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,56,1000,76,1020,54,1000,74,1020,96,1000,106,1010,97,1000,107,1010
Middle-B060,cohort_B049,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,100,100,100,100,100,100,100,100,0,100,0,100,0,100,0,100
Middle-B060,cohort_B049,PS,100,200,196,196,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,137,200,137,200,136,200,136,200,1,200,1,200,1,200,1,200
Middle-B060,cohort_B049,NS,100,1000,709,708,0.709,0.708,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,50,1000,50,1000,47,1000,47,1000,123,1000,123,1000,125,1000,125,1000
Middle-B060,cohort_B050,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,100,100,104,104,100,100,104,104,0,100,1,101,0,100,1,101
Middle-B060,cohort_B050,PS,100,200,194,192,0.97,0.96,-1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,139,200,147,208,139,200,147,208,2,200,4,202,2,200,4,202
Middle-B060,cohort_B050,NS,100,1000,721,718,0.721,0.718,-0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,46,1000,85,1040,47,1000,87,1040,119,1000,128,1010,113,1000,122,1010
Middle-B060,cohort_B051,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,99,100,100,101,0,100,3,103,0,100,3,103
Middle-B060,cohort_B051,PS,100,200,196,197,0.98,0.985,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,148,200,149,202,149,200,150,202,0,200,6,206,0,200,6,206
Middle-B060,cohort_B051,NS,100,1000,714,714,0.714,0.714,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,47,1000,57,1010,49,1000,59,1010,108,1000,138,1030,109,1000,139,1030
Middle-B060,cohort_B052,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,100,100,102,102,100,100,102,102,0,100,2,102,0,100,2,102
Middle-B060,cohort_B052,PS,100,200,194,195,0.97,0.975,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,140,200,144,204,139,200,143,204,0,200,3,204,0,200,4,204
Middle-B060,cohort_B052,NS,100,1000,714,713,0.714,0.713,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,42,1000,62,1020,40,1000,60,1020,141,1000,161,1020,142,1000,162,1020
Middle-B060,cohort_B053,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,101,102,99,100,101,102,0,100,0,100,0,100,0,100
Middle-B060,cohort_B053,PS,100,200,191,189,0.955,0.945,-1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,129,200,133,204,130,200,134,204,1,200,1,200,1,200,1,200
Middle-B060,cohort_B053,NS,100,1000,678,682,0.678,0.682,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,56,1000,76,1020,55,1000,75,1020,91,1000,91,1000,89,1000,89,1000
Middle-B060,cohort_B054,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,98,100,99,101,0,100,1,101,0,100,1,101
Middle-B060,cohort_B054,PS,100,200,195,197,0.975,0.985,1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,145,200,147,202,148,200,150,202,0,200,2,202,0,200,2,202
Middle-B060,cohort_B054,NS,100,1000,717,715,0.717,0.715,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,59,1000,69,1010,60,1000,70,1010,94,1000,104,1010,99,1000,109,1010
Middle-B060,cohort_B055,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,99,100,100,101,0,100,0,100,0,100,0,100
Middle-B060,cohort_B055,PS,100,200,194,194,0.97,0.97,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,141,200,143,202,142,200,144,202,0,200,0,200,0,200,0,200
Middle-B060,cohort_B055,NS,100,1000,755,755,0.755,0.755,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,21,1000,31,1010,22,1000,32,1010,114,1000,114,1000,116,1000,116,1000
Middle-B060,cohort_B056,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,104,105,99,100,104,105,0,100,3,104,0,100,4,104
Middle-B060,cohort_B056,PS,100,200,188,189,0.94,0.945,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,142,200,152,210,138,200,148,210,3,200,11,208,1,200,9,208
Middle-B060,cohort_B056,NS,100,1000,693,692,0.693,0.692,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,44,1000,93,1050,47,1000,96,1050,92,1000,131,1040,88,1000,127,1040
Middle-B060,cohort_B057,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,100,100,100,100,99,100,99,100,0,100,1,101,0,100,1,101
Middle-B060,cohort_B057,PS,100,200,197,197,0.985,0.985,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,147,200,147,200,146,200,146,200,0,200,1,202,0,200,1,202
Middle-B060,cohort_B057,NS,100,1000,727,728,0.727,0.728,0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,34,1000,34,1000,35,1000,35,1000,89,1000,99,1010,90,1000,100,1010
Middle-B060,cohort_B058,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,100,100,101,101,0,100,4,104,0,100,4,104
Middle-B060,cohort_B058,PS,100,200,194,195,0.97,0.975,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,136,200,138,202,135,200,137,202,0,200,7,208,0,200,7,208
Middle-B060,cohort_B058,NS,100,1000,698,702,0.698,0.702,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,42,1000,52,1010,41,1000,51,1010,123,1000,163,1040,125,1000,165,1040
Middle-B060,cohort_B059,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,102,103,100,100,103,103,0,100,1,101,0,100,1,101
Middle-B060,cohort_B059,PS,100,200,194,196,0.97,0.98,1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,140,200,146,206,149,200,155,206,1,200,3,202,0,200,2,202
Middle-B060,cohort_B059,NS,100,1000,678,678,0.678,0.678,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,49,1000,79,1030,49,1000,79,1030,110,1000,118,1010,106,1000,114,1010
Middle-B060,cohort_B060,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,100,100,100,100,100,100,100,100,0,100,0,101,0,100,0,101
Middle-B060,cohort_B060,PS,100,200,195,196,0.975,0.98,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,155,200,155,200,157,200,157,200,0,200,1,202,0,200,1,202
Middle-B060,cohort_B060,NS,100,1000,734,726,0.734,0.726,-0.8,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,50,1000,50,1000,49,1000,49,1000,114,1000,120,1010,118,1000,124,1010
Middle-B060,active,RS,5903,5903,5894,5894,0.9984753515161782,0.9984753515161782,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,5821,5903,5905,5987,5824,5903,5908,5987,2,5903,64,5975,2,5903,64,5975
Middle-B060,active,PS,5903,11806,11459,11467,0.9706081653396578,0.971285786888023,0.0677621548365238,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,8270,11806,8434,11974,8291,11806,8455,11974,58,11806,186,11950,52,11806,181,11950
Middle-B060,active,NS,5903,59030,40993,41005,0.6944435033034051,0.6946467897679146,0.020328646450957142,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,2746,59030,3523,59870,2708,59030,3491,59870,6092,59030,6768,59750,6156,59030,6832,59750
Middle-B060,superseded_conflicting_target,RS,96,96,89,89,0.9270833333333334,0.9270833333333334,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,38,96,39,97,38,96,39,97,3,96,4,97,3,96,4,97
Middle-B060,superseded_conflicting_target,PS,96,192,135,138,0.703125,0.71875,1.5625,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,15,192,17,194,16,192,18,194,6,192,8,194,5,192,7,194
Middle-B060,superseded_conflicting_target,NS,96,960,623,623,0.6489583333333333,0.6489583333333333,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,19,960,29,970,17,960,27,970,55,960,65,970,53,960,63,970
Middle-B060,superseded_same_target,RS,1,1,1,1,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
Middle-B060,superseded_same_target,PS,1,2,2,2,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2
Middle-B060,superseded_same_target,NS,1,10,5,5,0.5,0.5,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,2,10,2,10,2,10,2,10,1,10,1,10,1,10,1,10
Late-B100,cohort_B001,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,88,100,89,101,88,100,89,101,0,100,3,103,0,100,3,103
Late-B100,cohort_B001,PS,100,200,187,185,0.935,0.925,-1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,114,200,116,202,115,200,117,202,3,200,9,206,2,200,8,206
Late-B100,cohort_B001,NS,100,1000,662,658,0.662,0.658,-0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,52,1000,53,1010,53,1000,55,1010,41,1000,71,1030,44,1000,74,1030
Late-B100,cohort_B002,RS,100,100,98,98,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,82,100,84,102,81,100,83,102,0,100,1,101,0,100,1,101
Late-B100,cohort_B002,PS,100,200,187,187,0.935,0.935,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,121,200,125,204,119,200,123,204,4,200,6,202,4,200,6,202
Late-B100,cohort_B002,NS,100,1000,624,621,0.624,0.621,-0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,53,1000,73,1020,54,1000,74,1020,50,1000,60,1010,53,1000,63,1010
Late-B100,cohort_B003,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,86,100,87,102,87,100,88,102,0,100,2,103,0,100,2,103
Late-B100,cohort_B003,PS,100,200,188,187,0.94,0.935,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,117,200,120,204,119,200,122,204,4,200,8,206,4,200,9,206
Late-B100,cohort_B003,NS,100,1000,617,615,0.617,0.615,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,58,1000,68,1020,60,1000,70,1020,70,1000,96,1030,68,1000,94,1030
Late-B100,cohort_B004,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,91,100,92,101,91,100,92,101,0,100,0,100,0,100,0,100
Late-B100,cohort_B004,PS,100,200,188,189,0.94,0.945,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,120,200,122,202,121,200,123,202,3,200,3,200,3,200,3,200
Late-B100,cohort_B004,NS,100,1000,569,569,0.569,0.569,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,83,1000,93,1010,89,1000,99,1010,84,1000,84,1000,85,1000,85,1000
Late-B100,cohort_B005,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,90,100,91,101,91,100,92,101,0,100,0,100,0,100,0,100
Late-B100,cohort_B005,PS,100,200,190,190,0.95,0.95,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,117,200,119,202,117,200,119,202,3,200,3,200,3,200,3,200
Late-B100,cohort_B005,NS,100,1000,610,613,0.61,0.613,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,54,1000,62,1010,55,1000,63,1010,77,1000,77,1000,79,1000,79,1000
Late-B100,cohort_B006,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,94,100,98,104,94,100,98,104,0,100,1,102,0,100,1,102
Late-B100,cohort_B006,PS,100,200,189,190,0.945,0.95,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,105,200,111,208,107,200,113,208,2,200,5,204,1,200,4,204
Late-B100,cohort_B006,NS,100,1000,621,622,0.621,0.622,0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,40,1000,73,1040,40,1000,73,1040,44,1000,60,1020,46,1000,62,1020
Late-B100,cohort_B007,RS,100,100,98,98,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,88,100,89,101,88,100,89,101,1,100,2,101,1,100,2,101
Late-B100,cohort_B007,PS,100,200,191,192,0.955,0.96,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,133,200,135,202,133,200,135,202,3,200,5,202,3,200,5,202
Late-B100,cohort_B007,NS,100,1000,640,639,0.64,0.639,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,46,1000,56,1010,46,1000,56,1010,92,1000,98,1010,92,1000,97,1010
Late-B100,cohort_B008,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,89,100,91,102,89,100,91,102,0,100,0,100,0,100,0,100
Late-B100,cohort_B008,PS,100,200,190,190,0.95,0.95,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,119,200,123,204,119,200,123,204,1,200,1,200,1,200,1,200
Late-B100,cohort_B008,NS,100,1000,677,677,0.677,0.677,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,65,1000,84,1020,60,1000,79,1020,93,1000,93,1000,92,1000,92,1000
Late-B100,cohort_B009,RS,100,100,97,97,0.97,0.97,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,86,100,86,100,86,100,86,100,1,100,1,101,1,100,1,101
Late-B100,cohort_B009,PS,100,200,188,188,0.94,0.94,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,131,200,131,200,134,200,134,200,4,200,6,202,5,200,7,202
Late-B100,cohort_B009,NS,100,1000,611,615,0.611,0.615,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,57,1000,57,1000,54,1000,54,1000,73,1000,80,1010,73,1000,81,1010
Late-B100,cohort_B010,RS,100,100,98,98,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,93,100,94,101,93,100,94,101,2,100,2,100,2,100,2,100
Late-B100,cohort_B010,PS,100,200,185,185,0.925,0.925,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,124,200,126,202,125,200,127,202,4,200,4,200,4,200,4,200
Late-B100,cohort_B010,NS,100,1000,627,623,0.627,0.623,-0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,49,1000,59,1010,48,1000,58,1010,101,1000,101,1000,101,1000,101,1000
Late-B100,cohort_B011,RS,100,100,98,99,0.98,0.99,1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,87,100,88,101,86,100,87,101,0,100,3,103,0,100,3,103
Late-B100,cohort_B011,PS,100,200,186,189,0.93,0.945,1.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,115,200,116,202,117,200,118,202,0,200,6,206,0,200,6,206
Late-B100,cohort_B011,NS,100,1000,625,626,0.625,0.626,0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,58,1000,58,1010,58,1000,58,1010,94,1000,120,1030,91,1000,118,1030
Late-B100,cohort_B012,RS,100,100,98,98,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,91,100,95,104,92,100,96,104,0,100,3,104,0,100,3,104
Late-B100,cohort_B012,PS,100,200,186,187,0.93,0.935,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,122,200,129,208,124,200,131,208,0,200,7,208,0,200,7,208
Late-B100,cohort_B012,NS,100,1000,699,699,0.699,0.699,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,33,1000,71,1040,33,1000,71,1040,85,1000,117,1040,85,1000,116,1040
Late-B100,cohort_B013,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,93,100,93,100,93,100,93,100,0,100,3,103,0,100,3,103
Late-B100,cohort_B013,PS,100,200,187,187,0.935,0.935,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,136,200,136,200,135,200,135,200,2,200,6,206,2,200,6,206
Late-B100,cohort_B013,NS,100,1000,678,677,0.678,0.677,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,62,1000,62,1000,63,1000,63,1000,64,1000,85,1030,66,1000,88,1030
Late-B100,cohort_B014,RS,100,100,98,98,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,88,100,88,100,88,100,88,100,1,100,1,101,1,100,1,101
Late-B100,cohort_B014,PS,100,200,182,183,0.91,0.915,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,119,200,119,200,122,200,122,200,1,200,2,202,1,200,2,202
Late-B100,cohort_B014,NS,100,1000,652,650,0.652,0.65,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,52,1000,52,1000,53,1000,53,1000,91,1000,97,1010,91,1000,97,1010
Late-B100,cohort_B015,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,98,102,97,100,99,102,0,100,1,101,0,100,1,101
Late-B100,cohort_B015,PS,100,200,195,195,0.975,0.975,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,125,200,129,204,128,200,132,204,0,200,1,202,0,200,1,202
Late-B100,cohort_B015,NS,100,1000,634,637,0.634,0.637,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,47,1000,63,1020,48,1000,64,1020,63,1000,68,1010,67,1000,73,1010
Late-B100,cohort_B016,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,89,100,89,100,88,100,88,100,1,100,2,101,1,100,2,101
Late-B100,cohort_B016,PS,100,200,193,193,0.965,0.965,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,144,200,144,200,142,200,142,200,1,200,2,202,1,200,3,202
Late-B100,cohort_B016,NS,100,1000,576,579,0.576,0.579,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,75,1000,75,1000,73,1000,73,1000,89,1000,94,1010,88,1000,93,1010
Late-B100,cohort_B017,RS,100,100,98,98,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,93,100,95,102,93,100,95,102,0,100,0,100,0,100,0,100
Late-B100,cohort_B017,PS,100,200,190,192,0.95,0.96,1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,135,200,138,204,135,200,138,204,0,200,0,200,0,200,0,200
Late-B100,cohort_B017,NS,100,1000,646,648,0.646,0.648,0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,47,1000,64,1020,49,1000,67,1020,87,1000,87,1000,88,1000,88,1000
Late-B100,cohort_B018,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,89,100,89,100,88,100,88,100,0,100,1,101,0,100,1,101
Late-B100,cohort_B018,PS,100,200,190,190,0.95,0.95,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,122,200,122,200,122,200,122,200,1,200,3,202,2,200,4,202
Late-B100,cohort_B018,NS,100,1000,651,652,0.651,0.652,0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,47,1000,47,1000,45,1000,45,1000,84,1000,94,1010,84,1000,94,1010
