checkpoint_batch,edits,cohort,metric_tag,numerator,denominator,rate,strict_numerator,strict_denominator,token_correct,token_denominator,requests,new_nll_mean,new_nll_q01,new_nll_q05,new_nll_q50,new_nll_q95,new_nll_q99,true_nll_mean,true_nll_q01,true_nll_q05,true_nll_q50,true_nll_q95,true_nll_q99,safety_margin_mean,safety_margin_q01,safety_margin_q05,safety_margin_q50,safety_margin_q95,safety_margin_q99
1,100,all_seen,RS,100,100,1.0,100,100,101,101,100,0.002287666152260499,0.00010426692686451134,0.0001591436463058926,0.001498053374234587,0.0067379180341959,0.016533166114240896,14.692024793624878,5.915230331420898,8.014712524414062,14.731014251708984,20.85610580444336,23.708870830535897,14.689737127472618,5.912936338677537,8.011712685864769,14.730633869941812,20.855690015388245,23.705336370582963
1,100,all_seen,PS,190,200,0.95,129,200,131,202,100,1.6110783071091281,0.0009731606027344242,0.002290246624033898,0.33659546077251434,6.403738689422606,9.530835847854611,9.99056670755148,1.3184344261884688,4.192899703979493,9.71436595916748,16.195743465423583,19.587744483947752,8.379488400442352,-1.8747594857215881,0.4841926574707038,8.678990934044123,15.872192719439042,19.585492439148947
1,100,all_seen,NS,867,1000,0.867,153,1000,182,1030,100,11.14655751785962,1.87144660115242,4.649407982826233,11.162767887115479,17.37778596878052,20.26226949691772,5.517617625697109,0.011918994598090649,0.27666260153055194,5.284813165664673,12.05524182319641,14.750675449371338,5.628939892162511,-6.364087717756629,-2.6684539586305616,5.589984893798828,14.060804438591003,16.65558027902618
1,100,first100,RS,100,100,1.0,100,100,101,101,100,0.002287666152260499,0.00010426692686451134,0.0001591436463058926,0.001498053374234587,0.0067379180341959,0.016533166114240896,14.692024793624878,5.915230331420898,8.014712524414062,14.731014251708984,20.85610580444336,23.708870830535897,14.689737127472618,5.912936338677537,8.011712685864769,14.730633869941812,20.855690015388245,23.705336370582963
1,100,first100,PS,190,200,0.95,129,200,131,202,100,1.6110783071091281,0.0009731606027344242,0.002290246624033898,0.33659546077251434,6.403738689422606,9.530835847854611,9.99056670755148,1.3184344261884688,4.192899703979493,9.71436595916748,16.195743465423583,19.587744483947752,8.379488400442352,-1.8747594857215881,0.4841926574707038,8.678990934044123,15.872192719439042,19.585492439148947
1,100,first100,NS,867,1000,0.867,153,1000,182,1030,100,11.14655751785962,1.87144660115242,4.649407982826233,11.162767887115479,17.37778596878052,20.26226949691772,5.517617625697109,0.011918994598090649,0.27666260153055194,5.284813165664673,12.05524182319641,14.750675449371338,5.628939892162511,-6.364087717756629,-2.6684539586305616,5.589984893798828,14.060804438591003,16.65558027902618
5,500,all_seen,RS,500,500,1.0,499,500,506,507,500,0.008768772969553537,7.649128827324604e-05,0.00019251639023423194,0.0011597700067795813,0.006224967655725763,0.03885310508310782,14.626626359939575,5.943961577415466,8.336977481842041,14.530276775360107,21.82726955413818,25.220244731903076,14.617857586970022,5.858659278824925,8.331655394582777,14.5230683303962,21.82658578951668,25.219663905641937
5,500,all_seen,PS,965,1000,0.965,658,1000,672,1014,500,1.5784244961931582,0.000817117455881089,0.002632368833292276,0.298939973115921,7.1978755235671965,9.770345296859741,10.057450099103153,1.5709644985198974,3.897517287731171,9.804427146911621,16.870479011535643,20.109040336608878,8.479025602909994,-2.6413941240310668,0.9211878299713135,8.435370776802301,16.4439493911108,20.108640957335147
5,500,all_seen,NS,4205,5000,0.841,926,5000,996,5070,500,9.892108268257548,1.2972304463386537,3.940904951095581,9.791511535644531,16.19071912765503,18.933652896881114,5.173359796721884,0.01584322564303875,0.18893849775195123,4.744820594787598,11.952339506149293,14.876484041214008,4.7187484715356645,-6.0056666564941406,-2.8698075890541075,4.64210718870163,12.376897251605987,15.489612430855669
5,500,first100,RS,100,100,1.0,100,100,101,101,100,0.014366150677014957,0.00013627554137201513,0.00017337488097837194,0.0016518873162567616,0.009761861991137238,0.10983516059816359,14.317213821411134,5.883748860359192,7.426474094390869,14.149610996246338,20.551729202270504,23.101395454406752,14.302847670734117,5.489609970040619,7.4218939044047145,14.144701602868736,20.54851874382875,23.096574516498528
