interval_start,interval_end,selection_role,rows,distinct_requests,mean_entry_margin,mean_endpoint_margin
1,10,lost,16,14,3.9892996398266405,-2.8045812994241714
1,10,matched_retained,16,15,4.509630560874939,2.8949956595897675
50,100,lost,16,16,2.3543840311467648,-1.7042792737483978
50,100,matched_retained,16,16,2.5184786655008793,2.725184842944145
