cohort,view,start_batch,end_batch,age_batches,metric_tag,anchor_is_arrival_current,joint_margin_definition,rows,requests,n11,n10,n01,n00,start_success,end_success,loss_numerator,loss_denominator,gain_numerator,gain_denominator,net_success_delta,margin_delta_mean,strict_start,strict_end,strict_lost,strict_gained,token_correct_start,token_correct_end,token_denominator_start,token_denominator_end
at_write,original_all_case,0,1,,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
at_write,original_all_case,0,1,,PS,True,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
at_write,original_all_case,0,1,,NS,True,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
at_write,original_all_case,0,1,,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
at_write,interval_target_conflict_free,0,1,,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
at_write,interval_target_conflict_free,0,1,,PS,True,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
at_write,interval_target_conflict_free,0,1,,NS,True,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
at_write,interval_target_conflict_free,0,1,,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
at_write,separate_active_version,0,1,,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
at_write,separate_active_version,0,1,,PS,True,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
at_write,separate_active_version,0,1,,NS,True,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
at_write,separate_active_version,0,1,,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
first100,original_all_case,1,1,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
first100,original_all_case,1,1,,PS,False,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
first100,original_all_case,1,1,,NS,False,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
first100,original_all_case,1,1,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
first100,interval_target_conflict_free,1,1,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
first100,interval_target_conflict_free,1,1,,PS,False,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
first100,interval_target_conflict_free,1,1,,NS,False,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
first100,interval_target_conflict_free,1,1,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
first100,separate_active_version,1,1,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
first100,separate_active_version,1,1,,PS,False,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
first100,separate_active_version,1,1,,NS,False,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
first100,separate_active_version,1,1,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
age,original_all_case,1,1,0.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
age,original_all_case,1,1,0.0,PS,True,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
age,original_all_case,1,1,0.0,NS,True,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
age,original_all_case,1,1,0.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
age,interval_target_conflict_free,1,1,0.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
age,interval_target_conflict_free,1,1,0.0,PS,True,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
age,interval_target_conflict_free,1,1,0.0,NS,True,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
age,interval_target_conflict_free,1,1,0.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
age,separate_active_version,1,1,0.0,RS,True,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,0.0,100,100,0,0,101,101,101,101
age,separate_active_version,1,1,0.0,PS,True,paired_target_mean_NLL,200,100,190,0,0,10,190,190,0,190,0,10,0,0.0,129,129,0,0,131,131,202,202
age,separate_active_version,1,1,0.0,NS,True,paired_target_mean_NLL,1000,100,867,0,0,133,867,867,0,867,0,133,0,0.0,153,153,0,0,182,182,1030,1030
age,separate_active_version,1,1,0.0,RP_JOINT,True,minimum RS/PS safety margin,100,100,92,0,0,8,92,92,0,92,0,8,0,0.0,46,46,0,0,232,232,303,303
at_write,original_all_case,0,5,,RS,True,paired_target_mean_NLL,500,500,500,0,0,0,500,500,0,500,0,0,0,-0.0803851065194358,500,499,1,0,507,506,507,507
at_write,original_all_case,0,5,,PS,True,paired_target_mean_NLL,1000,500,960,0,5,35,960,965,0,960,5,40,5,0.0438243398221857,654,658,7,11,668,672,1014,1014
at_write,original_all_case,0,5,,NS,True,paired_target_mean_NLL,5000,500,4171,88,34,707,4259,4205,88,4259,34,741,-54,-0.3333468773647815,942,926,77,61,1011,996,5070,5070
at_write,original_all_case,0,5,,RP_JOINT,True,minimum RS/PS safety margin,500,500,467,0,3,30,467,470,0,467,3,33,3,0.0599027671483345,242,246,3,7,1175,1178,1521,1521
at_write,interval_target_conflict_free,0,5,,RS,True,paired_target_mean_NLL,500,500,500,0,0,0,500,500,0,500,0,0,0,-0.0803851065194358,500,499,1,0,507,506,507,507
at_write,interval_target_conflict_free,0,5,,PS,True,paired_target_mean_NLL,1000,500,960,0,5,35,960,965,0,960,5,40,5,0.0438243398221857,654,658,7,11,668,672,1014,1014
at_write,interval_target_conflict_free,0,5,,NS,True,paired_target_mean_NLL,5000,500,4171,88,34,707,4259,4205,88,4259,34,741,-54,-0.3333468773647815,942,926,77,61,1011,996,5070,5070
at_write,interval_target_conflict_free,0,5,,RP_JOINT,True,minimum RS/PS safety margin,500,500,467,0,3,30,467,470,0,467,3,33,3,0.0599027671483345,242,246,3,7,1175,1178,1521,1521
at_write,separate_active_version,0,5,,RS,True,paired_target_mean_NLL,500,500,500,0,0,0,500,500,0,500,0,0,0,-0.0803851065194358,500,499,1,0,507,506,507,507
at_write,separate_active_version,0,5,,PS,True,paired_target_mean_NLL,1000,500,960,0,5,35,960,965,0,960,5,40,5,0.0438243398221857,654,658,7,11,668,672,1014,1014
at_write,separate_active_version,0,5,,NS,True,paired_target_mean_NLL,5000,500,4171,88,34,707,4259,4205,88,4259,34,741,-54,-0.3333468773647815,942,926,77,61,1011,996,5070,5070
at_write,separate_active_version,0,5,,RP_JOINT,True,minimum RS/PS safety margin,500,500,467,0,3,30,467,470,0,467,3,33,3,0.0599027671483345,242,246,3,7,1175,1178,1521,1521
first100,original_all_case,1,5,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
first100,original_all_case,1,5,,PS,False,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
first100,original_all_case,1,5,,NS,False,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
first100,original_all_case,1,5,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
first100,interval_target_conflict_free,1,5,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
first100,interval_target_conflict_free,1,5,,PS,False,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
first100,interval_target_conflict_free,1,5,,NS,False,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
first100,interval_target_conflict_free,1,5,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
first100,separate_active_version,1,5,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
first100,separate_active_version,1,5,,PS,False,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
first100,separate_active_version,1,5,,NS,False,paired_target_mean_NLL,1000,100,837,30,9,124,867,846,30,867,9,133,-21,-0.6338992755183135,153,155,18,20,182,185,1030,1030
first100,separate_active_version,1,5,,RP_JOINT,False,minimum RS/PS safety margin,100,100,92,0,3,5,92,95,0,92,3,8,3,0.2090997955756029,46,49,1,4,232,234,303,303
adjacent_checkpoint_matched,original_all_case,1,5,,RS,False,paired_target_mean_NLL,100,100,100,0,0,0,100,100,0,100,0,0,0,-0.3868894567384995,100,100,0,0,101,101,101,101
adjacent_checkpoint_matched,original_all_case,1,5,,PS,False,paired_target_mean_NLL,200,100,190,0,3,7,190,193,0,190,3,10,3,0.1309608072640549,129,131,3,5,131,133,202,202
