cohort,view,start_batch,end_batch,age_batches,metric_tag,anchor_is_arrival_current,joint_margin_definition,cluster,clusters,replicates,seed,resample_seed,status,net_rate_finite_replicates,net_rate_lo,net_rate_hi,loss_rate_finite_replicates,loss_rate_lo,loss_rate_hi,gain_rate_finite_replicates,gain_rate_lo,gain_rate_hi,margin_delta_mean_finite_replicates,margin_delta_mean_lo,margin_delta_mean_hi,strict_delta_rate_finite_replicates,strict_delta_rate_lo,strict_delta_rate_hi
age,separate_active_version,1,1,0.0,RP_JOINT,True,minimum RS/PS safety margin,subject_relation_group_a,100,2000,20260920,18107587742949312168,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0
at_write,original_all_case,0,5,,RS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.0,2000,0.0,0.0,0,,,2000,-0.1396286130538717,-0.026086727248234,2000,-0.006,0.0
at_write,original_all_case,0,5,,RS,True,paired_target_mean_NLL,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.0,2000,0.0,0.0,0,,,2000,-0.1388623599441456,-0.0271448293111963,2000,-0.0060499999999999,0.0
at_write,original_all_case,0,5,,PS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.001,0.01,2000,0.0,0.0,2000,0.03125,0.2353328173374611,2000,0.00662535900703,0.0825021611432362,2000,-0.005,0.013
at_write,original_all_case,0,5,,PS,True,paired_target_mean_NLL,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,0.001,0.01,2000,0.0,0.0,2000,0.0303030303030303,0.2333823529411762,2000,0.0077868733352946,0.0829013438470396,2000,-0.004,0.013
at_write,original_all_case,0,5,,NS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,-0.016,-0.0056,2000,0.0158173671584343,0.0260895450916222,2000,0.0294117647058823,0.0643858147080028,2000,-0.3980953564739367,-0.2775207672140159,2000,-0.0086,0.0022
at_write,original_all_case,0,5,,NS,True,paired_target_mean_NLL,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,-0.016,-0.0058,2000,0.0157188869022708,0.0259960863845579,2000,0.0294089546646684,0.0638971712538225,2000,-0.3944350085365194,-0.273065143277663,2000,-0.0086,0.002
at_write,original_all_case,0,5,,RP_JOINT,True,minimum RS/PS safety margin,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.014,2000,0.0,0.0,2000,0.0,0.2,2000,0.015240015793906,0.1069338913455838,2000,-0.004,0.0200499999999997
at_write,original_all_case,0,5,,RP_JOINT,True,minimum RS/PS safety margin,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.014,2000,0.0,0.0,2000,0.0,0.2058823529411764,2000,0.0166329208056529,0.1059437216541031,2000,-0.004,0.02
at_write,interval_target_conflict_free,0,5,,RS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.0,2000,0.0,0.0,0,,,2000,-0.1396286130538717,-0.026086727248234,2000,-0.006,0.0
at_write,interval_target_conflict_free,0,5,,RS,True,paired_target_mean_NLL,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.0,2000,0.0,0.0,0,,,2000,-0.1388623599441456,-0.0271448293111963,2000,-0.0060499999999999,0.0
at_write,interval_target_conflict_free,0,5,,PS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.001,0.01,2000,0.0,0.0,2000,0.03125,0.2353328173374611,2000,0.00662535900703,0.0825021611432362,2000,-0.005,0.013
at_write,interval_target_conflict_free,0,5,,PS,True,paired_target_mean_NLL,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,0.001,0.01,2000,0.0,0.0,2000,0.0303030303030303,0.2333823529411762,2000,0.0077868733352946,0.0829013438470396,2000,-0.004,0.013
at_write,interval_target_conflict_free,0,5,,NS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,-0.016,-0.0056,2000,0.0158173671584343,0.0260895450916222,2000,0.0294117647058823,0.0643858147080028,2000,-0.3980953564739367,-0.2775207672140159,2000,-0.0086,0.0022
at_write,interval_target_conflict_free,0,5,,NS,True,paired_target_mean_NLL,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,-0.016,-0.0058,2000,0.0157188869022708,0.0259960863845579,2000,0.0294089546646684,0.0638971712538225,2000,-0.3944350085365194,-0.273065143277663,2000,-0.0086,0.002
at_write,interval_target_conflict_free,0,5,,RP_JOINT,True,minimum RS/PS safety margin,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.014,2000,0.0,0.0,2000,0.0,0.2,2000,0.015240015793906,0.1069338913455838,2000,-0.004,0.0200499999999997
at_write,interval_target_conflict_free,0,5,,RP_JOINT,True,minimum RS/PS safety margin,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.014,2000,0.0,0.0,2000,0.0,0.2058823529411764,2000,0.0166329208056529,0.1059437216541031,2000,-0.004,0.02
at_write,separate_active_version,0,5,,RS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.0,2000,0.0,0.0,0,,,2000,-0.1396286130538717,-0.026086727248234,2000,-0.006,0.0
at_write,separate_active_version,0,5,,RS,True,paired_target_mean_NLL,subject_relation_group_a,500,2000,20260920,12668063599628467896,CONDITIONAL_SINGLE_STREAM,2000,0.0,0.0,2000,0.0,0.0,0,,,2000,-0.1388623599441456,-0.0271448293111963,2000,-0.0060499999999999,0.0
at_write,separate_active_version,0,5,,PS,True,paired_target_mean_NLL,case_id,500,2000,20260920,12184726900187004633,CONDITIONAL_SINGLE_STREAM,2000,0.001,0.01,2000,0.0,0.0,2000,0.03125,0.2353328173374611,2000,0.00662535900703,0.0825021611432362,2000,-0.005,0.013
