model,group,method,rewrite_new_nll_mean,rewrite_new_nll_median,rewrite_new_nll_p90,rewrite_exact_success,rewrite_preference_success,rephrase_new_nll_mean,rephrase_new_nll_median,rephrase_new_nll_p90,gen_prompt_success,gen_strict_success,gen_preference_success,locality,terminal_qkl,removed_energy_fraction_mean,active_node_fraction
llama,PRE_EDIT,PRE_EDIT_W0,10.465489014983177,10.851507663726807,14.949640274047855,0.02,0.1,9.854292893260718,10.040213584899902,14.373120498657226,0.01,0.0,0.13,1.0,,,
llama,BASELINE,OFFICIAL_ALPHAEDIT_N1,0.0011437470635428325,0.0005505953158717602,0.0020566875580698253,1.0,1.0,1.8330387360256282,0.22272755205631256,6.8228337287902825,0.64,0.48,0.95,0.82,,,
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,0.001143751815907308,0.0005505953158717602,0.0020566875580698253,1.0,1.0,1.8330385893720085,0.22272617369890213,6.822837972640991,0.64,0.48,0.95,0.82,4.15592098236084,0.0,0.0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,0.0011437553360156016,0.0005505953158717602,0.0020566875580698253,1.0,1.0,1.8330383231709129,0.22272612154483795,6.822835683822631,0.64,0.48,0.95,0.82,4.155920505523682,0.0,0.0
llama,OURS,QKL_PROJECTED_ODE_N2,0.22637973318691365,0.0038371876580640674,0.0494053050875665,0.96,0.98,2.2443012280450785,0.492313027381897,7.4719846725463865,0.595,0.44,0.915,0.829,2.0161147117614746,0.012208074916372309,1.0
llama,OURS,QKL_PROJECTED_ODE_N4,0.5745067749387818,0.005643736803904176,0.7685666680336046,0.9,0.93,2.550081980714749,0.7155205607414246,7.707614660263061,0.555,0.41,0.89,0.837,1.4699397087097168,0.01841104961240458,1.0
qwen,PRE_EDIT,PRE_EDIT_W0,10.70444263935089,10.421624183654785,15.007283401489262,0.0,0.14,10.23991251885891,10.265379428863525,14.426141452789308,0.005,0.0,0.15,1.0,,,
qwen,BASELINE,OFFICIAL_ALPHAEDIT_N1,0.03170906013714557,0.01329092588275671,0.06318072602152838,1.0,1.0,1.853892388693348,0.4616789221763611,5.584766006469725,0.64,0.47,0.985,0.812,,,
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,0.031712577694779615,0.013291572220623493,0.0631799824535848,1.0,1.0,1.8538870366892661,0.4617963135242462,5.584932088851928,0.64,0.47,0.985,0.811,3.7485580444335938,0.0,0.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,0.031711800449629665,0.013291631359606981,0.06316462010145202,1.0,1.0,1.8538945793829043,0.461736261844635,5.584422397613524,0.64,0.47,0.985,0.811,3.7485718727111816,0.0,0.0
qwen,OURS,QKL_PROJECTED_ODE_N2,0.06091975041184924,0.018990296870470047,0.09584913626313214,1.0,1.0,1.917561748183798,0.48127707839012146,5.6082263469696025,0.625,0.46,0.985,0.813,3.0220794677734375,0.002386812203461889,1.0
qwen,OURS,QKL_PROJECTED_ODE_N4,0.13859360223228578,0.033986128866672516,0.22541714459657713,0.98,0.99,2.080733824431081,0.5864740014076233,6.153247594833372,0.595,0.41,0.98,0.821,2.325930595397949,0.00683927163186412,1.0
