model,group,method,metric,count,mean,median,p90,max,prompt_numerator,prompt_denominator,prompt_rate,token_numerator,token_denominator,token_rate
llama,PRE_EDIT,PRE_EDIT_W0,rewrite_target_new,100,10.465489014983177,10.851507663726807,14.949640274047855,18.2324161529541,2,100,0.02,3,101,0.0297029702970297
llama,PRE_EDIT,PRE_EDIT_W0,rewrite_target_true,100,4.551350718401372,4.39105749130249,9.034201717376716,13.833669662475586,24,100,0.24,24,100,0.24
llama,PRE_EDIT,PRE_EDIT_W0,rephrase_target_new,200,9.854292893260718,10.040213584899902,14.373120498657226,19.066179275512695,2,200,0.01,4,202,0.019801980198019802
llama,PRE_EDIT,PRE_EDIT_W0,rephrase_target_true,200,5.018608889104798,4.507537841796875,10.09169406890869,14.67568588256836,43,200,0.215,43,200,0.215
llama,BASELINE,OFFICIAL_ALPHAEDIT_N1,rewrite_target_new,100,0.0011437470635428325,0.0005505953158717602,0.0020566875580698253,0.01793910376727581,100,100,1.0,101,101,1.0
llama,BASELINE,OFFICIAL_ALPHAEDIT_N1,rewrite_target_true,100,14.566309509277344,14.37809419631958,19.601617240905764,26.657899856567383,0,100,0.0,0,100,0.0
llama,BASELINE,OFFICIAL_ALPHAEDIT_N1,rephrase_target_new,200,1.8330387360256282,0.22272755205631256,6.8228337287902825,12.291740417480469,128,200,0.64,130,202,0.6435643564356436
llama,BASELINE,OFFICIAL_ALPHAEDIT_N1,rephrase_target_true,200,9.274225231595338,9.314995765686035,14.740459537506101,22.619348526000977,4,200,0.02,4,200,0.02
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rewrite_target_new,100,0.001143751815907308,0.0005505953158717602,0.0020566875580698253,0.01793910376727581,100,100,1.0,101,101,1.0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rewrite_target_true,100,14.566308403015137,14.378077983856201,19.601593399047854,26.657886505126953,0,100,0.0,0,100,0.0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rephrase_target_new,200,1.8330385893720085,0.22272617369890213,6.822837972640991,12.291728019714355,128,200,0.64,130,202,0.6435643564356436
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rephrase_target_true,200,9.274224155656993,9.31498384475708,14.740477085113524,22.619348526000977,4,200,0.02,4,200,0.02
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rewrite_target_new,100,0.0011437553360156016,0.0005505953158717602,0.0020566875580698253,0.017939455807209015,100,100,1.0,101,101,1.0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rewrite_target_true,100,14.566307792663574,14.378080368041992,19.601608085632325,26.657920837402344,0,100,0.0,0,100,0.0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rephrase_target_new,200,1.8330383231709129,0.22272612154483795,6.822835683822631,12.291736602783203,128,200,0.64,130,202,0.6435643564356436
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rephrase_target_true,200,9.274224418476225,9.314987659454346,14.740464591979977,22.619356155395508,4,200,0.02,4,200,0.02
llama,OURS,QKL_PROJECTED_ODE_N2,rewrite_target_new,100,0.22637973318691365,0.0038371876580640674,0.0494053050875665,8.827569961547852,96,100,0.96,97,101,0.9603960396039604
llama,OURS,QKL_PROJECTED_ODE_N2,rewrite_target_true,100,10.78181067056954,10.681118965148926,15.341919708251956,21.69180679321289,1,100,0.01,1,100,0.01
llama,OURS,QKL_PROJECTED_ODE_N2,rephrase_target_new,200,2.2443012280450785,0.492313027381897,7.4719846725463865,12.772212028503418,119,200,0.595,121,202,0.599009900990099
llama,OURS,QKL_PROJECTED_ODE_N2,rephrase_target_true,200,8.19719665363431,8.389377117156982,12.804981231689451,18.953290939331055,4,200,0.02,4,200,0.02
llama,OURS,QKL_PROJECTED_ODE_N4,rewrite_target_new,100,0.5745067749387818,0.005643736803904176,0.7685666680336046,13.17402458190918,90,100,0.9,91,101,0.900990099009901
llama,OURS,QKL_PROJECTED_ODE_N4,rewrite_target_true,100,9.56377073764801,9.2364501953125,14.418639945983887,21.059253692626953,2,100,0.02,2,100,0.02
llama,OURS,QKL_PROJECTED_ODE_N4,rephrase_target_new,200,2.550081980714749,0.7155205607414246,7.707614660263061,13.00210952758789,111,200,0.555,113,202,0.5594059405940595
llama,OURS,QKL_PROJECTED_ODE_N4,rephrase_target_true,200,7.806609833464027,7.986707448959351,12.224679946899414,18.609533309936523,7,200,0.035,7,200,0.035
qwen,PRE_EDIT,PRE_EDIT_W0,rewrite_target_new,100,10.70444263935089,10.421624183654785,15.007283401489262,18.132652282714844,0,100,0.0,1,101,0.009900990099009901
qwen,PRE_EDIT,PRE_EDIT_W0,rewrite_target_true,100,5.463334372229874,4.7878217697143555,10.775708675384523,18.37078285217285,19,100,0.19,19,100,0.19
qwen,PRE_EDIT,PRE_EDIT_W0,rephrase_target_new,200,10.23991251885891,10.265379428863525,14.426141452789308,18.66101837158203,1,200,0.005,3,202,0.01485148514851485
qwen,PRE_EDIT,PRE_EDIT_W0,rephrase_target_true,200,5.829665248598904,5.491144180297852,11.202452278137207,17.85393524169922,31,200,0.155,31,200,0.155
qwen,BASELINE,OFFICIAL_ALPHAEDIT_N1,rewrite_target_new,100,0.03170906013714557,0.01329092588275671,0.06318072602152838,0.3358212113380432,100,100,1.0,101,101,1.0
qwen,BASELINE,OFFICIAL_ALPHAEDIT_N1,rewrite_target_true,100,13.910183491706848,14.172611236572266,18.826527023315432,22.704771041870117,0,100,0.0,0,100,0.0
qwen,BASELINE,OFFICIAL_ALPHAEDIT_N1,rephrase_target_new,200,1.853892388693348,0.4616789221763611,5.584766006469725,13.059733390808105,128,200,0.64,130,202,0.6435643564356436
qwen,BASELINE,OFFICIAL_ALPHAEDIT_N1,rephrase_target_true,200,11.828972427845,11.948886394500732,16.541853141784667,21.7529296875,0,200,0.0,0,200,0.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rewrite_target_new,100,0.031712577694779615,0.013291572220623493,0.0631799824535848,0.33590036630630493,100,100,1.0,101,101,1.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rewrite_target_true,100,13.910123529434204,14.172593593597412,18.826398086547854,22.70464515686035,0,100,0.0,0,100,0.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rephrase_target_new,200,1.8538870366892661,0.4617963135242462,5.584932088851928,13.059569358825684,128,200,0.64,130,202,0.6435643564356436
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,rephrase_target_true,200,11.828945382833481,11.94884729385376,16.541995429992674,21.752859115600586,0,200,0.0,0,200,0.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rewrite_target_new,100,0.031711800449629665,0.013291631359606981,0.06316462010145202,0.33587411046028137,100,100,1.0,101,101,1.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rewrite_target_true,100,13.910109877586365,14.172337055206299,18.826511001586915,22.704729080200195,0,100,0.0,0,100,0.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rephrase_target_new,200,1.8538945793829043,0.461736261844635,5.584422397613524,13.059595108032227,128,200,0.64,130,202,0.6435643564356436
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,rephrase_target_true,200,11.828949053287506,11.948739528656006,16.541989517211913,21.752714157104492,0,200,0.0,0,200,0.0
qwen,OURS,QKL_PROJECTED_ODE_N2,rewrite_target_new,100,0.06091975041184924,0.018990296870470047,0.09584913626313214,2.2259480953216553,100,100,1.0,101,101,1.0
qwen,OURS,QKL_PROJECTED_ODE_N2,rewrite_target_true,100,13.023005599975585,13.204950332641602,17.844668960571294,23.02771759033203,0,100,0.0,0,100,0.0
qwen,OURS,QKL_PROJECTED_ODE_N2,rephrase_target_new,200,1.917561748183798,0.48127707839012146,5.6082263469696025,13.167984008789062,125,200,0.625,127,202,0.6287128712871287
qwen,OURS,QKL_PROJECTED_ODE_N2,rephrase_target_true,200,11.612630187273025,11.709392070770264,16.437470817565917,21.772470474243164,0,200,0.0,0,200,0.0
qwen,OURS,QKL_PROJECTED_ODE_N4,rewrite_target_new,100,0.13859360223228578,0.033986128866672516,0.22541714459657713,4.171723365783691,98,100,0.98,99,101,0.9801980198019802
qwen,OURS,QKL_PROJECTED_ODE_N4,rewrite_target_true,100,11.86665069103241,11.942427158355713,16.970635986328123,22.881498336791992,0,100,0.0,0,100,0.0
qwen,OURS,QKL_PROJECTED_ODE_N4,rephrase_target_new,200,2.080733824431081,0.5864740014076233,6.153247594833372,13.80621337890625,119,200,0.595,121,202,0.599009900990099
qwen,OURS,QKL_PROJECTED_ODE_N4,rephrase_target_true,200,11.11287185549736,11.091874599456787,16.047032356262207,21.295351028442383,0,200,0.0,0,200,0.0
