model,group,method,node_count,active_node_count,active_node_fraction,terminal_qkl_last_layer,native_predictive_qkl_mean,post_projected_qkl_mean,removed_energy_fraction_mean,removed_energy_fraction_p90,positive_projected_rate_violation_max
llama,BASELINE,OFFICIAL_ALPHAEDIT_N1,0,,,,,,,,
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,10,0,0.0,4.15592098236084,1.6058674141764642,1.6058674141764642,0.0,0.0,0.0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,20,0,0.0,4.155920505523682,1.5006000301335007,1.5006000301335007,0.0,0.0,0.0
llama,OURS,QKL_PROJECTED_ODE_N2,10,10,1.0,2.0161147117614746,0.9867068067193031,0.6392584415152669,0.012208074916372309,0.019743901395717474,6.09084963798523e-07
llama,OURS,QKL_PROJECTED_ODE_N4,20,20,1.0,1.4699397087097168,0.596617178665474,0.41277763107791543,0.01841104961240458,0.03237936578342214,3.0547380447387695e-07
qwen,BASELINE,OFFICIAL_ALPHAEDIT_N1,0,,,,,,,,
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,10,0,0.0,3.7485580444335938,2.6376931428909303,2.6376931428909303,0.0,0.0,0.0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,20,0,0.0,3.7485718727111816,2.5470124311745166,2.5470124311745166,0.0,0.0,0.0
qwen,OURS,QKL_PROJECTED_ODE_N2,10,10,1.0,3.0220794677734375,2.099719214439392,1.6961382120847701,0.002386812203461889,0.0036598137966197563,1.341104507446289e-07
qwen,OURS,QKL_PROJECTED_ODE_N4,20,20,1.0,2.325930595397949,1.4918105565011501,1.2089034095406532,0.00683927163186412,0.01043768599638295,2.2165477275848389e-07
