cell,target_horizon,microsteps_per_outer,target_dt,target_field_evaluations,writer_calls,request_microstep_denominator,clamp_hits,clamp_fraction,primary_count,rescue_count,current_count,pre_clamp_energy_sum,post_clamp_energy_sum,clamp_removed_energy_sum,accepted_energy_sum,runtime_after_model_preflight_seconds,slurm_elapsed_seconds,peak_allocated_bytes,peak_reserved_bytes,W0_restored,full_fp32
Z0-COARSE,1.0,1,0.125,8,8,800,27,0.03375,788,7,5,56593.18154977978,38910.78489182355,17682.396668474084,34391.517570659315,1103.4921496594325,1151,38027805184,44010831872,True,FULL_FP32_PASS
Z1-REFINE,1.0,2,0.0625,16,8,1600,13,0.008125,1593,7,0,62086.11467116412,60360.24688596399,1725.8677498759675,58674.73220847764,1249.9552456913516,1297,38027805184,44010831872,True,FULL_FP32_PASS
