actual_progress,alias,alpha_apply,alpha_apply_over_req,alpha_req,arm,case_index,cumulative_structural_p,depth,fallback_to_neutral,final_full_current_residual_norm,finite_demand_status,identity_sha256,inner_count,inner_heldout_access_count,inner_writer_materialization_count,negative_actual,outer_net_target_displacement_norm,outer_writer_materialization_expected_count,predicted_progress,realization_ratio,realized_bf16_step_energy,receipt_sha256,rho_write,selected_capacity,selected_energy,simplex_entropy,simplex_top1_share,structural_p,tau_after,tau_before,transition_index
10.108930432796479,llama3-8b-inst,9.931179010868073,1.0,9.931179010868073,neutral,1,0.0028885703957554883,IL3-FULL,False,8.047321160778264,FINITE_SEMANTIC_WRITE,bf4a43bc138f366c15c0263671590a12aab93c700902c93413b8efe120b67bf5,3,0,0,False,8.047321160778264,1,9.931179010868073,1.0178983202028566,1.985707047528989,07f0c4bef6d965baf3204a16eedf0ff81c77784f80303d53e4f6c92c6a99d298,9.931179010868073,0.9645432285387682,1.9290864570771291,1.608985043536082,0.20843731794941345,0.0028885703957554883,0.125,0.0,1
1.0523598819971083,llama3-8b-inst,1.4936036955565213,1.0,1.4936036955565213,neutral,1,0.0040512926842908,IL3-FULL,False,10.46177468365839,FINITE_SEMANTIC_WRITE,764081c335cb2a520eef6a3b1a8e22cb62cebc20a21ab3b20e5c1483ff47e668,3,0,0,False,5.0209586082348405,1,1.4936036955565213,0.7045777170529802,0.911385951429273,1b4b6090cbb375cbfa96a046cb4300b81bc86eda246a4e4591bd51502292b6ca,1.4936036955565213,0.5420910890502679,0.7766126565915542,1.6063785079316335,0.22452921109091392,0.0040512926842908,0.25,0.125,2
0.3144803129136562,llama3-8b-inst,0.5003922663629055,1.0,0.5003922663629055,neutral,1,0.005710028683544746,IL3-FULL,False,6.508193720257574,FINITE_SEMANTIC_WRITE,27e9fcf40c7ec2e5e4cb83c17b57566b7bc6be944795603939f21a1a105b59b5,3,0,0,False,0.6897869968791338,1,0.5003922663629055,0.6284675724496147,0.5127847038225205,39684f36792967a037baf738ced257ae642b77ff306415d454f42f6b96941546,0.5003922663629055,0.29763796691573025,0.38278765903743295,1.5925479421254574,0.2735664936737039,0.005710028683544746,0.375,0.25,3
0.12944791186600924,llama3-8b-inst,0.19967662841081618,1.0,0.19967662841081618,neutral,1,0.008468021999458451,IL3-FULL,False,5.026699974620259,FINITE_SEMANTIC_WRITE,0162a6d9758200e128883598b4f7964b2e97296cbcde3269871a0a704405beec,3,0,0,False,0.3753540451583105,1,0.19967662841081618,0.6482877485274948,0.630973752609707,f80f80e5d9b96c581c890383cdfd7442e4823f6bb9e2ad8aa932e17e2a4a90ef,0.19967662841081618,0.4030236015511937,0.4931898981189837,1.5006190882652146,0.3643177537177158,0.008468021999458451,0.5,0.375,4
0.05534044113010168,llama3-8b-inst,0.07680217288434504,1.0,0.07680217288434504,neutral,1,0.01185236089850565,IL3-FULL,False,4.118471441242896,FINITE_SEMANTIC_WRITE,e097c1a30868a76c73f957e982fb121b9a3c40fabde5f3c00e301221653707ac,3,0,0,False,0.31711984744820243,1,0.07680217288434504,0.7205582739623502,0.7155702400394494,8f4e7839e5d9f6e309d0e8504722cf35311b34ddd220962092c244dacb882213,0.07680217288434504,0.4992006430234449,0.574324159446092,1.4671660860134523,0.38174576472237265,0.01185236089850565,0.625,0.5,5
0.017119649238884448,llama3-8b-inst,0.025677681993693115,1.0000000000000002,0.02567768199369311,neutral,1,0.012872239069736427,IL3-FULL,False,3.6680750098400647,FINITE_SEMANTIC_WRITE,e472fb5eb74fd36d8d85bc80dcd094856da4c61acd55e32eec459d3c3bdd491f,3,0,0,False,0.29258524979044,1,0.025677681993693115,0.6667131886394314,0.20275928601147045,1b7aa9a781d2742108c61b56a10aaaead9380cec3c88f7f4407ba1f864137588,0.02567768199369311,0.0973718195831879,0.10458596234074831,1.265552351006383,0.47312119732559077,0.012872239069736427,0.75,0.625,6
0.0061347724869847305,llama3-8b-inst,0.010892124613747,1.0,0.010892124613747,neutral,1,0.013967106365999026,IL3-FULL,False,2.99785997998712,FINITE_SEMANTIC_WRITE,c06f15c8ce94082de311a118901ac802b8c586f7fb637551bf79d9064fe71c61,3,0,0,False,0.14815565167714823,1,0.010892124613747,0.5632301047347554,0.1857197897620294,e801cbb451c50d79f876826ddd79caf7b045cf61f12fd89c8fd612d0bcee5b6c,0.010892124613747,0.09780668369412807,0.10323618564352455,1.102236601208718,0.5707355670489972,0.013967106365999026,0.875,0.75,7
0.0030662895413115614,llama3-8b-inst,0.006261585629545152,1.0000000000000002,0.006261585629545151,neutral,1,0.015651483695049057,IL3-FULL,False,2.5883820791519345,FINITE_SEMANTIC_WRITE,3c007466c07596861a8cbf7ac9d16f1f4ca463988f7c1ca377946d789da8ef12,3,0,0,False,0.12508536549653793,1,0.006261585629545152,0.4896985720107927,0.28899843343938764,a792709b385cb14dd6240788ed26f82e02d7dd2dc69ea8a6baefd47d3d12b755,0.006261585629545151,0.16976980505131778,0.17782908169946826,1.3261541921780398,0.47390654163157425,0.015651483695049057,1.0,0.875,8
8.65546144247055,llama3-8b-inst,8.838346356153487,1.0,8.838346356153487,neutral,2,0.0019709350930051796,IL3-FULL,False,6.130863756516439,FINITE_SEMANTIC_WRITE,23ea9e288c72b769c6a3bd633dd7e885783ca9b05fb50235917547bf44d2f718,3,0,0,False,6.130863756516439,1,8.838346356153487,0.9793077905851011,1.0775481917583902,f6c5642421809832eebca12c98beb4d58fbb894bd80021d7ccfa9857c19ccb61,8.838346356153487,0.5184889248540901,1.0369778497077942,1.6085691367926,0.2111250111623201,0.0019709350930051796,0.125,0.0,1
1.9260390520095825,llama3-8b-inst,2.508656030334532,1.0,2.508656030334532,neutral,2,0.0030693682776762616,IL3-FULL,False,7.405419160713814,FINITE_SEMANTIC_WRITE,f0f8a9e7f33943bf0175a8d965b1747ee6e12e00327e4233a5ade38ccb93cdec,3,0,0,False,3.4886138961520463,1,2.508656030334532,0.7677573285137632,0.5840523586053832,0e74ea3f085ecfd679e0e8077bee3618f054196e7904e6a8bb16dcd9b50c00e4,2.508656030334532,0.2819152687573797,0.46419158171955743,1.6055263356614606,0.2273532574588337,0.0030693682776762616,0.25,0.125,2
0.4055656313896179,llama3-8b-inst,0.6146091877482831,1.0,0.6146091877482831,neutral,2,0.004102884451165589,IL3-FULL,False,5.163966191890626,FINITE_SEMANTIC_WRITE,061f5fd889ab34fdd38e27e0dbc999e325f8e84765f861f56c3ac2b626db8807,3,0,0,False,0.5197724162623294,1,0.6146091877482831,0.6598756404463639,0.2685240874092901,a761f068a471cb04ce4351cef334c60fd478ac2aea52e3ddce83784d95046191,0.6146091877482831,0.10542751097832459,0.16089703142720865,1.5210488229518198,0.3345969609304283,0.004102884451165589,0.375,0.25,3
0.13345674760639667,llama3-8b-inst,0.21576082883402709,1.0000000000000002,0.21576082883402706,neutral,2,0.0054618666898749975,IL3-FULL,False,4.110347542542653,FINITE_SEMANTIC_WRITE,c8c553e2a0045858050e15bcc979b109b5001a706b005429f0c2a62cc922cf06,3,0,0,False,0.25202356444835056,1,0.21576082883402709,0.6185402064294886,0.25193936890447877,4db55932875a573e64aa2475f16c0f7f2ecabc2cee134e51e34c5bffb7994f0b,0.21576082883402706,0.0971723058196335,0.14461833644565364,1.4400738729592808,0.38298922170250244,0.0054618666898749975,0.5,0.375,4
0.052215729188174013,llama3-8b-inst,0.08513472946360709,1.0000000000000002,0.08513472946360708,neutral,2,0.007068374030407005,IL3-FULL,False,3.5420463675341005,FINITE_SEMANTIC_WRITE,81cfe41fd945b04846710319d2df5ef7de1b0cdfc943388495c6175ad61ff853,3,0,0,False,0.20706631445230336,1,0.08513472946360709,0.6133305352252855,0.2472678226621794,b6bc1ad8cdddd78ca6ee4b91cf98e709e69a784fb031c3edfa595e7ba282d071,0.08513472946360708,0.10239051285701548,0.15393734401094872,1.2279728620871126,0.4537110495122083,0.007068374030407005,0.625,0.5,5
0.02044332753866911,llama3-8b-inst,0.03474731668829918,1.0,0.03474731668829918,neutral,2,0.008467421922839039,IL3-FULL,False,2.8998752942372286,FINITE_SEMANTIC_WRITE,43faec9b0e24e60667ec97ed4465f048d8e849c738c5b8186c0eb0ce5726d7a1,3,0,0,False,0.17543095889298904,1,0.03474731668829918,0.5883426257646306,0.18504479071607638,eff60d0d5a829de8bfdbad7b0b4b2414489fe7082b56566fb9f6d14e9fcbacd8,0.03474731668829918,0.07809850295167618,0.11514045748247345,1.0400372536953764,0.48723110011681864,0.008467421922839039,0.75,0.625,6
0.011693924618884922,llama3-8b-inst,0.01620737600605935,1.0,0.01620737600605935,neutral,2,0.00952755521938434,IL3-FULL,False,2.1727311551118467,FINITE_SEMANTIC_WRITE,c4d8e8c720247d6983835e8e15d9cb725e15edaca605f73dc564584ca2cc65b9,3,0,0,False,0.15109395109521526,1,0.01620737600605935,0.7215186847342215,0.12401151968017347,4f4d6272d760601bf4633e7db218c54887f559fb1b309354d355bf205781f237,0.01620737600605935,0.04488996470412626,0.06438102524870448,1.0634688711864195,0.45840146861019737,0.00952755521938434,0.875,0.75,7
0.004025726858526468,llama3-8b-inst,0.0056499571073800325,1.0,0.0056499571073800325,neutral,2,0.010616476654072043,IL3-FULL,False,1.722288236307265,FINITE_SEMANTIC_WRITE,00cd3b1dd64bfaa23e5578df8f6a2099c411a9c13ec0e34af9cc008b1940e1af,3,0,0,False,0.10347356456045696,1,0.0056499571073800325,0.712523437260793,0.14568531221513348,7c63f42eb644c68302bb8f9bf33df854f7b4b0e49fc0fc6634e8370d1573fa13,0.0056499571073800325,0.05025470351573311,0.07127486549565593,1.2515389665036372,0.45868955887866436,0.010616476654072043,1.0,0.875,8
7.611484241485597,llama3-8b-inst,7.357236915826798,1.0,7.357236915826798,neutral,3,0.0017443663029908965,IL3-FULL,False,5.607027207472426,FINITE_SEMANTIC_WRITE,ebea3da599df77c84d6805c1db771431ef77d3fbed1b7362f4cdd929f7bed740,3,0,0,False,5.607027207472426,1,7.357236915826798,1.03455744711875,1.1804500517404408,56c626a285c50bfe3899fcfa80a16562bde28a2fd15157ab420828748c25e0d1,7.357236915826798,0.570127626902506,1.140255253804557,1.6091227867864206,0.2095270961871288,0.0017443663029908965,0.125,0.0,1
1.043665248155594,llama3-8b-inst,1.7430436924099924,1.0,1.7430436924099924,neutral,3,0.0034818288804264927,IL3-FULL,False,7.856630230754945,FINITE_SEMANTIC_WRITE,3452296574f3fd4e8fdf391c8f1fe5391f35c1ee808de5c1b967b3adae0e7a86,3,0,0,False,3.5354413730565133,1,1.7430436924099924,0.5987602334354489,1.2412887691680234,07457c12bd3e93f06308a190f2fa6f1b66401918a822935590e08bbccbb06baf,1.7430436924099924,0.6871070468737485,1.1087581994287894,1.5792767624215724,0.27018336958369155,0.0034818288804264927,0.25,0.125,2
