arm,panel,metric,numerator,denominator,rate,strict_new_numerator,strict_true_numerator,ties,new_token_correct,new_token_count,true_token_correct,true_token_count,reference_success,loss,recovery,delta_pp,paired_ci_low,paired_ci_high,paired_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,paired_new_nll_delta_mean,paired_new_nll_delta_median,paired_new_nll_delta_p90,paired_new_nll_delta_max,margin_mean,margin_median,margin_p90,margin_max
N,Current100,RS,100,100,100.0,99,0,0,100,101,3,103,100,0,0,0.0,0.0,0.0,100,0.026669071845753935,0.0013931221910752356,0.00659493692219258,2.0812184810638428,14.254081435203553,14.04689884185791,19.951481246948244,23.32013702392578,0.0,0.0,0.0,0.0,14.227412363357798,14.046267650584923,19.950019742222505,23.31909960694611
N,Current100,PS,197,200,98.5,149,0,0,150,202,6,206,197,0,0,0.0,0.0,0.0,100,1.194420348558633,0.15750490128993988,3.8236731529235812,9.980754852294922,10.573924385309219,10.447751522064209,15.138736534118653,22.599864959716797,0.0,0.0,0.0,0.0,9.379504036750586,9.451745667494833,15.077769157197325,22.587758803740144
N,Current100,NS,711,1000,71.1,50,101,0,59,1010,131,1030,711,0,0,0.0,0.0,0.0,100,8.478977380886674,8.530241012573242,13.887942981719972,21.457075119018555,5.960384629011154,5.453312158584595,10.82565221786499,21.415849685668945,0.0,0.0,0.0,0.0,-2.5185927518755196,-2.738470673561096,4.307061992585661,13.43047098070383
N,Fixed100,RS,100,100,100.0,97,0,0,98,101,3,103,100,0,0,0.0,0.0,0.0,100,0.2273578988427471,0.005885587306693196,0.20489913672208807,6.490207195281982,12.724215713739396,12.892826557159424,17.81846656799317,27.040586471557617,0.0,0.0,0.0,0.0,12.496857814896648,12.49742570874514,17.79805371496041,27.040369772556005
N,Fixed100,PS,194,200,97.0,134,1,0,136,202,7,206,194,0,0,0.0,0.0,0.0,100,1.5020766990911216,0.4662120044231415,4.5450558185577385,11.548550605773926,9.628624231815339,9.304791927337646,14.67216577529907,20.616844177246094,0.0,0.0,0.0,0.0,8.126547532724217,7.974751217290759,13.598134955856949,20.61320942407474
N,Fixed100,NS,696,1000,69.6,51,79,0,52,1010,109,1030,696,0,0,0.0,0.0,0.0,100,8.672806901887059,8.740850448608398,13.959786796569828,23.096139907836914,6.515947302433196,6.235623598098755,11.15684700012207,20.222591400146484,0.0,0.0,0.0,0.0,-2.156859599453863,-2.3272037506103516,4.107971978187561,12.704553842544556
N,Past100,RS,100,100,100.0,99,0,0,100,101,3,103,100,0,0,0.0,0.0,0.0,100,0.027742637576302513,0.0024929536739364266,0.030253064446151286,1.0998250246047974,13.628888692855835,13.183819770812988,18.533336830139167,23.019498825073242,0.0,0.0,0.0,0.0,13.601146055279532,13.183168485411443,18.532668208342518,23.014097640756518
N,Past100,PS,193,200,96.5,137,3,0,139,202,9,206,193,0,0,0.0,0.0,0.0,100,1.3197504089114955,0.2204936444759369,4.066447162628173,11.378697395324707,9.972619814276696,9.817331314086914,14.28910617828369,20.299097061157227,0.0,0.0,0.0,0.0,8.6528694053652,8.755452901124954,13.925194052699954,20.297530924435705
N,Past100,NS,686,1000,68.60000000000001,56,113,0,66,1010,143,1030,686,0,0,0.0,0.0,0.0,100,7.743244072382921,7.841043710708618,12.423560619354248,19.828824996948242,5.90732610468939,5.612534999847412,10.64333896636963,19.57468032836914,0.0,0.0,0.0,0.0,-1.8359179676935309,-1.9366034865379333,3.6439655303955085,13.777354717254639
OS,Current100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0.0,0.0,0.0,100,0.005066743798961397,0.0015613757423125207,0.00620593572966755,0.20244473218917847,14.271485557556153,14.071277618408203,19.828812599182132,23.467626571655273,-0.021602328046792536,3.8067097193561494e-05,0.0008054397534579043,0.0071683619171381,14.266418813757191,14.069996859470848,19.827375398681035,23.466620831983164
