endpoint,explicit_observation_reuse,generation_requests,greedy_target_prefix_success,EOS_stopped,max32_reached,target_over32,generated_tokens,source_raw_SHA,reuse_kind,generation_status
W0,True,0,0,0,0,0,0,f504f27888a42121c372004f7594c5fdaee5c2ea336ca856b086a0e730b6bb1c,PRIOR_CANONICAL,NOT_MEASURED
N4,True,100,100,0,100,0,3200,7bf599beec64914ef34f663daea4e044c0f58e834c04e57cff7540b9d3fcf775,PRIOR_CANONICAL,OBSERVED_MAX32_REACHED_NOT_TARGET_LENGTH_CENSORED
LEGACY_SCHEDULE_R512_G256,False,100,100,0,100,0,3200,6f7337f71512f90bc9016883d2b96adee1f84fe9291915e9027cd55902f0bb13,NONE,OBSERVED_MAX32_REACHED_NOT_TARGET_LENGTH_CENSORED
REUSE_SCHEDULE_R512_G256,True,100,100,0,100,0,3200,4c33842b5c9b5f53155f6e1722ef57f32b2469b7d4e9da04a66eb856715790a9,SAME_EPISODE,OBSERVED_MAX32_REACHED_NOT_TARGET_LENGTH_CENSORED
