arm,trial,rows,new_sequences,native_strict_retained,native_canonical_pair_retained,max_new_NLL_increase,status
LEGACY_SCHEDULE_R512_G256,3,1400,700,700,100,2.3655593395233154e-07,CPU_SCALAR_ID_REPLAY_PASS
REUSE_SCHEDULE_R512_G256,3,1400,700,700,100,2.3655593395233154e-07,CPU_SCALAR_ID_REPLAY_PASS
