arm,sweep,gradient,documents,positions,independently_reduced_loss,rows_sha256,status
LEGACY_SCHEDULE_R512_G256,0,True,512,130235,0.0011201772680244288,a8119961efce4784d207a165a09a78c19c65dd330c0f1d18d1784477df0931eb,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
LEGACY_SCHEDULE_R512_G256,1,False,512,130235,0.003056098332489184,0e145f6186710715a0b84dfc6081d420cd5c416d69aab573e761ff2d36d83df6,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
LEGACY_SCHEDULE_R512_G256,2,False,512,130235,0.0016900065940794586,a29bcb072dfbbf78a383cbb80c7fd7bf88fbdf9dc0262ad6c21aa6db4c7fa51e,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
LEGACY_SCHEDULE_R512_G256,3,False,512,130235,0.0011811945914412473,c48359370ad8d67fad3ab4c7e98ac4c83414ffc0de9206d4d35c7e34526f061d,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
LEGACY_SCHEDULE_R512_G256,4,False,512,130235,0.0010561483517709475,14dba07f1e1c9eeaaf379e8a62283d40904518f7f90ef641031753531d86f1ba,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
REUSE_SCHEDULE_R512_G256,0,True,512,130235,0.0011201772680244288,a8119961efce4784d207a165a09a78c19c65dd330c0f1d18d1784477df0931eb,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
REUSE_SCHEDULE_R512_G256,1,False,512,130235,0.003056098332489184,0e145f6186710715a0b84dfc6081d420cd5c416d69aab573e761ff2d36d83df6,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
REUSE_SCHEDULE_R512_G256,2,False,512,130235,0.0016900065940794586,a29bcb072dfbbf78a383cbb80c7fd7bf88fbdf9dc0262ad6c21aa6db4c7fa51e,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
REUSE_SCHEDULE_R512_G256,3,False,512,130235,0.0011811945914412473,c48359370ad8d67fad3ab4c7e98ac4c83414ffc0de9206d4d35c7e34526f061d,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
REUSE_SCHEDULE_R512_G256,4,False,512,130235,0.0010561483517709475,14dba07f1e1c9eeaaf379e8a62283d40904518f7f90ef641031753531d86f1ba,SAVED_ROWS_EXACT_MEAN_AND_COVERAGE_PASS
