arm,component,quantity,value
LEGACY_SCHEDULE_R512_G256,current,backward_seconds,0.0
LEGACY_SCHEDULE_R512_G256,current,cache_transfer_seconds,0.0
LEGACY_SCHEDULE_R512_G256,current,cached_backward_documents,0
LEGACY_SCHEDULE_R512_G256,current,cached_input_tokens,52080
LEGACY_SCHEDULE_R512_G256,current,cached_suffix_forwards,3120
LEGACY_SCHEDULE_R512_G256,current,cached_suffix_seconds,87.0815382245928
LEGACY_SCHEDULE_R512_G256,current,comparison_logit_elements,1335914496
LEGACY_SCHEDULE_R512_G256,current,gradient_sweeps,0
LEGACY_SCHEDULE_R512_G256,current,head_positions,22776
LEGACY_SCHEDULE_R512_G256,current,kl_documents,0
LEGACY_SCHEDULE_R512_G256,current,kl_input_tokens,0
LEGACY_SCHEDULE_R512_G256,current,kl_scored_positions,0
LEGACY_SCHEDULE_R512_G256,current,kl_sweeps,0
LEGACY_SCHEDULE_R512_G256,current,physical_backward_documents,0
LEGACY_SCHEDULE_R512_G256,current,physical_copy_restore_seconds,0.0
LEGACY_SCHEDULE_R512_G256,current,physical_exact_restores,0
LEGACY_SCHEDULE_R512_G256,current,physical_full_forwards,0
LEGACY_SCHEDULE_R512_G256,current,physical_full_seconds,0.0
LEGACY_SCHEDULE_R512_G256,current,physical_input_tokens,0
LEGACY_SCHEDULE_R512_G256,current,physical_weight_installs,0
LEGACY_SCHEDULE_R512_G256,current,prefix_forwards,0
LEGACY_SCHEDULE_R512_G256,current,prefix_input_tokens,0
LEGACY_SCHEDULE_R512_G256,current,prefix_seconds,0.0
LEGACY_SCHEDULE_R512_G256,current,prefix_valid_tokens,0
LEGACY_SCHEDULE_R512_G256,current,teacher_bytes_read,0
LEGACY_SCHEDULE_R512_G256,current,teacher_documents_read,0
LEGACY_SCHEDULE_R512_G256,current,teacher_read_seconds,0.0
LEGACY_SCHEDULE_R512_G256,schedule,excludes_shared_native_geometry_teacher_commit_observer,True
LEGACY_SCHEDULE_R512_G256,external_current_weight,H2D_bytes,732828794880
LEGACY_SCHEDULE_R512_G256,external_current_weight,H2D_calls,3120
LEGACY_SCHEDULE_R512_G256,external_current_weight,calls,3120
LEGACY_SCHEDULE_R512_G256,external_current_weight,cuda_validation_upload_ms,408858.76860046387
LEGACY_SCHEDULE_R512_G256,external_current_weight,finite_scanned_bytes,732828794880
LEGACY_SCHEDULE_R512_G256,external_current_weight,wall_seconds,409.2933975337073
LEGACY_SCHEDULE_R512_G256,schedule,includes_controller_evidence_IO,True
LEGACY_SCHEDULE_R512_G256,schedule,method_gradient_shared,False
LEGACY_SCHEDULE_R512_G256,schedule,no_nested_timer_sum,True
LEGACY_SCHEDULE_R512_G256,optimizer,accepted_rounds,1
LEGACY_SCHEDULE_R512_G256,optimizer,attempted_trial_slots,4
