quantity,value
canonical_Dev_generation_observers_seconds,346.15984198916703
current_cache_and_keys_seconds,11.054691792465746
final_history_checkpoint_reload_and_parity_seconds,113.41023149713874
model_load_seconds,23.701854644343257
native_reuse_binding_seconds,9.943700082600117
reference_cache_load_seconds,342.64937597326934
selected_physical_parity_seconds,30.456855304539204
shared_geometry_seconds,155.86144125834107
teacher_binding_seconds,175.07545381598175
technical_seconds,112.70870463550091
terminal_nonselected_hash_inventory_seconds,92.99107202794403
new_B1_artifact_logical_bytes,5884218997
