before,after,metric,denominator,lost,gained,delta_pp
N4,LEGACY_SCHEDULE_R512_G256,RS,100,0,0,0.0
N4,LEGACY_SCHEDULE_R512_G256,PS,200,0,0,0.0
N4,LEGACY_SCHEDULE_R512_G256,NS,1000,0,0,0.0
N4,REUSE_SCHEDULE_R512_G256,RS,100,0,0,0.0
N4,REUSE_SCHEDULE_R512_G256,PS,200,0,0,0.0
N4,REUSE_SCHEDULE_R512_G256,NS,1000,0,0,0.0
LEGACY_SCHEDULE_R512_G256,REUSE_SCHEDULE_R512_G256,RS,100,0,0,0.0
LEGACY_SCHEDULE_R512_G256,REUSE_SCHEDULE_R512_G256,PS,200,0,0,0.0
LEGACY_SCHEDULE_R512_G256,REUSE_SCHEDULE_R512_G256,NS,1000,0,0,0.0
