endpoint,metric,numerator,denominator,percent,ties,delta_N4_pp,new_strict,true_strict
W0,RS,5,100,5.0,0,-95.0,0,21
W0,PS,20,200,10.0,0,-87.0,0,43
W0,NS,886,1000,88.6,0,2.0999999999999943,0,171
N4,RS,100,100,100.0,0,0.0,100,0
N4,PS,194,200,97.0,0,0.0,125,2
N4,NS,865,1000,86.5,0,0.0,8,160
LEGACY_SCHEDULE_R512_G256,RS,100,100,100.0,0,0.0,100,0
LEGACY_SCHEDULE_R512_G256,PS,194,200,97.0,0,0.0,125,2
LEGACY_SCHEDULE_R512_G256,NS,865,1000,86.5,0,0.0,8,160
REUSE_SCHEDULE_R512_G256,RS,100,100,100.0,0,0.0,100,0
REUSE_SCHEDULE_R512_G256,PS,194,200,97.0,0,0.0,125,2
REUSE_SCHEDULE_R512_G256,NS,865,1000,86.5,0,0.0,8,160
