scope,kind,seconds,GPUh,note
PREP,ACTUAL_PARENT_ALLOCATION,15476,4.2988888888888885,parent only; utilization NOT_MEASURED
B1,ACTUAL_PARENT_ALLOCATION,7696,2.137777777777778,parent only; utilization NOT_MEASURED
PREP_PROGRAM,RECORDED_WALL,15472.14337023627,,not added to allocation
B1_PROGRAM,RECORDED_WALL,7687.592004858889,,not added to allocation
PRIOR_SHARED_NATIVE,REUSED_PRIOR_COST_NOT_NEW,285.9107814403251,,not added to allocation
LEGACY_SCHEDULE_R512_G256,CONTROLLER_WALL_OBSERVED,3313.261738304049,,fixed order; page-cache not flushed
LEGACY_SCHEDULE_R512_G256,ARITHMETIC_STANDALONE_WITH_PRIOR_NATIVE,3599.172519744374,,"constructed, not new standalone job; setup/observer excluded"
LEGACY_SCHEDULE_R512_G256,ARITHMETIC_WITH_COMMON_PREPARATION_AND_B1_SETUP,19503.69162610732,,"constructed; shared stages counted once per standalone view, not added across arms"
REUSE_SCHEDULE_R512_G256,CONTROLLER_WALL_OBSERVED,2798.4508321313187,,fixed order; page-cache not flushed
REUSE_SCHEDULE_R512_G256,ARITHMETIC_STANDALONE_WITH_PRIOR_NATIVE,3084.361613571644,,"constructed, not new standalone job; setup/observer excluded"
REUSE_SCHEDULE_R512_G256,ARITHMETIC_WITH_COMMON_PREPARATION_AND_B1_SETUP,18988.88071993459,,"constructed; shared stages counted once per standalone view, not added across arms"
