index,role,source_row_id,actual_T,TF_tokens,score_positions,capsule_sha256
0,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|26499,256,384,256,7cdf76d0da3679339543da6f9cfbcc714f77aca735405b1634f492431733af0c
1,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|177139,256,384,256,552cbc1cb66e67e739aee20764de660db23de7849fb7159189eb7144f153a411
2,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|84694,256,384,256,0388addde4bdc628b557a0409c35d15b373b22051ed40f4b5a352320f8acb632
3,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|243812,256,384,256,e96d67fdb3c54c8ce258c9a49a1e8bc69d058c0f72cf451090ad262f93cd5681
4,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|129022,256,384,256,f9659e5e952eb10154e739052c944f88448e11b4e8dd2fb98bffb96e19fa163a
5,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|274635,256,384,256,884e58419b168874728c256ade6b9c5028686df9bf8985bd137ed05978c76cf4
6,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|349024,256,384,256,ab4bdbe5e638b07f56e9eef562b9b5ce14218196e678beb6ee982acbee7ab1ca
7,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|220757,256,384,256,6be75864a027917996eb0d7a2f95ebac4c716f2e0fa101b5240969b5ef60d29f
8,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|293536,256,384,256,c990de6f69b34432d743f4004033e19885570efc6e952e5969998067b9198603
9,R512,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|159318,256,384,256,92830dd5c295c163174528e962a484fadce6b7563eaac054d8d47333a25717ef
