alias,allocation,arm,method,case,status,success,accepted_steps,restore_pointer,restore_bytes,request_order,w_eff,w_gen,w_loc,w_eff_nll_mean,w_eff_nll_median,w_eff_nll_p90,w_eff_nll_worst,w_eff_margin_mean,w_gen_nll_mean,z_eff,z_gen,z_eff_nll_mean,z_eff_nll_median,z_eff_nll_p90,z_eff_nll_worst,z_eff_margin_mean,z_gen_nll_mean,z_full6_new_loss,w_full6_new_loss,z_first_hit_eff10_k,z_best_nll_k,z_plateau_k,z_w_eff_gap,z_w_gen_gap,w_minus_z_eff_nll,z_class,alpha_matched,alpha_eff,alpha_gen,alpha_loc,alpha_eff_nll_mean,alpha_eff_nll_median,alpha_eff_nll_p90,alpha_eff_nll_worst,alpha_eff_margin_mean,z_alpha_eff_gap,z_alpha_gen_gap,z_minus_alpha_eff_nll,predicted_sum,actual_sum,realization_mean,negative_actual_steps,equality_max,dof_min,dof_max,entropy_mean,neff_mean,v_gt1_total,v_max,capacity_terminal,energy_terminal,P_terminal,P_auc,bf16_capacity_terminal,functional_p_mean,functional_p_smoothmax,edit_core_wall,stepwise_eval_wall,w0_eval_wall,forwards,backwards,target_backwards,slope_backwards,tokens,scientific_materializations,eval_materializations,routing_wall,field_slope_wall,target_wall,materialization_wall,failure_class,failure_message_sha,target_old_stepwise
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,1,SUCCESS,1,8,True,True,20933669138b5090645da9ea81b662085081fbc7eb756f542ec90bb9f51435ac,10,18,92,0.0361663818359375,0.00701904296875,0.060595703124999914,0.267578125,12.913833618164062,2.2868408203125,10,18,0.018483352661132813,0.009796142578125,0.04851074218749999,0.0654296875,12.850266647338866,2.219171142578125,0.05420200997032225,0.03356695743277669,5,8,6,0,0,0.017683029174804684,BOTH_WEAK_OR_TYPED_INCOMPLETE,1,10,19,92,0.001657867431640625,0.00046443939208984375,0.002201080322265621,0.0123291015625,15.473342132568359,0,-1,0.016825485229492187,23.069528864243036,0.4189049968495965,0.3093238711016962,0,0.0,4,4,1.6021894209847993,4.9642256764732675,0,0.6117000216028005,0.16195405675955515,0.18138200720167677,0.009932058934978153,0.030631402251107366,6.727455769898767,0.007293194650760071,0.011853490407432507,84.95418801810592,415.66912469733506,,180,125,85,40,28152,8,8,0.0034381207078695297,45.276868912391365,8.03591331653297,13.501636610366404,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,2,SUCCESS,1,8,True,True,d926188b4b11b462acfbf3c3cb3623bbd37a6043dc2673072e40004eb2e0e22a,10,16,86,0.0421142578125,0.01702880859375,0.060131835937499906,0.287109375,11.4672607421875,2.495263671875,10,16,0.1036590576171875,0.01324462890625,0.1449951171874997,0.8984375,11.424465942382813,2.4208740234375,0.3454718408640474,0.26661424450576304,5,8,5,0,0,-0.061544799804687494,Z_TARGET_WEAK,1,10,20,84,0.0006142973899841309,0.0005397796630859375,0.0011856079101562498,0.00162506103515625,16.574385702610016,0,-4,0.10304476022720337,21.54724951677873,0.008996374905109406,0.009102751057298264,0,4.440892098500626e-16,4,4,1.590814853821206,4.908299764286777,0,0.4115355276876203,0.2969371704573801,0.4518481577347569,0.008170185285897278,0.02311656529326542,4.591067966943845,0.06772692571121079,0.332372887369397,99.40816362388432,417.8114970913157,,180,125,85,40,29043,8,8,0.003419858403503895,53.53644683025777,10.063371415250003,13.38780066743493,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,3,SUCCESS,1,8,True,True,38bed59f6dc2b193082c30197e61ca9cfddaaecf3e524a0dbcb358f780c4db1a,10,19,87,0.03454132080078125,0.009613037109375,0.059774780273437425,0.228607177734375,12.415458679199219,3.07957763671875,10,19,0.01915283203125,0.0042572021484375,0.03828353881835934,0.12575531005859375,13.21834716796875,2.5216651916503907,0.03387184551684186,0.0655023958766833,4,8,8,0,0,0.015388488769531247,MIXED_NOT_IDENTIFIABLE,1,10,18,87,0.0006016731262207031,0.000308990478515625,0.001823091506958008,0.002026081085205078,16.13064832687378,0,1,0.018551158905029296,17.1126401043392,0.11750716313254086,0.2550636631576696,0,4.440892098500626e-16,4,4,1.6059078619243459,4.982395891494073,0,0.2953371142103499,0.2475231775653932,0.39184177084285426,0.006643452160711022,0.019741183550743335,4.269537244331977,0.0045515046660752,0.0053409556473618565,87.4730920996517,418.31747161690146,,180,125,85,40,29295,8,8,0.003575412556529045,48.84154284838587,8.4543884601444,13.819269398227334,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,4,SUCCESS,1,8,True,True,d866c44874892d760da97cd7ede76979ae2281c2934a83d9c10695159e88d3d3,10,16,90,0.1122833251953125,0.0513916015625,0.26582031249999993,0.373046875,8.787716674804688,3.3699737548828126,10,16,0.08930435180664062,0.0347900390625,0.246875,0.25390625,9.316945648193359,3.2897323608398437,0.12064955527894199,0.15548240141943098,6,8,6,0,0,0.022978973388671886,MIXED_NOT_IDENTIFIABLE,1,10,15,91,0.0018537282943725587,0.0008754730224609375,0.0029998779296874977,0.0093994140625,12.604396271705628,0,1,0.08745062351226807,24.828272384631642,0.32602832270786164,0.12677200495588553,0,4.440892098500626e-16,4,4,1.5794687438123096,4.854212795504692,0,0.4934086343606959,0.4964221100320569,0.5682938217454023,0.012556446229300949,0.036162095262207705,7.008928215168325,0.11589240329197563,1.0300013788936098,79.85750060155988,418.6970125613734,,180,125,85,40,28782,8,8,0.003240521065890789,41.573036323301494,7.973589439876378,13.501770944334567,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,5,SUCCESS,1,8,True,True,bb5f940c463a8c24798c3f75045c109b1f6752da1086e9ec5cb36de0c434c1b0,10,17,86,0.402880859375,0.013763427734375,0.5241210937499987,3.703125,10.109619140625,2.121014404296875,10,17,0.25301971435546877,0.0135498046875,0.34609374999999926,2.265625,10.56573028564453,2.257867431640625,0.17809379929676653,0.3237855684477836,6,8,8,0,0,0.14986114501953124,MIXED_NOT_IDENTIFIABLE,1,10,17,84,0.0006321907043457031,0.0005550384521484375,0.001134490966796875,0.00152587890625,13.643117809295655,0,0,0.25238752365112305,22.219259674073363,0.57918437323533,0.5118942145548536,0,2.220446049250313e-16,4,4,1.6031047137556982,4.96860365077609,0,0.4250440587269148,0.3759588430847028,0.5428416249847308,0.006665475905938896,0.018732004626621418,4.487257367566592,0.0066384109229700615,0.011820270791784528,95.28920345567167,419.607497099787,,180,125,85,40,27378,8,8,0.00334178376942873,55.62828453350812,8.945650978013873,13.543796749785542,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,6,SUCCESS,1,8,True,True,36f62d08abd69321360044edb1500c6afd302f7c10c546e78467e866c2ef3dd5,10,16,84,1.08564453125,0.7275390625,2.810937499999999,4.34375,8.84248046875,2.77947998046875,10,17,0.2944957733154297,0.01092529296875,0.4964843749999992,2.46875,12.33987922668457,1.7790016174316405,0.33613877023453825,1.1281426137313246,6,8,6,0,1,0.7911487579345704,BOTH_WEAK_OR_TYPED_INCOMPLETE,1,10,19,82,0.0006456136703491211,0.000553131103515625,0.0011924743652343749,0.0016937255859375,15.993104386329652,0,-2,0.2938501596450806,31.252824485955497,0.679983102530241,0.8210854070552738,0,4.440892098500626e-16,4,4,1.6016578577248242,4.961571922454459,5,2.2949013475589384,0.2571671891846057,0.08877410014075546,0.03444957537013801,0.11197607151573435,21.711594720361987,0.007778098361770533,0.017320378651997793,93.28921276517212,415.1887281090021,,180,125,85,40,28179,8,8,0.00362988468259573,51.41175765078515,9.03202162310481,13.675058580003679,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,7,SUCCESS,1,8,True,True,badf5694b025745be31e42e3bd18a603f8fde0db206462b01c0794d5bb0431fc,10,19,94,0.3986907958984375,0.0511474609375,1.0394531249999992,2.765625,8.735686445236206,1.9387115478515624,10,20,0.5405143737792969,0.013458251953125,0.5982910156249982,5.1875,10.337613010406494,1.5262985229492188,0.739261885965243,0.6071882758289575,5,8,6,0,1,-0.14182357788085942,MIXED_NOT_IDENTIFIABLE,1,10,20,94,0.0012120246887207032,0.0007839202880859375,0.0030120849609374997,0.003204345703125,14.62691354751587,0,0,0.5393023490905762,22.839290483279328,0.7826293101534247,1.079670281014143,0,4.440892098500626e-16,4,4,1.5847742742150226,4.883451890685078,0,0.5482986043951252,0.10582624298338776,0.14016608073873146,0.007726226726728462,0.023093492396187486,4.872748873354746,0.0056180658507486,0.011002244191505299,83.05503550544381,418.9834697637707,,180,125,85,40,30438,8,8,0.0033222371712327003,45.70842809602618,8.013771296478808,13.425034828484058,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,8,SUCCESS,1,8,True,True,c363db241e2c07ca144d278b90b21023234c7c63d6bc7156eb180b7cd6ebb572,9,19,80,0.44315338134765625,0.01470947265625,0.7246093749999987,3.90625,8.894346618652344,2.95548095703125,10,20,0.048986053466796874,0.0098876953125,0.0902587890624999,0.35546875,10.388513946533203,2.459716796875,0.06081887376494706,0.34879481298848986,4,8,6,1,1,0.3941673278808594,MIXED_NOT_IDENTIFIABLE,1,10,20,77,0.0018198013305664063,0.0013580322265625,0.0036849975585937496,0.004852294921875,12.060680198669434,0,0,0.04716625213623047,23.14361592134048,-0.01855362979695202,-0.017523588287475723,1,2.220446049250313e-16,4,4,1.5953706045589278,4.9305267158070505,0,0.46411940161172466,0.14453849406472383,0.1994301541041121,0.008835273151908137,0.027057369886096833,4.823555782397616,0.002766080134608848,0.0030045818552274436,77.38291264045984,415.6499804928899,,180,125,85,40,28152,8,8,0.003334169276058674,39.900990766473114,7.662947318516672,13.476496146060526,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,9,SUCCESS,1,8,True,True,1702d290642650ce9a2ff4a5687d48c469441e4d2b7c3f204e05d71d6918eefd,10,20,92,0.02139625549316406,0.01568603515625,0.0515380859375,0.05615234375,11.709853744506836,0.9922195434570312,10,20,0.023860931396484375,0.01568603515625,0.05712890624999999,0.0791015625,11.513639068603515,0.9861846923828125,0.04589686328545213,0.04156915172934532,6,8,6,0,0,-0.002464675903320314,MIXED_NOT_IDENTIFIABLE,1,10,18,89,0.0005582809448242187,0.000446319580078125,0.001175689697265625,0.001251220703125,14.924441719055176,0,2,0.023302650451660155,24.119081619190542,0.06793493609875441,0.09349978984757144,0,8.881784197001252e-16,4,4,1.5945649029841555,4.926749192192043,0,0.555865639985208,0.5646233729620949,0.7748663141484484,0.009797761078234482,0.028039821128850596,5.215700375736994,0.01943416156618504,0.1331754225162797,87.3266733745113,419.78417296428233,,180,125,85,40,28152,8,8,0.003327431157231331,49.668025123886764,7.9237332521006465,13.599354182370007,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
llama3-8b-inst,BG,Neutral,BG-P1R24-NEUTRAL,10,SUCCESS,1,8,True,True,add78cd5df75ad1ee941a84527fba9b0a63cfde5a3338450ffbe6bc248af08d9,9,15,80,1.611151123046875,0.033203125,5.165624999999997,11.4375,10.801348876953124,3.0779876708984375,9,16,1.5414337158203124,0.02294921875,4.968749999999997,10.875,10.942941284179687,2.789190673828125,1.3751941912807524,1.429259619070217,,7,8,0,1,0.0697174072265625,BOTH_WEAK_OR_TYPED_INCOMPLETE,1,10,19,79,0.0020952463150024415,0.001049041748046875,0.004394531249999998,0.0098876953125,15.485404753684998,-1,-3,1.53933846950531,20.05100488194641,0.06259007286280394,0.14924781756575128,0,4.440892098500626e-16,4,4,1.5983091469216149,4.94608603406967,0,0.39892067964901823,0.550774829176239,0.85981838958313,0.00773673125236407,0.021717339257445713,4.757375200930661,0.011445343324086671,0.05735617835704457,79.88273354806006,417.6562253655866,,180,125,85,40,29439,8,8,0.0032823029905557632,41.36501722596586,7.928566817194223,13.705848461948335,,,NOT_RECORDED_BY_FROZEN_TARGET_NEW_PLAN
