amplitude,central_curvature_max,central_curvature_mean,central_curvature_median,central_curvature_p90,denominator,derivative_along_GFminus_max,derivative_along_GFminus_mean,derivative_along_GFminus_median,derivative_along_GFminus_p90,entry,metric,panel,quantity,resolution
0.03,0.13813325473113103,0.0008267491613137477,0.0008820148551059766,0.02617341417178122,200,0.4917398805381582,-0.09671846692840286,-0.058214995070749245,0.1059876578447576,Early,NS,Current100,margin,curve
0.03,0.2203909329604679,0.00329426737156829,0.0006336387831703259,0.028009589167359565,200,0.7885967582927395,0.04988252849043508,0.028327334870099745,0.26027549437485503,Early,NS,Current100,new_nll,curve
0.03,0.1922912913247393,0.004121016532882038,0.0019181078908852064,0.023694991170435106,200,0.4289336145905822,-0.04683593843796778,-0.02013472077244259,0.10717876507770811,Early,NS,Current100,true_nll,curve
0.03,0.04164797523729304,-0.02329018493538321,-0.01642860282917349,0.004759694805211223,200,0.09812924060542798,-0.22132320633456648,-0.1871490832465731,-0.02254845945056979,Early,PS,Current100,margin,curve
0.03,0.05373683037802935,0.0037843209517377206,0.0014955564842754432,0.01687975837786319,200,0.4426684643934122,0.03199353686620066,0.007605240976027893,0.12332224251913709,Early,PS,Current100,new_nll,curve
0.03,0.07116039030125876,-0.01950586398364549,-0.013141117372706321,0.005061534149476874,200,0.194422697749942,-0.1893296694683658,-0.14840352078983993,0.013127392136395244,Early,PS,Current100,true_nll,curve
0.03,0.003842289319274688,-0.04694871267778414,-0.040247170225880716,-0.009008625284178328,100,0.0915809912627381,-0.2689636041068113,-0.2328071357534148,-0.040751686308561456,Early,RS,Current100,margin,curve
0.03,0.0017451129613406625,0.00013196681434072912,5.50256696751057e-05,0.0003093278545854957,100,0.0017866954480487325,0.00027327159985232813,0.00015416407469004165,0.0005971069707585113,Early,RS,Current100,new_nll,curve
0.03,0.004049778309827734,-0.04681674586344342,-0.0401671889505363,-0.008964611306244518,100,0.0915717061006727,-0.26869033250695895,-0.23269325562514498,-0.04020021456738575,Early,RS,Current100,true_nll,curve
0.03,0.3780206331857228,0.001279904470989906,0.0016753547174584971,0.03861270771834562,200,0.24614358617490142,-0.13880211646748764,-0.06603576334522152,0.07748591901530966,Early,NS,Fixed100,margin,curve
0.03,0.577114071284686,0.0029411469238628868,-0.0010675436020804402,0.02178753181175007,200,1.0017623883669682,0.07865526668767148,0.05872423016701461,0.26178371824982594,Early,NS,Fixed100,new_nll,curve
0.03,0.4272826048881767,0.004221051394852793,0.000694979494176964,0.0246327076957464,200,0.34514088233588497,-0.06014684977981613,-0.015513385373626334,0.10314656547204824,Early,NS,Fixed100,true_nll,curve
0.03,0.09192048134594004,-0.038386209769228914,-0.03441054818633005,-0.004324622360486318,100,0.6439505346798615,-0.256386009584555,-0.21150388188938396,0.015264378200133927,Early,RS,Fixed100,margin,curve
0.03,0.17769607625532824,0.0027975775804540597,0.00010034410457385935,0.001089909757052581,100,0.22509890215437253,0.0022837629697904094,0.0002188584113779159,0.0015657422272132022,Early,RS,Fixed100,new_nll,curve
0.03,0.11684436909222366,-0.03558863218877486,-0.03339000892184499,-0.002232887972867601,100,0.639428931802366,-0.2541022466147645,-0.20761750463929485,0.015331238401763165,Early,RS,Fixed100,true_nll,curve
0.03,0.18319048211700353,-0.00032254936730016044,0.0003420013676826249,0.02737112921953469,200,0.3192913114706565,-0.10300884044189736,-0.06001272181628393,0.06173909222048248,Early,NS,Past100,margin,curve
0.03,0.09271616184068623,0.0007295261521547727,0.0006818504297158941,0.027517830372594778,200,0.6492366910229646,0.06972952860188687,0.05287346323358849,0.23836932411273484,Early,NS,Past100,new_nll,curve
0.03,0.08981141013631574,0.00040697678485461297,0.0012601749576977776,0.022312005652385097,200,0.33634638316225934,-0.03327931184001047,-0.009267900361176352,0.09289906996636509,Early,NS,Past100,true_nll,curve
0.03,0.014768579085744683,-0.04414636262648898,-0.03815444014467584,-0.011437021976278248,100,0.10535132395532618,-0.27718495913943897,-0.22695540806667014,-0.08373892573297116,Early,RS,Past100,margin,curve
0.03,0.01081950598020815,0.0002475233595449186,6.277544131547629e-05,0.0004027663369280605,100,0.015269007602055426,0.00048077036363291544,0.00015009315073061531,0.0009150142488278314,Early,RS,Past100,new_nll,curve
0.03,0.014945610429126161,-0.043898839266944066,-0.037915016319050476,-0.01139723324337233,100,0.10531742925075388,-0.2767041887758061,-0.2264528604152169,-0.08299807179308741,Early,RS,Past100,true_nll,curve
0.1,0.3303685818043758,-0.00012980271783135744,0.0009648958410513669,0.025372832231379747,1000,0.5937910468858734,-0.10404408233970425,-0.06693460176450641,0.094949155208877,Early,NS,Current100,margin,full
0.1,0.32625179361046097,0.0029628268204328974,0.0001135900829503978,0.028256253725842867,1000,1.1272407250347947,0.05025381351788175,0.041236625782881,0.2235213742823591,Early,NS,Current100,new_nll,full
0.1,0.2981654058729211,0.0028330241026015405,0.0010047221047870454,0.02720277931533113,1000,0.5317338639526792,-0.053790268821822494,-0.016965581778444677,0.09714263385090467,Early,NS,Current100,true_nll,full
0.1,0.04142675265342966,-0.023294732151926373,-0.016642723056617313,0.005083807069258666,200,0.09754099251913709,-0.2215333036120434,-0.1875028600938302,-0.022551361275117456,Early,PS,Current100,margin,full
0.1,0.056390580197571975,0.003815092893419344,0.0015067974386056158,0.01686498925649731,200,0.44087100948155883,0.032111401428675274,0.007889870661534445,0.12324012156402227,Early,PS,Current100,new_nll,full
0.1,0.06373441925762566,-0.01947963925850703,-0.013148245809016988,0.005373353304577453,200,0.19363800452331245,-0.18942190218336813,-0.14865768528183715,0.013145849643354187,Early,PS,Current100,true_nll,full
0.1,0.0038424588637892385,-0.04683189599231348,-0.03990373659967777,-0.008563765515366088,100,0.09100372983750653,-0.26946494229613865,-0.2335192571519229,-0.041486395309596885,Early,RS,Current100,margin,full
0.1,0.0018772731878783653,0.0001357536289172198,5.666546174543056e-05,0.00032099007902782124,100,0.0020217750167050292,0.0002825092759577034,0.0001570473716088111,0.0006078061612845299,Early,RS,Current100,new_nll,full
0.1,0.004043992912242266,-0.046696142363396254,-0.0398237842795703,-0.008460896023136422,100,0.0909946938065414,-0.26918243302018097,-0.23340401009046624,-0.040910751565761995,Early,RS,Current100,true_nll,full
0.1,0.4168740547678924,0.00028017654169384623,0.001131096883294616,0.031779498868990286,1000,0.6155641092553932,-0.13373057641047276,-0.06603482325374044,0.07030195285316634,Early,NS,Fixed100,margin,full
0.1,0.84156397505241,0.004797803359275612,-2.7893881215650213e-05,0.028530543557796762,1000,1.369994454592902,0.07347883083261211,0.054414714900835076,0.26824574852122485,Early,NS,Fixed100,new_nll,full
0.1,0.535927309320382,0.005077979900969459,0.001117827918966338,0.03131133106598695,1000,0.4290231384829506,-0.060251745577860644,-0.015592651791927627,0.10400145974686847,Early,NS,Fixed100,true_nll,full
0.1,0.06354262945351721,-0.02769714373019946,-0.015149967142363881,0.004196355490082414,200,0.17844250173973555,-0.23477159354864266,-0.16650218392878502,-0.011622439804554983,Early,PS,Fixed100,margin,full
0.1,0.192984437054503,0.013376006705866408,0.00247269571601317,0.03760154074952215,200,0.6690643756524008,0.06408172112018928,0.011596988685942392,0.2146891242062456,Early,PS,Fixed100,new_nll,full
0.1,0.13762097154969397,-0.014321137024333052,-0.00854002166618482,0.01741793121349521,200,0.3808857428670842,-0.17068987242845338,-0.13599974991301322,0.03580022399095335,Early,PS,Fixed100,true_nll,full
0.1,0.09280718136688734,-0.0383910062909559,-0.03422475510064785,-0.00496360258616471,100,0.623498846278393,-0.2570202413657803,-0.2116483682049756,0.015242524037530599,Early,RS,Fixed100,margin,full
0.1,0.1783218634274897,0.0028554661448326373,9.836826696914094e-05,0.0011053913975221908,100,0.2369188195894224,0.002491905422843656,0.0002255838947654517,0.0016325829505256756,Early,RS,Fixed100,new_nll,full
0.1,0.11917319824171695,-0.03553554014612326,-0.03357927407142674,-0.0024590005951663145,100,0.6189299538970077,-0.25452833594293667,-0.2076417884481559,0.015309401096033626,Early,RS,Fixed100,true_nll,full
0.1,0.1921311942213176,-0.002204602851823986,-0.00023973241244783819,0.02753225254228998,1000,0.7242568067153793,-0.10734484614282329,-0.06385876065588031,0.08376022094641615,Early,NS,Past100,margin,full
0.1,0.300599340716495,0.004179282376636163,0.0010345530610871155,0.03241795881681517,1000,1.0191582941892832,0.06823362004247573,0.0530263243736952,0.24528232646137793,Early,NS,Past100,new_nll,full
0.1,0.2097097631974136,0.0019746795248121764,0.0014596635591139625,0.027203104743945314,1000,0.4651302627000696,-0.03911122610034756,-0.011063494911273487,0.11159778401183028,Early,NS,Past100,true_nll,full
0.1,0.15459036915324154,-0.021904029147199064,-0.01371675192218382,0.010388797119956761,200,0.2639006230427975,-0.22153470908546083,-0.17272624717292973,-0.0018355382442806249,Early,PS,Past100,margin,full
0.1,0.16641923438075826,0.006936107401158321,0.0021603762574643978,0.02358818171120244,200,0.5895646447677453,0.035145119092202304,0.010277547285468858,0.1213572383872651,Early,PS,Past100,new_nll,full
0.1,0.22523999149624038,-0.01496792174604074,-0.010874274625914481,0.01564140091207179,200,0.23086888917884482,-0.18638958999325855,-0.15212465205288794,0.022702298625608894,Early,PS,Past100,true_nll,full
0.1,0.014920619949379385,-0.04420378634037037,-0.038490641593015434,-0.01131661961390219,100,0.1032125035009205,-0.2774657064752813,-0.22701178746830697,-0.08450308822307966,Early,RS,Past100,margin,full
0.1,0.011206352250324339,0.00025401353506434297,6.708227217938864e-05,0.000411942140535766,100,0.0162502705594609,0.0004982612769514135,0.0001535749136779403,0.0009300357231931224,Early,RS,Past100,new_nll,full
0.1,0.015102367154180039,-0.04394977280530604,-0.038419172394355564,-0.01128363282935482,100,0.1031750173973556,-0.2769674451983299,-0.2268278096729297,-0.08373869171885868,Early,RS,Past100,true_nll,full
0.3,0.13463715274498875,0.0002547174907818098,0.0007381891823934296,0.024779705866986104,200,0.44322110226745537,-0.09748917128585713,-0.05897685426815124,0.09806825670115327,Early,NS,Current100,margin,curve
0.3,0.16973858472236414,0.00345360043876903,0.0006841716913587242,0.029585503920128788,200,0.7591348802482023,0.05012429372795882,0.030324814065762005,0.25599251913709115,Early,NS,Current100,new_nll,curve
0.3,0.1589273253012515,0.0037083179295508395,0.001687254815393785,0.023091678373864208,200,0.39948052583507304,-0.04736487755789831,-0.02278211465763454,0.10318466749304106,Early,NS,Current100,true_nll,curve
0.3,0.03912271806501696,-0.023274923814853743,-0.01650921205650599,0.0037943654898020774,200,0.09290196952563211,-0.2232429195362906,-0.1864673406556266,-0.02282008203600709,Early,PS,Current100,margin,curve
0.3,0.07824233156365382,0.0040613735872232085,0.0015679400029734102,0.01611465160009665,200,0.4260340553235908,0.033399483051136346,0.009832297519585618,0.12358095496913667,Early,PS,Current100,new_nll,curve
0.3,0.040946771275178144,-0.019213550227630535,-0.013122314830553549,0.005508263266368108,200,0.18701296465437253,-0.18984343648515428,-0.14929017429975644,0.007270028705636738,Early,PS,Current100,true_nll,curve
0.3,0.0014140180662383902,-0.0464351786963252,-0.03946676996624001,-0.008280191867690667,100,0.08545093806263909,-0.2735674857268046,-0.2391739414562844,-0.04791105242843999,Early,RS,Current100,margin,curve
0.3,0.0033973797952091935,0.00017245490294676236,6.404206688453919e-05,0.000398177775980603,100,0.005143923218580444,0.0003840487342275121,0.00018447674888658625,0.0008443434164878583,Early,RS,Current100,new_nll,curve
0.3,0.0016237682556547392,-0.04626272379337843,-0.03940558268267788,-0.008160854284549119,100,0.08544312514497797,-0.2731834369925771,-0.23904691486893992,-0.04776868041057757,Early,RS,Current100,true_nll,curve
0.3,0.30199065996201935,0.0012374906697550105,0.0011797045540796658,0.03822933559239334,200,0.23714609519977964,-0.13627965760347158,-0.06256522875710392,0.07595648305207607,Early,NS,Fixed100,margin,curve
0.3,0.44037757682776085,0.002622436601953831,-0.0011905521745524186,0.024705658804347927,200,0.9294037056367432,0.07689026344085176,0.05527293913825099,0.25705357660635586,Early,NS,Fixed100,new_nll,curve
0.3,0.33174186042394715,0.0038599272717088407,0.0010132882812714811,0.026701373025723653,200,0.33449125420436093,-0.05938939416261982,-0.013392701809324982,0.09829523584290187,Early,NS,Fixed100,true_nll,curve
0.3,0.0869589293437604,-0.03800263863011932,-0.034622319293277345,-0.005119848733873905,100,0.503235325009163,-0.2616158871402723,-0.21412791240743462,0.014411788490028329,Early,RS,Fixed100,margin,curve
0.3,0.17454821059729655,0.0031708700606584215,0.00010744134086005381,0.0012095599659526814,100,0.31580031892037175,0.004244971894389708,0.000256634499627956,0.001986797476998345,Early,RS,Fixed100,new_nll,curve
0.3,0.12638001291491005,-0.0348317685694609,-0.03321396753817289,-0.0037272561691940316,100,0.49865406083275343,-0.2573709152458827,-0.21000212030271398,0.014481015135699526,Early,RS,Fixed100,true_nll,curve
0.3,0.18599199202398572,-0.000710026269697565,0.00013159842431855715,0.02298816366411957,200,0.3205475455230805,-0.10332711699080285,-0.060471327889410814,0.05950935832753421,Early,NS,Past100,margin,curve
0.3,0.08359012761074003,0.0011924161573369872,0.0009621494990427889,0.028484088192661055,200,0.6163223440037114,0.06903306992649616,0.054425995998608215,0.24201707840408257,Early,NS,Past100,new_nll,curve
0.3,0.07985515413440966,0.00048238988763942177,0.0015182191866103343,0.019434311012793783,200,0.3299665712530445,-0.03429404706430667,-0.009966371342024763,0.09047247865199488,Early,NS,Past100,true_nll,curve
0.3,0.014522050478152188,-0.044257798577908646,-0.03841129823458205,-0.011417428754378392,100,0.08332401006632685,-0.2802718434999048,-0.23348473166401829,-0.08757701077612769,Early,RS,Past100,margin,curve
0.3,0.015140268584069678,0.0003170045030339119,7.84814651138696e-05,0.00043553513326888277,100,0.026970795074158494,0.000683726346837039,0.00018534652320173383,0.0011115802188838783,Early,RS,Past100,new_nll,curve
0.3,0.014731826213586957,-0.04394079407487474,-0.03829526846273345,-0.011382452930017078,100,0.08326718713755508,-0.27958811715306775,-0.2328655981790768,-0.08749458144861971,Early,RS,Past100,true_nll,curve
0.03,0.06278834563256808,-0.0004588992011034188,-0.0006729337518058573,0.004299472464101509,200,0.15273493969724353,-0.03510072811582839,-0.029072686837216866,0.03663409609489975,Late,NS,Current100,margin,curve
0.03,0.022903924821943072,-1.0193170822287573e-05,0.00020953625804733282,0.004421215044798721,200,0.2503153164579597,0.007459165810453744,0.007494960273383771,0.07246713105756564,Late,NS,Current100,new_nll,curve
0.03,0.0359274091682696,-0.0004690923719257063,-0.00022766920345527507,0.003098718893046133,200,0.12120779891716052,-0.02764156230537465,-0.022196906343214844,0.04014398862462697,Late,NS,Current100,true_nll,curve
0.03,0.009570858209745525,-0.003585958499715289,-0.0029111877197907305,0.002991935992310471,200,0.32291397232062796,-0.05479955272759961,-0.05656131810745825,0.02902465643709243,Late,PS,Current100,margin,curve
0.03,0.03692547670509842,0.0012935260611625877,0.0003276522496629567,0.0038430637097189627,200,0.20051825702737427,0.008637558559446631,0.001556612263704986,0.04608560209398682,Late,PS,Current100,new_nll,curve
0.03,0.015083588421839973,-0.0022924324385527007,-0.0018132945407942263,0.004450630711793828,200,0.3152228922451488,-0.046161994168152976,-0.0414211952819038,0.04619471011331709,Late,PS,Current100,true_nll,curve
0.03,0.0024401246492842302,-0.005356240571514315,-0.00405660683517077,-0.0005355987269062923,100,0.06281704502768141,-0.0685295817008052,-0.05566305556363517,0.002946635862494311,Late,RS,Current100,margin,curve
0.03,0.0031023706667741217,0.00011549698514508224,2.2053289779179778e-05,0.00010549612270866415,100,0.02533993463707107,0.0008816394049298852,0.00011816656327113744,0.0007094011152305455,Late,RS,Current100,new_nll,curve
0.03,0.0024741396623281222,-0.005240743586369232,-0.004037602510835144,-0.0004940220237808251,100,0.06279021832138673,-0.06764794229587531,-0.05566397627118033,0.0030341628523043777,Late,RS,Current100,true_nll,curve
0.03,0.02683272966033056,-0.00012039648102264163,-0.00043720546150260786,0.006126920776172489,200,0.19920833702398097,-0.03746177808073432,-0.026377214544520022,0.034136515288429814,Late,NS,Fixed100,margin,curve
0.03,0.01164538049532292,-0.0002330437250500479,0.00012793800371159263,0.004899723326397198,200,0.18563299146500484,0.010683754110561675,0.008002294369936103,0.07831651299017865,Late,NS,Fixed100,new_nll,curve
0.03,0.030569123800222666,-0.0003534402060726896,-0.0003646736798708388,0.004014734851904017,200,0.16528418125356156,-0.026778023970172645,-0.018666013508671322,0.04002256111955051,Late,NS,Fixed100,true_nll,curve
0.03,0.019926092231616552,-0.0021131217896637965,-0.00249675075267405,0.005377425699310888,100,0.23467762660792682,0.0197058681002127,0.012690013150184684,0.14834537567396774,Late,RS,Fixed100,margin,curve
0.03,0.026962682435754146,0.0003632975947266482,3.743068071188082e-05,0.0011605840600475048,100,0.11164746213048994,-0.01694254247114961,-0.00012550015855923217,0.0020656012226127965,Late,RS,Fixed100,new_nll,curve
0.03,0.016049671457740895,-0.0017498241949371479,-0.0021759534489530713,0.004299522833394313,100,0.22274877771988255,0.0027633256290630916,-0.0021021097197311796,0.10879349991357301,Late,RS,Fixed100,true_nll,curve
0.03,0.020719912286142027,-0.0006898653305540084,-0.0006487564912619342,0.003849812801444041,200,0.11793230582931036,-0.032764385344030866,-0.022613447042706583,0.04128920697997458,Late,NS,Past100,margin,curve
0.03,0.01063698725347013,8.406812047838237e-05,0.00013498970470357017,0.004037602510835143,200,0.22194896413050907,0.0057584060945921126,0.008206059703797286,0.06954871245952936,Late,NS,Past100,new_nll,curve
0.03,0.011339135195099895,-0.0006057972100756261,3.437113968439056e-05,0.003741028114829688,200,0.1488145362585164,-0.027005979249438754,-0.018692697064296,0.04043889389523218,Late,NS,Past100,true_nll,curve
0.03,0.008788434207716017,-0.004516114503725751,-0.003945172890996938,7.724012997825609e-05,100,0.14575035927934857,-0.026552843740250597,-0.0309970616326285,0.05271789752875821,Late,RS,Past100,margin,curve
0.03,0.007077893024233463,0.00017831100780356282,2.0532373242684622e-05,0.0003431014561889083,100,0.04710028761407567,-0.0007709370187849784,4.52190292590039e-05,0.0004082214458491556,Late,RS,Past100,new_nll,curve
0.03,0.00926794987517049,-0.004337803495922188,-0.0037958299053959138,0.0002498316922872052,100,0.1456409258375968,-0.027323780759035573,-0.0314297631290371,0.05273197331755335,Late,RS,Past100,true_nll,curve
0.1,0.06359296486346983,-0.000561220419533855,-0.00043954259668852044,0.004376785299005839,1000,0.3662952177107838,-0.03871331282850987,-0.028892832741512862,0.036974462173876704,Late,NS,Current100,margin,full
0.1,0.0405964008382093,0.0004991359655648718,0.0005026452467081595,0.004486779745850418,1000,0.33157776329703953,0.010216526448561651,0.008240852288014397,0.07666504347478945,Late,NS,Current100,new_nll,full
0.1,0.07437372622630782,-6.208445396898322e-05,-2.1578205035451293e-05,0.004525869842913589,1000,0.2824489016840581,-0.02849678637994822,-0.021482792017555423,0.03657325758807549,Late,NS,Current100,true_nll,full
0.1,0.009555421910350853,-0.0036031888185668747,-0.002735020488607131,0.003094006342011778,200,0.31994243135499373,-0.05483813534860864,-0.05655269810204157,0.0290025749284638,Late,PS,Current100,margin,full
