reference_index,status,direct_cached_gradient_relative,coefficient_relative,AD,min_FD_relative,matching_scales,FD_status,selected_window,noise
57,NOT_ESTABLISHED,0.0,4.0887237666287274e-08,0.006392236627350157,0.006260614113567221,"0,2",NO_RESOLVED_ADJACENT_WINDOW,None,2.220446049250313e-16
125,NOT_ESTABLISHED,0.0,1.5423562060174751e-06,0.003802455500175708,0.031077146301409012,,NO_RESOLVED_ADJACENT_WINDOW,None,2.220446049250313e-16
332,NOT_ESTABLISHED,0.0,9.199133470250779e-08,-0.006082868681307479,0.012951471469902491,,NO_RESOLVED_ADJACENT_WINDOW,None,2.220446049250313e-16
337,PASS,0.0,4.827518340841334e-11,42.328316060881164,4.465914222343054e-06,"0,1,2,3,4,5,6,7,8,9,10",PASS,"[0, 1]",2.220446049250313e-16
