cell,fixture,N,T,V_ratio,native_net_raw,native_net_normalized,E_T,L_N,edit_core_seconds,case_seconds,main_jvp_count,model_forward_calls
0,D2_COLD_DEV,2,2.0,2.9159692347732683e-05,13.59219572130165,0.5896127185140863,0.5215734349818987,0.7826840441447167,63.08399151451886,92.25912302546203,10,34
0,D2_COLD_DEV,4,2.0,0.006264088205718386,11.60122941981629,0.5032470512180373,0.3604491793603461,0.7105557673337624,128.2426465973258,156.57108892314136,20,58
0,D2_COLD_DEV,8,2.0,0.013726579636112408,10.639789486475125,0.4615409704339828,0.3101959566721359,0.6800510471888852,270.2385505363345,299.8749302942306,40,106
1,D2_COLD_DEV,2,2.0,1.8257522542639988e-07,1.2259362414284702,0.16216058128799044,0.15636963122453362,0.40510529505356047,27.2414656765759,59.45949411764741,10,39
1,D2_COLD_DEV,4,2.0,0.004462166824325514,1.0687602200115056,0.141370140369293,0.10513174606626398,0.376043414758592,73.94445500522852,104.73446145281196,20,63
1,D2_COLD_DEV,8,2.0,0.010939832196166864,0.9838475118996819,0.13013832125763472,0.08987076911230334,0.36077547609548344,145.0721779782325,175.02733170427382,40,111
2,D2_COLD_DEV,2,2.0,2.337477198179879e-05,2194.1381242486796,0.4626965741583455,0.4115691221505299,0.6906120504166772,115.13136695697904,147.73757231235504,10,34
2,D2_COLD_DEV,4,2.0,0.005756705908916897,1876.299340204642,0.3956712055698534,0.28453951651339604,0.6300973735453338,233.80009123310447,267.0442076101899,20,58
2,D2_COLD_DEV,8,2.0,0.012895434800976926,1722.2129268010378,0.3631776925962309,0.2449581169535662,0.603299171640089,590.865650318563,624.2737979758531,40,106
3,D2_COLD_DEV,2,2.0,3.3707046410730367e-06,20.585406538769494,0.27766984746724227,0.2587782153240099,0.5321801946450749,39.245204066857696,74.47660082019866,10,39
3,D2_COLD_DEV,4,2.0,0.004936710210992355,17.816065946708754,0.24031511374682124,0.1761477514991542,0.4905438511512778,143.05768859758973,181.24353049136698,20,63
3,D2_COLD_DEV,8,2.0,0.011666648098344508,16.384817114087095,0.22100946416961934,0.15108060093381323,0.4703134205809226,255.08771572448313,291.23674258589745,40,111
