cell,arm,case_id,metric,prompt_index,target_new_nll,target_true_nll,nll_advantage,success,strict_teacher_forced
0,O_NATIVE,582,RS,0,0.011803075671195984,19.220170974731445,19.20836789906025,1,True
0,O_NATIVE,14027,RS,0,0.0010631391778588295,8.908221244812012,8.907158105634153,1,True
0,O_NATIVE,8619,RS,0,0.010031994432210922,18.52518653869629,18.515154544264078,1,True
0,O_NATIVE,8475,RS,0,6.561914920806885,0.7272621989250183,-5.8346527218818665,0,False
0,O_NATIVE,21220,RS,0,0.014478269964456558,10.234113693237305,10.219635423272848,1,True
0,O_NATIVE,5064,RS,0,0.9864451885223389,5.171966552734375,4.185521364212036,1,True
0,O_NATIVE,3088,RS,0,0.08330470323562622,7.451503276824951,7.368198573589325,1,True
0,O_NATIVE,3278,RS,0,0.049482427537441254,4.408147811889648,4.358665384352207,1,True
0,O_NATIVE,9694,RS,0,0.008875089697539806,9.603657722473145,9.594782632775605,1,True
0,O_NATIVE,12671,RS,0,0.0006492413813248277,12.032668113708496,12.032018872327171,1,True
0,O_NATIVE,582,PS,0,9.746966361999512,0.17677253484725952,-9.570193827152252,0,False
0,O_NATIVE,582,PS,1,9.878981590270996,0.27482870221138,-9.604152888059616,0,False
0,O_NATIVE,14027,PS,0,0.2981785237789154,4.862656593322754,4.5644780695438385,1,True
0,O_NATIVE,14027,PS,1,0.6674784421920776,5.393119812011719,4.725641369819641,1,True
0,O_NATIVE,8619,PS,0,0.00810902751982212,18.95945930480957,18.951350277289748,1,True
0,O_NATIVE,8619,PS,1,0.041508596390485764,13.357693672180176,13.31618507578969,1,True
0,O_NATIVE,8475,PS,0,11.442388534545898,3.885251045227051,-7.557137489318848,0,False
0,O_NATIVE,8475,PS,1,15.122756958007812,0.06516411155462265,-15.05759284645319,0,False
0,O_NATIVE,21220,PS,0,4.935688018798828,6.1747331619262695,1.2390451431274414,1,False
0,O_NATIVE,21220,PS,1,0.4403800964355469,5.099717140197754,4.659337043762207,1,True
0,O_NATIVE,5064,PS,0,6.802243709564209,4.628978252410889,-2.1732654571533203,0,False
0,O_NATIVE,5064,PS,1,6.971251010894775,0.29866263270378113,-6.672588378190994,0,False
0,O_NATIVE,3088,PS,0,4.896270751953125,5.741252899169922,0.8449821472167969,1,False
0,O_NATIVE,3088,PS,1,4.997491359710693,5.567840099334717,0.5703487396240234,1,False
0,O_NATIVE,3278,PS,0,10.842368125915527,4.571468353271484,-6.270899772644043,0,False
0,O_NATIVE,3278,PS,1,9.621085166931152,3.7361650466918945,-5.884920120239258,0,False
0,O_NATIVE,9694,PS,0,0.3666627109050751,5.966879367828369,5.600216656923294,1,True
0,O_NATIVE,9694,PS,1,0.024784114211797714,8.761873245239258,8.73708913102746,1,True
0,O_NATIVE,12671,PS,0,0.02259952761232853,4.66425085067749,4.641651323065162,1,True
0,O_NATIVE,12671,PS,1,0.037604086101055145,4.839510440826416,4.801906354725361,1,True
0,O_NATIVE,582,NS,0,12.474642753601074,3.2530393600463867,-9.221603393554688,1,False
0,O_NATIVE,582,NS,1,14.269057273864746,1.3080437183380127,-12.961013555526733,1,False
0,O_NATIVE,582,NS,2,13.112771987915039,2.605940818786621,-10.506831169128418,1,False
0,O_NATIVE,582,NS,3,14.321754455566406,0.6969588994979858,-13.62479555606842,1,True
0,O_NATIVE,582,NS,4,13.20799732208252,1.5110474824905396,-11.69694983959198,1,False
0,O_NATIVE,582,NS,5,15.035314559936523,0.5401936769485474,-14.495120882987976,1,True
0,O_NATIVE,582,NS,6,12.00090503692627,1.6052521467208862,-10.395652890205383,1,True
0,O_NATIVE,582,NS,7,13.770759582519531,1.014129877090454,-12.756629705429077,1,True
0,O_NATIVE,582,NS,8,15.509699821472168,3.853671073913574,-11.656028747558594,1,False
0,O_NATIVE,582,NS,9,13.227103233337402,1.8875316381454468,-11.339571595191956,1,False
0,O_NATIVE,14027,NS,0,11.37425708770752,2.9157259464263916,-8.458531141281128,1,False
0,O_NATIVE,14027,NS,1,8.8964262008667,1.380772352218628,-7.515653848648071,1,False
0,O_NATIVE,14027,NS,2,10.7621488571167,4.757501602172852,-6.004647254943848,1,False
0,O_NATIVE,14027,NS,3,7.139317989349365,7.986413478851318,0.8470954895019531,0,False
0,O_NATIVE,14027,NS,4,11.947768211364746,0.8169630169868469,-11.1308051943779,1,False
0,O_NATIVE,14027,NS,5,5.817999362945557,0.8292796015739441,-4.9887197613716125,1,True
0,O_NATIVE,14027,NS,6,13.171619415283203,9.137328147888184,-4.0342912673950195,1,False
0,O_NATIVE,14027,NS,7,12.523677825927734,9.535149574279785,-2.988528251647949,1,False
0,O_NATIVE,14027,NS,8,4.085294723510742,0.9261627197265625,-3.1591320037841797,1,True
0,O_NATIVE,14027,NS,9,12.175176620483398,10.446983337402344,-1.7281932830810547,1,False
0,O_NATIVE,8619,NS,0,16.64444351196289,3.151120901107788,-13.493322610855103,1,False
0,O_NATIVE,8619,NS,1,13.931915283203125,8.188791275024414,-5.743124008178711,1,False
0,O_NATIVE,8619,NS,2,10.833540916442871,9.164828300476074,-1.6687126159667969,1,False
0,O_NATIVE,8619,NS,3,18.098066329956055,0.5422536134719849,-17.55581271648407,1,True
0,O_NATIVE,8619,NS,4,21.237852096557617,6.239160060882568,-14.998692035675049,1,False
0,O_NATIVE,8619,NS,5,20.50139617919922,12.44839096069336,-8.05300521850586,1,False
0,O_NATIVE,8619,NS,6,10.826444625854492,2.144437074661255,-8.682007551193237,1,False
0,O_NATIVE,8619,NS,7,10.214666366577148,8.348421096801758,-1.8662452697753906,1,False
0,O_NATIVE,8619,NS,8,14.054984092712402,1.1864131689071655,-12.868570923805237,1,False
0,O_NATIVE,8619,NS,9,10.354464530944824,10.10043716430664,-0.2540273666381836,1,False
0,O_NATIVE,8475,NS,0,11.641217231750488,5.107440948486328,-6.53377628326416,1,False
0,O_NATIVE,8475,NS,1,13.380851745605469,0.8084811568260193,-12.57237058877945,1,True
0,O_NATIVE,8475,NS,2,14.082275390625,3.2330079078674316,-10.849267482757568,1,False
0,O_NATIVE,8475,NS,3,9.719676971435547,2.1015474796295166,-7.61812949180603,1,True
0,O_NATIVE,8475,NS,4,14.76716423034668,0.42697328329086304,-14.340190947055817,1,True
0,O_NATIVE,8475,NS,5,16.21255874633789,1.0704175233840942,-15.142141222953796,1,False
0,O_NATIVE,8475,NS,6,14.839816093444824,0.28340208530426025,-14.556414008140564,1,True
0,O_NATIVE,8475,NS,7,13.808591842651367,2.1091299057006836,-11.699461936950684,1,False
0,O_NATIVE,8475,NS,8,10.712498664855957,2.2178709506988525,-8.494627714157104,1,False
0,O_NATIVE,8475,NS,9,12.32038688659668,0.7155806422233582,-11.604806244373322,1,True
0,O_NATIVE,21220,NS,0,7.8525848388671875,11.955217361450195,4.102632522583008,0,False
0,O_NATIVE,21220,NS,1,10.0432710647583,0.04765460267663002,-9.99561646208167,1,True
0,O_NATIVE,21220,NS,2,7.28139591217041,0.3304330110549927,-6.9509629011154175,1,True
0,O_NATIVE,21220,NS,3,8.039608001708984,0.1722913682460785,-7.867316633462906,1,True
0,O_NATIVE,21220,NS,4,5.776936054229736,2.8473458290100098,-2.9295902252197266,1,False
0,O_NATIVE,21220,NS,5,9.558733940124512,0.03262399882078171,-9.52610994130373,1,True
0,O_NATIVE,21220,NS,6,8.519684791564941,0.13278712332248688,-8.386897668242455,1,True
0,O_NATIVE,21220,NS,7,10.171144485473633,2.03587007522583,-8.135274410247803,1,False
0,O_NATIVE,21220,NS,8,7.171538352966309,1.095687985420227,-6.0758503675460815,1,True
0,O_NATIVE,21220,NS,9,9.02570915222168,0.3135978877544403,-8.71211126446724,1,True
0,O_NATIVE,5064,NS,0,7.33050537109375,0.030651893466711044,-7.299853477627039,1,True
0,O_NATIVE,5064,NS,1,10.732928276062012,0.0019489595433697104,-10.730979316518642,1,True
0,O_NATIVE,5064,NS,2,11.556546211242676,0.0236518457531929,-11.532894365489483,1,True
0,O_NATIVE,5064,NS,3,11.045299530029297,4.781233310699463,-6.264066219329834,1,False
0,O_NATIVE,5064,NS,4,9.272719383239746,11.341272354125977,2.0685529708862305,0,False
0,O_NATIVE,5064,NS,5,13.602423667907715,16.779495239257812,3.1770715713500977,0,False
0,O_NATIVE,5064,NS,6,6.8996734619140625,5.967558860778809,-0.9321146011352539,1,False
0,O_NATIVE,5064,NS,7,6.2099480628967285,5.638488292694092,-0.5714597702026367,1,False
0,O_NATIVE,5064,NS,8,7.467611312866211,6.46696662902832,-1.0006446838378906,1,False
0,O_NATIVE,5064,NS,9,11.316215515136719,0.014263582415878773,-11.30195193272084,1,True
0,O_NATIVE,3088,NS,0,14.58138370513916,2.8087809085845947,-11.772602796554565,1,False
0,O_NATIVE,3088,NS,1,9.671749114990234,3.7758097648620605,-5.895939350128174,1,False
0,O_NATIVE,3088,NS,2,13.309854507446289,2.022115707397461,-11.287738800048828,1,False
0,O_NATIVE,3088,NS,3,14.629528045654297,5.43251371383667,-9.197014331817627,1,False
0,O_NATIVE,3088,NS,4,16.568687438964844,7.991589546203613,-8.57709789276123,1,False
0,O_NATIVE,3088,NS,5,10.428730010986328,4.015872478485107,-6.412857532501221,1,False
0,O_NATIVE,3088,NS,6,14.810152053833008,5.3731184005737305,-9.437033653259277,1,False
0,O_NATIVE,3088,NS,7,14.664946556091309,8.192574501037598,-6.472372055053711,1,False
0,O_NATIVE,3088,NS,8,16.876174926757812,7.1073994636535645,-9.768775463104248,1,False
0,O_NATIVE,3088,NS,9,13.641794204711914,3.6576223373413086,-9.984171867370605,1,False
0,O_NATIVE,3278,NS,0,9.29465389251709,10.201297760009766,0.9066438674926758,0,False
0,O_NATIVE,3278,NS,1,17.4307861328125,9.552383422851562,-7.8784027099609375,1,False
0,O_NATIVE,3278,NS,2,14.337973594665527,14.369502067565918,0.031528472900390625,0,False
0,O_NATIVE,3278,NS,3,8.081957817077637,4.4087395668029785,-3.673218250274658,1,False
0,O_NATIVE,3278,NS,4,17.079099655151367,9.104018211364746,-7.975081443786621,1,False
0,O_NATIVE,3278,NS,5,9.871430397033691,11.608743667602539,1.7373132705688477,0,False
0,O_NATIVE,3278,NS,6,9.4841947555542,10.481229782104492,0.997035026550293,0,False
0,O_NATIVE,3278,NS,7,15.09345817565918,7.5067243576049805,-7.586733818054199,1,False
0,O_NATIVE,3278,NS,8,1.7906246185302734,1.5896873474121094,-0.20093727111816406,1,False
0,O_NATIVE,3278,NS,9,13.225214958190918,14.413273811340332,1.188058853149414,0,False
0,O_NATIVE,9694,NS,0,12.083693504333496,0.8007157444953918,-11.282977759838104,1,True
0,O_NATIVE,9694,NS,1,12.629398345947266,1.1330914497375488,-11.496306896209717,1,True
0,O_NATIVE,9694,NS,2,10.198674201965332,0.3715512454509735,-9.827122956514359,1,True
0,O_NATIVE,9694,NS,3,9.570204734802246,0.3313252627849579,-9.238879472017288,1,True
0,O_NATIVE,9694,NS,4,8.404160499572754,3.1812305450439453,-5.222929954528809,1,False
0,O_NATIVE,9694,NS,5,10.128719329833984,0.31343141198158264,-9.815287917852402,1,True
0,O_NATIVE,9694,NS,6,12.948314666748047,1.5431151390075684,-11.405199527740479,1,False
0,O_NATIVE,9694,NS,7,7.13313627243042,1.3206409215927124,-5.8124953508377075,1,True
0,O_NATIVE,9694,NS,8,14.60569953918457,0.35284388065338135,-14.252855658531189,1,True
0,O_NATIVE,9694,NS,9,11.090909957885742,1.0261197090148926,-10.06479024887085,1,True
0,O_NATIVE,12671,NS,0,14.350085258483887,0.12775918841362,-14.222326070070267,1,True
0,O_NATIVE,12671,NS,1,11.893502235412598,1.1820536851882935,-10.711448550224304,1,True
0,O_NATIVE,12671,NS,2,12.637041091918945,0.1613653004169464,-12.475675791501999,1,True
0,O_NATIVE,12671,NS,3,11.313374519348145,4.096693992614746,-7.216680526733398,1,False
0,O_NATIVE,12671,NS,4,11.135015487670898,4.160527229309082,-6.974488258361816,1,False
0,O_NATIVE,12671,NS,5,5.730363845825195,3.424400568008423,-2.3059632778167725,1,False
0,O_NATIVE,12671,NS,6,11.135228157043457,6.9061689376831055,-4.229059219360352,1,False
0,O_NATIVE,12671,NS,7,10.459431648254395,5.528131008148193,-4.931300640106201,1,False
0,O_NATIVE,12671,NS,8,14.913843154907227,3.447481632232666,-11.46636152267456,1,False
0,O_NATIVE,12671,NS,9,12.034607887268066,2.411745071411133,-9.622862815856934,1,False
0,ORBFH_HIST,582,RS,0,0.010705067776143551,19.67073631286621,19.660031245090067,1,True
0,ORBFH_HIST,14027,RS,0,0.0005077026435174048,10.179487228393555,10.178979525750037,1,True
0,ORBFH_HIST,8619,RS,0,0.006861576344817877,18.8845272064209,18.87766563007608,1,True
0,ORBFH_HIST,8475,RS,0,4.5405497550964355,0.6865954399108887,-3.853954315185547,0,False
