family,panel,epsilon,subset,cohorts,total_raw,anchor_eligible,active_denominator,censored,retained,lost,retained_decreased,retained_stable,retained_increased,lost_decreased,lost_stable,lost_increased,lost_maintained_or_increased,retained_reversal,retained_rate,weak_given_retained,maintained_given_lost,reversal_given_retained,micro_retention,macro_retention
BASE_ALPHAEDIT,rewrite,0.2,all_facts,8,8000,8000,7823,177,5685,2138,4966,102,617,2119,6,13,19,295,0.7267033107503515,0.8735268249780123,0.008886810102899906,0.051890941072999124,0.7267033107503515,0.7254855541859956
BASE_ALPHAEDIT,rewrite,0.2,both_arm_eligible,8,8000,5895,5783,112,4379,1404,3803,86,490,1395,2,7,9,197,0.7572194362787481,0.8684631194336606,0.00641025641025641,0.04498744005480703,0.7572194362787481,0.7453144813794829
BASE_ALPHAEDIT,rewrite,0.2,initial_effective,8,8000,7915,7764,151,5637,2127,4949,100,588,2111,6,10,16,277,0.7260432766615147,0.8779492637927976,0.007522331922896097,0.04913961326946958,0.7260432766615147,0.72557127345892
BASE_MEMIT,paraphrase_0,0.025,all_anchor_success,8,8000,5755,5647,108,3885,1762,2732,30,1123,1521,6,235,241,968,0.687975916415796,0.7032175032175032,0.13677639046538026,0.24916344916344915,0.687975916415796,0.6855096191812784
BASE_MEMIT,paraphrase_0,0.025,all_facts,8,8000,8000,7823,177,4404,3419,2944,38,1422,2610,25,784,809,1138,0.5629553879585837,0.6684831970935513,0.23661889441357123,0.2584014532243415,0.5629553879585837,0.5624920283612604
BASE_MEMIT,paraphrase_0,0.025,both_arm_eligible,8,8000,4589,4520,69,3070,1450,2374,20,676,1329,4,117,121,656,0.6792035398230089,0.7732899022801303,0.08344827586206896,0.21368078175895766,0.6792035398230089,0.6775413439591518
BASE_MEMIT,paraphrase_0,0.025,initial_effective,8,8000,4974,4883,91,3324,1559,2563,21,740,1426,4,129,133,698,0.6807290600040958,0.7710589651022864,0.08531109685695959,0.20998796630565583,0.6807290600040958,0.6749830191657533
BASE_MEMIT,paraphrase_0,0.05,all_anchor_success,8,8000,5755,5647,108,3885,1762,2707,64,1114,1520,12,230,242,957,0.687975916415796,0.6967824967824968,0.1373439273552781,0.24633204633204633,0.687975916415796,0.6855096191812784
BASE_MEMIT,paraphrase_0,0.05,all_facts,8,8000,8000,7823,177,4404,3419,2917,75,1412,2592,68,759,827,1125,0.5629553879585837,0.6623524069028156,0.24188359169347762,0.255449591280654,0.5629553879585837,0.5624920283612604
BASE_MEMIT,paraphrase_0,0.05,both_arm_eligible,8,8000,4568,4499,69,3053,1446,2348,43,662,1328,7,111,118,644,0.6785952433874194,0.7690795938421225,0.08160442600276625,0.21094005895840157,0.6785952433874194,0.6770420464657176
BASE_MEMIT,paraphrase_0,0.05,initial_effective,8,8000,4955,4864,91,3309,1555,2534,51,724,1425,8,122,130,685,0.6803042763157895,0.765790268963433,0.08360128617363344,0.20701118162586885,0.6803042763157895,0.6745883894706526
BASE_MEMIT,paraphrase_0,0.1,all_anchor_success,8,8000,5755,5647,108,3885,1762,2681,124,1080,1514,28,220,248,919,0.687975916415796,0.69009009009009,0.14074914869466515,0.23655083655083656,0.687975916415796,0.6855096191812784
BASE_MEMIT,paraphrase_0,0.1,all_facts,8,8000,8000,7823,177,4404,3419,2889,147,1368,2556,131,732,863,1075,0.5629553879585837,0.6559945504087193,0.25241298625329045,0.24409627611262488,0.5629553879585837,0.5624920283612604
BASE_MEMIT,paraphrase_0,0.1,both_arm_eligible,8,8000,4540,4473,67,3035,1438,2323,83,629,1320,18,100,118,611,0.6785155376704672,0.7654036243822075,0.08205841446453407,0.2013179571663921,0.6785155376704672,0.6769475070241318
BASE_MEMIT,paraphrase_0,0.1,initial_effective,8,8000,4929,4838,91,3291,1547,2506,96,689,1417,19,111,130,647,0.68023976849938,0.761470677605591,0.08403361344537816,0.19659677909450016,0.68023976849938,0.6743781454488444
BASE_MEMIT,paraphrase_0,0.2,all_anchor_success,8,8000,5755,5647,108,3885,1762,2586,298,1001,1491,60,211,271,824,0.687975916415796,0.6656370656370656,0.15380249716231556,0.2120978120978121,0.687975916415796,0.6855096191812784
BASE_MEMIT,paraphrase_0,0.2,all_facts,8,8000,8000,7823,177,4404,3419,2783,344,1277,2493,245,681,926,962,0.5629553879585837,0.6319255222524978,0.27083942673296285,0.2184377838328792,0.5629553879585837,0.5624920283612604
BASE_MEMIT,paraphrase_0,0.2,both_arm_eligible,8,8000,4461,4397,64,2980,1417,2232,195,553,1293,36,88,124,527,0.6777348191949056,0.748993288590604,0.08750882145377559,0.17684563758389263,0.6777348191949056,0.6763758810433389
BASE_MEMIT,paraphrase_0,0.2,initial_effective,8,8000,4850,4763,87,3238,1525,2410,221,607,1388,38,99,137,558,0.6798236405626706,0.7442865966646078,0.0898360655737705,0.17232859789993824,0.6798236405626706,0.6740226058856509
BASE_MEMIT,paraphrase_1,0.025,all_anchor_success,8,8000,5734,5634,100,3902,1732,2686,36,1180,1489,8,235,243,982,0.6925807596734115,0.6883649410558688,0.1403002309468822,0.25166581240389546,0.6925807596734115,0.6910516919502343
BASE_MEMIT,paraphrase_1,0.025,all_facts,8,8000,8000,7823,177,4420,3403,2921,40,1459,2565,20,818,838,1164,0.5650006391409945,0.6608597285067873,0.24625330590655303,0.26334841628959277,0.5650006391409945,0.5645909360907176
BASE_MEMIT,paraphrase_1,0.025,both_arm_eligible,8,8000,4556,4501,55,3092,1409,2367,26,699,1303,7,99,106,674,0.6869584536769606,0.7655239327296248,0.07523066004258339,0.21798188874514876,0.6869584536769606,0.6866574759407016
BASE_MEMIT,paraphrase_1,0.025,initial_effective,8,8000,4932,4849,83,3333,1516,2531,30,772,1399,8,109,117,718,0.6873582181893174,0.7593759375937594,0.07717678100263853,0.2154215421542154,0.6873582181893174,0.683803220099251
BASE_MEMIT,paraphrase_1,0.05,all_anchor_success,8,8000,5734,5634,100,3902,1732,2667,75,1160,1482,18,232,250,963,0.6925807596734115,0.6834956432598668,0.14434180138568128,0.2467965146078934,0.6925807596734115,0.6910516919502343
BASE_MEMIT,paraphrase_1,0.05,all_facts,8,8000,8000,7823,177,4420,3403,2901,83,1436,2544,59,800,859,1140,0.5650006391409945,0.6563348416289593,0.25242433147223037,0.2579185520361991,0.5650006391409945,0.5645909360907176
BASE_MEMIT,paraphrase_1,0.05,both_arm_eligible,8,8000,4540,4485,55,3081,1404,2347,56,678,1294,12,98,110,661,0.6869565217391305,0.7617656604998377,0.07834757834757834,0.2145407335280753,0.6869565217391305,0.686773850564182
BASE_MEMIT,paraphrase_1,0.05,initial_effective,8,8000,4916,4833,83,3321,1512,2511,60,750,1391,13,108,121,702,0.6871508379888268,0.7560975609756098,0.08002645502645503,0.21138211382113822,0.6871508379888268,0.6836185612483003
BASE_MEMIT,paraphrase_1,0.1,all_anchor_success,8,8000,5734,5634,100,3902,1732,2626,153,1123,1475,28,229,257,918,0.6925807596734115,0.6729882111737571,0.14838337182448036,0.2352639671963096,0.6925807596734115,0.6910516919502343
BASE_MEMIT,paraphrase_1,0.1,all_facts,8,8000,8000,7823,177,4420,3403,2858,168,1394,2511,119,773,892,1090,0.5650006391409945,0.646606334841629,0.26212165736115195,0.24660633484162897,0.5650006391409945,0.5645909360907176
BASE_MEMIT,paraphrase_1,0.1,both_arm_eligible,8,8000,4504,4450,54,3058,1392,2308,107,643,1282,17,93,110,620,0.687191011235955,0.7547416612164813,0.07902298850574713,0.2027468933943754,0.687191011235955,0.6869771953544356
BASE_MEMIT,paraphrase_1,0.1,initial_effective,8,8000,4882,4801,81,3300,1501,2472,117,711,1378,20,103,123,659,0.6873568006665278,0.7490909090909091,0.08194536975349767,0.1996969696969697,0.6873568006665278,0.6837762516935277
BASE_MEMIT,paraphrase_1,0.2,all_anchor_success,8,8000,5734,5634,100,3902,1732,2539,305,1058,1453,65,214,279,859,0.6925807596734115,0.650691952844695,0.16108545034642033,0.22014351614556638,0.6925807596734115,0.6910516919502343
BASE_MEMIT,paraphrase_1,0.2,all_facts,8,8000,8000,7823,177,4420,3403,2761,341,1318,2442,258,703,961,1017,0.5650006391409945,0.6246606334841629,0.28239788421980605,0.23009049773755655,0.5650006391409945,0.5645909360907176
BASE_MEMIT,paraphrase_1,0.2,both_arm_eligible,8,8000,4434,4380,54,3007,1373,2219,212,576,1259,36,78,114,558,0.6865296803652968,0.7379447954772198,0.08302986161689731,0.18556701030927836,0.6865296803652968,0.6865088973853043
BASE_MEMIT,paraphrase_1,0.2,initial_effective,8,8000,4810,4729,81,3249,1480,2377,229,643,1353,41,86,127,595,0.687037428631846,0.7316097260695599,0.08581081081081081,0.18313327177593106,0.687037428631846,0.6836025938546848
BASE_MEMIT,rewrite,0.025,all_anchor_success,8,8000,6453,6329,124,4651,1678,3246,39,1366,1488,4,186,190,743,0.7348712276820982,0.6979144270049452,0.11323003575685339,0.15975059127069446,0.7348712276820982,0.7309670088867146
BASE_MEMIT,rewrite,0.025,all_facts,8,8000,8000,7823,177,5023,2800,3410,40,1573,2295,19,486,505,845,0.642081043078103,0.6788771650408123,0.18035714285714285,0.16822615966553853,0.642081043078103,0.6413826363351687
BASE_MEMIT,rewrite,0.025,both_arm_eligible,8,8000,5979,5867,112,4305,1562,3150,37,1118,1443,3,116,119,625,0.7337651269814215,0.7317073170731707,0.0761843790012804,0.14518002322880372,0.7337651269814215,0.7267895503443993
BASE_MEMIT,rewrite,0.025,initial_effective,8,8000,6020,5908,112,4341,1567,3177,37,1127,1448,3,116,119,632,0.7347664184157076,0.7318590186592951,0.07594128908742821,0.1455885740612762,0.7347664184157076,0.7273936828397727
BASE_MEMIT,rewrite,0.05,all_anchor_success,8,8000,6453,6329,124,4651,1678,3226,81,1344,1487,9,182,191,728,0.7348712276820982,0.6936142764996774,0.11382598331346841,0.15652547839174372,0.7348712276820982,0.7309670088867146
BASE_MEMIT,rewrite,0.05,all_facts,8,8000,8000,7823,177,5023,2800,3386,87,1550,2286,42,472,514,828,0.642081043078103,0.6740991439378857,0.18357142857142858,0.16484172805096556,0.642081043078103,0.6413826363351687
BASE_MEMIT,rewrite,0.05,both_arm_eligible,8,8000,5966,5854,112,4296,1558,3128,74,1094,1439,7,112,119,609,0.7338571916638196,0.7281191806331471,0.07637997432605904,0.14175977653631286,0.7338571916638196,0.7267668496029256
BASE_MEMIT,rewrite,0.05,initial_effective,8,8000,6007,5895,112,4332,1563,3154,75,1103,1444,7,112,119,616,0.7348600508905853,0.7280701754385965,0.07613563659628919,0.14219759926131118,0.7348600508905853,0.7273717338201913
BASE_MEMIT,rewrite,0.1,all_anchor_success,8,8000,6453,6329,124,4651,1678,3179,164,1308,1480,21,177,198,683,0.7348712276820982,0.6835089228122985,0.11799761620977355,0.14685013975489142,0.7348712276820982,0.7309670088867146
BASE_MEMIT,rewrite,0.1,all_facts,8,8000,8000,7823,177,5023,2800,3337,174,1512,2266,76,458,534,781,0.642081043078103,0.6643440175194107,0.19071428571428573,0.15548477005773442,0.642081043078103,0.6413826363351687
BASE_MEMIT,rewrite,0.1,both_arm_eligible,8,8000,5945,5833,112,4279,1554,3076,152,1051,1431,17,106,123,562,0.7335847762729298,0.7188595466230427,0.07915057915057915,0.13133909792007478,0.7335847762729298,0.7263004408565177
BASE_MEMIT,rewrite,0.1,initial_effective,8,8000,5989,5877,112,4318,1559,3104,154,1060,1436,17,106,123,570,0.7347286030287562,0.7188513200555813,0.07889672867222579,0.13200555812876333,0.7347286030287562,0.7270093722755988
BASE_MEMIT,rewrite,0.2,all_anchor_success,8,8000,6453,6329,124,4651,1678,3107,290,1254,1463,49,166,215,625,0.7348712276820982,0.6680283809933347,0.12812872467222886,0.13437970328961513,0.7348712276820982,0.7309670088867146
BASE_MEMIT,rewrite,0.2,all_facts,8,8000,8000,7823,177,5023,2800,3257,312,1454,2220,152,428,580,719,0.642081043078103,0.6484172805096556,0.20714285714285716,0.1431415488751742,0.642081043078103,0.6413826363351687
BASE_MEMIT,rewrite,0.2,both_arm_eligible,8,8000,5895,5783,112,4246,1537,2999,260,987,1405,43,89,132,503,0.734220992564413,0.7063118228921338,0.08588158750813273,0.11846443711728685,0.734220992564413,0.7268092912055306
BASE_MEMIT,rewrite,0.2,initial_effective,8,8000,5939,5827,112,4285,1542,3027,263,995,1410,43,89,132,510,0.7353698301012528,0.7064177362893815,0.08560311284046693,0.11901983663943991,0.7353698301012528,0.7275201440573951
