family,panel,epsilon,subset,cohorts,total_raw,anchor_eligible,active_denominator,censored,retained,lost,retained_decreased,retained_stable,retained_increased,lost_decreased,lost_stable,lost_increased,lost_maintained_or_increased,retained_reversal,retained_rate,weak_given_retained,maintained_given_lost,reversal_given_retained,micro_retention,macro_retention
BASE_ALPHAEDIT,paraphrase_0,0.025,all_anchor_success,8,8000,7435,7318,117,4628,2690,3977,16,635,2628,1,61,62,688,0.63241322765783,0.8593344857389801,0.023048327137546468,0.14866032843560933,0.63241322765783,0.6350577523169676
BASE_ALPHAEDIT,paraphrase_0,0.025,all_facts,8,8000,8000,7823,177,4790,3033,4067,17,706,2867,2,164,166,726,0.6122970727342452,0.8490605427974948,0.054731289152654135,0.15156576200417538,0.6122970727342452,0.6114742752124986
BASE_ALPHAEDIT,paraphrase_0,0.025,both_arm_eligible,8,8000,4589,4520,69,3021,1499,2634,10,377,1476,1,22,23,434,0.6683628318584071,0.871896722939424,0.015343562374916611,0.14366103939093017,0.6683628318584071,0.6655315625806489
BASE_ALPHAEDIT,paraphrase_0,0.025,initial_effective,8,8000,7281,7168,113,4514,2654,3960,16,538,2613,1,40,41,650,0.6297433035714286,0.8772707133362871,0.01544837980406933,0.14399645547186532,0.6297433035714286,0.6344020726503345
BASE_ALPHAEDIT,paraphrase_0,0.05,all_anchor_success,8,8000,7435,7318,117,4628,2690,3971,31,626,2628,3,59,62,667,0.63241322765783,0.858038029386344,0.023048327137546468,0.1441227312013829,0.63241322765783,0.6350577523169676
BASE_ALPHAEDIT,paraphrase_0,0.05,all_facts,8,8000,8000,7823,177,4790,3033,4061,32,697,2865,8,160,168,705,0.6122970727342452,0.8478079331941545,0.05539070227497527,0.14718162839248433,0.6122970727342452,0.6114742752124986
BASE_ALPHAEDIT,paraphrase_0,0.05,both_arm_eligible,8,8000,4568,4499,69,3007,1492,2620,20,367,1470,2,20,22,417,0.6683707490553457,0.8713002993016296,0.014745308310991957,0.13867642168274028,0.6683707490553457,0.6656597498558715
BASE_ALPHAEDIT,paraphrase_0,0.05,initial_effective,8,8000,7277,7164,113,4511,2653,3954,31,526,2613,3,37,40,630,0.629676158570631,0.8765240523165595,0.015077271013946476,0.13965861228109067,0.629676158570631,0.6343940741209017
BASE_ALPHAEDIT,paraphrase_0,0.1,all_anchor_success,8,8000,7435,7318,117,4628,2690,3957,56,615,2623,8,59,67,624,0.63241322765783,0.8550129645635264,0.02490706319702602,0.1348314606741573,0.63241322765783,0.6350577523169676
BASE_ALPHAEDIT,paraphrase_0,0.1,all_facts,8,8000,8000,7823,177,4790,3033,4046,59,685,2859,18,156,174,659,0.6122970727342452,0.8446764091858038,0.057368941641938676,0.13757828810020878,0.6122970727342452,0.6114742752124986
BASE_ALPHAEDIT,paraphrase_0,0.1,both_arm_eligible,8,8000,4540,4473,67,2987,1486,2593,38,356,1461,5,20,25,390,0.6677844846858931,0.8680950786742551,0.016823687752355317,0.13056578506863073,0.6677844846858931,0.6651426271703824
BASE_ALPHAEDIT,paraphrase_0,0.1,initial_effective,8,8000,7273,7162,111,4509,2653,3940,54,515,2608,8,37,45,588,0.629572745043284,0.8738079396762032,0.016961929890689786,0.13040585495675316,0.629572745043284,0.634315098296636
BASE_ALPHAEDIT,paraphrase_0,0.2,all_anchor_success,8,8000,7435,7318,117,4628,2690,3926,115,587,2621,13,56,69,559,0.63241322765783,0.848314606741573,0.025650557620817842,0.12078651685393259,0.63241322765783,0.6350577523169676
BASE_ALPHAEDIT,paraphrase_0,0.2,all_facts,8,8000,8000,7823,177,4790,3033,4012,121,657,2851,30,152,182,588,0.6122970727342452,0.8375782881002087,0.06000659413122321,0.12275574112734865,0.6122970727342452,0.6114742752124986
BASE_ALPHAEDIT,paraphrase_0,0.2,both_arm_eligible,8,8000,4461,4397,64,2941,1456,2527,79,335,1431,7,18,25,337,0.6688651353195361,0.8592315538932336,0.017170329670329672,0.11458687521251275,0.6688651353195361,0.6663579524354466
BASE_ALPHAEDIT,paraphrase_0,0.2,initial_effective,8,8000,7257,7147,110,4502,2645,3907,110,485,2600,12,33,45,523,0.6299146495032881,0.8678365171035095,0.017013232514177693,0.11617059084851178,0.6299146495032881,0.6349972597244371
BASE_ALPHAEDIT,paraphrase_1,0.025,all_anchor_success,8,8000,7469,7351,118,4669,2682,4010,17,642,2619,1,62,63,673,0.6351516800435315,0.858856286142643,0.02348993288590604,0.14414221460698223,0.6351516800435315,0.6380001655489528
BASE_ALPHAEDIT,paraphrase_1,0.025,all_facts,8,8000,8000,7823,177,4814,3009,4074,17,723,2841,3,165,168,704,0.6153649495078615,0.8462816784378895,0.05583250249252243,0.14624013294557542,0.6153649495078615,0.614391758497129
BASE_ALPHAEDIT,paraphrase_1,0.025,both_arm_eligible,8,8000,4556,4501,55,2996,1505,2609,12,375,1480,1,24,25,418,0.6656298600311042,0.8708277703604806,0.016611295681063124,0.13951935914552738,0.6656298600311042,0.6606589489366295
BASE_ALPHAEDIT,paraphrase_1,0.025,initial_effective,8,8000,7310,7207,103,4557,2650,3983,17,557,2611,1,38,39,634,0.6323019286804495,0.8740399385560675,0.01471698113207547,0.1391266183892912,0.6323019286804495,0.636942581626007
BASE_ALPHAEDIT,paraphrase_1,0.05,all_anchor_success,8,8000,7469,7351,118,4669,2682,4002,31,636,2619,1,62,63,657,0.6351516800435315,0.8571428571428571,0.02348993288590604,0.14071535660741058,0.6351516800435315,0.6380001655489528
BASE_ALPHAEDIT,paraphrase_1,0.05,all_facts,8,8000,8000,7823,177,4814,3009,4066,32,716,2840,4,165,169,688,0.6153649495078615,0.8446198587453261,0.05616483881688269,0.1429164935604487,0.6153649495078615,0.614391758497129
BASE_ALPHAEDIT,paraphrase_1,0.05,both_arm_eligible,8,8000,4540,4485,55,2982,1503,2590,21,371,1478,1,24,25,404,0.6648829431438127,0.8685446009389671,0.0166333998669328,0.13547954393024816,0.6648829431438127,0.6600884464990056
BASE_ALPHAEDIT,paraphrase_1,0.05,initial_effective,8,8000,7306,7203,103,4553,2650,3973,31,549,2611,1,38,39,616,0.6320977370540053,0.8726114649681529,0.01471698113207547,0.13529540962003075,0.6320977370540053,0.6367859231510614
BASE_ALPHAEDIT,paraphrase_1,0.1,all_anchor_success,8,8000,7469,7351,118,4669,2682,3988,57,624,2618,4,60,64,625,0.6351516800435315,0.8541443563932319,0.023862788963460103,0.1338616406082673,0.6351516800435315,0.6380001655489528
BASE_ALPHAEDIT,paraphrase_1,0.1,all_facts,8,8000,8000,7823,177,4814,3009,4051,60,703,2837,10,162,172,655,0.6153649495078615,0.8415039468217699,0.057161847789963444,0.13606148732862483,0.6153649495078615,0.614391758497129
BASE_ALPHAEDIT,paraphrase_1,0.1,both_arm_eligible,8,8000,4504,4450,54,2953,1497,2558,40,355,1472,2,23,25,377,0.6635955056179775,0.8662377243481205,0.016700066800267203,0.12766677954622419,0.6635955056179775,0.6585830755426261
BASE_ALPHAEDIT,paraphrase_1,0.1,initial_effective,8,8000,7300,7197,103,4547,2650,3957,56,534,2610,3,37,40,582,0.6317910240377935,0.87024411700022,0.01509433962264151,0.12799648119639323,0.6317910240377935,0.6365551704402286
BASE_ALPHAEDIT,paraphrase_1,0.2,all_anchor_success,8,8000,7469,7351,118,4669,2682,3956,112,601,2617,8,57,65,561,0.6351516800435315,0.8472906403940886,0.024235645041014168,0.12015420860998072,0.6351516800435315,0.6380001655489528
BASE_ALPHAEDIT,paraphrase_1,0.2,all_facts,8,8000,8000,7823,177,4814,3009,4016,121,677,2829,24,156,180,586,0.6153649495078615,0.8342334856668051,0.05982053838484546,0.12172829248026588,0.6153649495078615,0.614391758497129
BASE_ALPHAEDIT,paraphrase_1,0.2,both_arm_eligible,8,8000,4434,4380,54,2904,1476,2500,74,330,1450,6,20,26,332,0.663013698630137,0.8608815426997245,0.017615176151761516,0.11432506887052342,0.663013698630137,0.657657249696928
BASE_ALPHAEDIT,paraphrase_1,0.2,initial_effective,8,8000,7288,7185,103,4538,2647,3925,108,505,2606,7,34,41,518,0.6315935977731385,0.8649184662847069,0.015489233094068758,0.11414720141031291,0.6315935977731385,0.6366590256702299
BASE_ALPHAEDIT,rewrite,0.025,all_anchor_success,8,8000,7955,7804,151,5674,2130,4998,11,665,2116,2,12,14,362,0.7270630445925167,0.8808600634473035,0.006572769953051643,0.06379978850898836,0.7270630445925167,0.7260942898065091
BASE_ALPHAEDIT,rewrite,0.025,all_facts,8,8000,8000,7823,177,5685,2138,5002,11,672,2121,2,15,17,362,0.7267033107503515,0.8798592788038698,0.007951356407857811,0.06367634124890062,0.7267033107503515,0.7254855541859956
BASE_ALPHAEDIT,rewrite,0.025,both_arm_eligible,8,8000,5979,5867,112,4444,1423,3896,9,539,1415,1,7,8,251,0.7574569626725755,0.8766876687668766,0.005621925509486999,0.05648064806480648,0.7574569626725755,0.7462718765569453
BASE_ALPHAEDIT,rewrite,0.025,initial_effective,8,8000,7921,7770,151,5643,2127,4985,11,647,2113,2,12,14,344,0.7262548262548263,0.8833953570795676,0.006582040432534086,0.06096048201311359,0.7262548262548263,0.7257166809832992
BASE_ALPHAEDIT,rewrite,0.05,all_anchor_success,8,8000,7955,7804,151,5674,2130,4993,24,657,2116,2,12,14,354,0.7270630445925167,0.8799788508988368,0.006572769953051643,0.062389848431441665,0.7270630445925167,0.7260942898065091
BASE_ALPHAEDIT,rewrite,0.05,all_facts,8,8000,8000,7823,177,5685,2138,4997,24,664,2121,2,15,17,354,0.7267033107503515,0.8789797713280563,0.007951356407857811,0.062269129287598944,0.7267033107503515,0.7254855541859956
BASE_ALPHAEDIT,rewrite,0.05,both_arm_eligible,8,8000,5966,5854,112,4432,1422,3879,22,531,1414,1,7,8,243,0.7570891697984284,0.8752256317689531,0.005625879043600563,0.05482851985559567,0.7570891697984284,0.7457062665055615
BASE_ALPHAEDIT,rewrite,0.05,initial_effective,8,8000,7921,7770,151,5643,2127,4980,24,639,2113,2,12,14,336,0.7262548262548263,0.8825093035619351,0.006582040432534086,0.05954279638490165,0.7262548262548263,0.7257166809832992
BASE_ALPHAEDIT,rewrite,0.1,all_anchor_success,8,8000,7955,7804,151,5674,2130,4986,45,643,2115,4,11,15,334,0.7270630445925167,0.8787451533309835,0.007042253521126761,0.058864998237574906,0.7270630445925167,0.7260942898065091
BASE_ALPHAEDIT,rewrite,0.1,all_facts,8,8000,8000,7823,177,5685,2138,4990,46,649,2120,4,14,18,334,0.7267033107503515,0.8777484608619174,0.00841908325537886,0.058751099384344765,0.7267033107503515,0.7254855541859956
BASE_ALPHAEDIT,rewrite,0.1,both_arm_eligible,8,8000,5945,5833,112,4417,1416,3859,42,516,1407,2,7,9,228,0.7572432710440596,0.873669911704777,0.006355932203389831,0.05161874575503735,0.7572432710440596,0.7457850441091378
BASE_ALPHAEDIT,rewrite,0.1,initial_effective,8,8000,7917,7766,151,5639,2127,4972,45,622,2112,4,11,15,315,0.726113829513263,0.8817166164213514,0.007052186177715092,0.05586096825678312,0.726113829513263,0.7256471650179803
BASE_ALPHAEDIT,rewrite,0.2,all_anchor_success,8,8000,7955,7804,151,5674,2130,4962,101,611,2114,6,10,16,295,0.7270630445925167,0.8745153330983433,0.007511737089201878,0.05199154035953472,0.7270630445925167,0.7260942898065091
