family,cohort,t,n,clusters,replicates,seed,delta_C_low,delta_C_high,weak_low,weak_high
BASE_ALPHAEDIT,U000_001,1,100,100,2000,20260924,0.0,0.0,0.0,0.0
BASE_ALPHAEDIT,U000_001,5,100,100,2000,20260924,-0.7949830315121071,-0.02851680511236192,0.3979591836734694,0.6
BASE_ALPHAEDIT,U000_001,10,99,99,2000,20260924,-1.5226395486393904,-0.44952259980392884,0.4731182795698925,0.6736842105263158
BASE_ALPHAEDIT,U000_001,20,98,98,2000,20260924,-3.251420084907362,-1.8081158221786686,0.6526315789473685,0.8280027453671926
BASE_ALPHAEDIT,U000_001,30,98,98,2000,20260924,-5.4860107309212065,-3.7235853364648825,0.7894736842105263,0.925531914893617
BASE_ALPHAEDIT,U000_001,40,98,98,2000,20260924,-7.369332670289351,-5.282069516814102,0.8131868131868132,0.945054945054945
BASE_ALPHAEDIT,U000_001,50,98,98,2000,20260924,-9.390688181254415,-7.29776430456619,0.9195402298850575,1.0
BASE_ALPHAEDIT,U000_001,60,98,98,2000,20260924,-11.625282700518659,-9.344519408452086,0.9367088607594937,1.0
BASE_ALPHAEDIT,U000_001,70,95,95,2000,20260924,-14.381411961120902,-12.02608510391567,1.0,1.0
BASE_ALPHAEDIT,U000_001,80,95,95,2000,20260924,-16.27210823514915,-13.956943252894288,1.0,1.0
BASE_ALPHAEDIT,U000_001,90,95,95,2000,20260924,-17.50465593643792,-15.375884563530624,1.0,1.0
BASE_ALPHAEDIT,U000_001,100,95,95,2000,20260924,-17.7277986648912,-15.492658112739116,1.0,1.0
BASE_ALPHAEDIT,U001_005,5,394,394,2000,20260924,0.0,0.0,0.0,0.0
BASE_ALPHAEDIT,U001_005,10,394,394,2000,20260924,-0.21705919512701788,0.09752762376563502,0.3883248730964467,0.4873096446700508
BASE_ALPHAEDIT,U001_005,20,392,392,2000,20260924,-1.2925570729981615,-0.6893021698355195,0.5268542199488491,0.6272493573264781
BASE_ALPHAEDIT,U001_005,30,392,392,2000,20260924,-2.941252182452656,-2.076149808595122,0.6375661375661376,0.732620320855615
BASE_ALPHAEDIT,U001_005,40,391,391,2000,20260924,-4.808307862381548,-3.7932578639118293,0.7547539311646599,0.8374000537526036
BASE_ALPHAEDIT,U001_005,50,390,390,2000,20260924,-6.6036044739505275,-5.491823097265018,0.8238636363636364,0.8966530470138143
