family,subset,panel,prompts,success,ties,native_preference,target_nll_mean,true_nll_mean,margin_mean,target_correct_tokens,target_tokens,target_token_micro,target_prompt_macro,target_strict_count,target_strict_rate,true_correct_tokens,true_tokens,true_token_micro,true_prompt_macro,true_strict_count,true_strict_rate
BASE_ALPHAEDIT,all_facts,rewrite,10000,7343,0,0.7343,5.07362656089764,8.533926875747786,3.460300314850146,3565,10163,0.350782249335826,0.35165,3500,0.35,309,10127,0.03051249135973141,0.0303,297,0.0297
BASE_ALPHAEDIT,all_facts,paraphrase_0,10000,6289,0,0.6289,7.170842661318672,8.711239755504765,1.5403970941860927,1491,10163,0.14670864902095837,0.1473,1461,0.1461,274,10127,0.027056383924163128,0.0274,274,0.0274
BASE_ALPHAEDIT,all_facts,paraphrase_1,10000,6288,0,0.6288,7.2023767753685215,8.680417228915635,1.478040453547114,1495,10163,0.14710223359244318,0.14735,1461,0.1461,264,10127,0.026068924656857905,0.0264,264,0.0264
BASE_ALPHAEDIT,active_t100,rewrite,9784,7212,0,0.7371218315617334,5.04340033276227,8.553480175714485,3.510079842952215,3550,9945,0.35696329813976874,0.35788021259198693,3485,0.3561937857726901,301,9910,0.030373360242179615,0.030202371218315618,290,0.02964022894521668
BASE_ALPHAEDIT,active_t100,paraphrase_0,9784,6184,0,0.6320523303352412,7.148161796166567,8.721226038595164,1.5730642424285963,1484,9945,0.14922071392659628,0.14983646770237122,1454,0.14860997547015536,270,9910,0.027245206861755803,0.02759607522485691,270,0.02759607522485691
BASE_ALPHAEDIT,active_t100,paraphrase_1,9784,6186,0,0.6322567457072772,7.185122060122151,8.695341073618634,1.5102190134964841,1490,9945,0.14982403217697335,0.15009198691741618,1456,0.14881439084219134,259,9910,0.02613521695257316,0.026471790678659034,259,0.026471790678659034
BASE_MEMIT,all_facts,rewrite,10000,6453,0,0.6453,9.250711854438311,10.970890592161632,1.7201787377233217,1094,10163,0.10764538030109219,0.10935,1093,0.1093,212,10127,0.020934136466870742,0.0212,212,0.0212
BASE_MEMIT,all_facts,paraphrase_0,10000,5691,0,0.5691,10.707577040940453,11.459082211894204,0.751505170953751,431,10163,0.04240873757748696,0.0431,431,0.0431,131,10127,0.01293571640169843,0.0131,131,0.0131
BASE_MEMIT,all_facts,paraphrase_1,10000,5716,0,0.5716,10.718796250509238,11.48244181971103,0.7636455692017916,432,10163,0.042507133720358165,0.0431,430,0.043,124,10127,0.012244494914584774,0.0124,124,0.0124
BASE_MEMIT,active_t100,rewrite,9784,6329,0,0.6468724448078496,9.234973725221627,10.979709085091516,1.7447353598698894,1086,9945,0.10920060331825038,0.11094644317252657,1085,0.11089533932951758,206,9910,0.020787083753784057,0.02105478331970564,206,0.02105478331970564
BASE_MEMIT,active_t100,paraphrase_0,9784,5578,0,0.5701144726083401,10.712341136847668,11.474636714452785,0.7622955776051169,429,9945,0.043137254901960784,0.04384709730171709,429,0.04384709730171709,126,9910,0.012714429868819375,0.012878168438266557,126,0.012878168438266557
BASE_MEMIT,active_t100,paraphrase_1,9784,5595,0,0.571852003270646,10.723972826122921,11.495711062130924,0.7717382360080037,430,9945,0.043237807943690296,0.04384709730171709,428,0.0437448896156991,119,9910,0.012008072653884965,0.012162714636140638,119,0.012162714636140638
