pair_id,family,panel,subset,past_anchor,future_end,selection,competitor_exposure_sum,target_exposure_sum,n,D_M_mean,D_M_q05,D_M_q50,D_M_q95,D_B_mean,D_B_q05,D_B_q50,D_B_q95,interaction_mean,interaction_q05,interaction_q50,interaction_q95,interaction_negative,interaction_positive,interaction_zero,actual_success,withoutV_success,removeV_gained,removeV_lost
BASE_ALPHAEDIT__U020__V070__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,20,70,high_competitor_exposure,3677,3191,1000,-0.3870466500092298,-6.515612713247537,-0.20185869932174683,4.982403278350828,0.4057209545769729,-4.867861902713775,0.3568875789642334,6.167261922359466,-0.7927676045862027,-5.034753131866455,-0.44750523567199707,2.7642642915248867,605,395,0,499,529,153,123
BASE_ALPHAEDIT__U020__V070__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,20,70,high_competitor_exposure,3677,3191,963,-0.384611629268787,-6.526771055161953,-0.172088623046875,5.019703245162963,0.4062421803821076,-4.811847400665283,0.37390828132629395,6.156682634353636,-0.7908538096508946,-5.036606216430664,-0.4416799545288086,2.784715664386749,582,381,0,483,506,142,119
BASE_ALPHAEDIT__U020__V070__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,20,70,high_competitor_exposure,3677,3191,1000,-0.3514817303358577,-5.829597592353821,-0.22716474533081055,4.863432073593139,0.43942772497283294,-4.728458905220032,0.3811321258544922,6.000395810604095,-0.7909094553086906,-5.765522599220276,-0.33080026507377625,2.461146688461303,590,410,0,500,533,140,107
BASE_ALPHAEDIT__U020__V070__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,20,70,high_competitor_exposure,3677,3191,963,-0.3256075642282493,-5.886043310165405,-0.20912456512451172,4.868752193450928,0.4646089162105967,-4.789493036270142,0.4278688430786133,6.0124544382095335,-0.7902164804388461,-5.7415780544281,-0.3406257629394531,2.458908081054687,572,391,0,482,513,135,104
BASE_ALPHAEDIT__U020__V070__T100,BASE_ALPHAEDIT,rewrite,all_fixed,20,70,high_competitor_exposure,3677,3191,1000,-0.6129694048885577,-6.565525856614113,-0.5010057985782623,5.011454701423642,0.3612397153740749,-4.874186561629176,0.23271597921848297,6.219256013259289,-0.9742091202626325,-6.705297257006168,-0.5103447437286377,3.7912103176116942,594,406,0,556,615,156,97
BASE_ALPHAEDIT__U020__V070__T100,BASE_ALPHAEDIT,rewrite,active_t100,20,70,high_competitor_exposure,3677,3191,963,-0.6297542191376838,-6.601264208555222,-0.5074176788330078,4.946235835552214,0.3374309230311498,-4.8989561796188354,0.2341221570968628,6.083924365043639,-0.9671851421688336,-6.701343515515328,-0.48453235626220703,3.786277389526366,567,396,0,538,595,152,95
BASE_ALPHAEDIT__U020__V090__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,20,90,low_competitor_exposure,3519,3261,1000,-0.2560594244310632,-4.912597799301147,-0.23505949974060059,3.914490055292844,0.27629689837293697,-3.9789805889129637,0.12882757186889648,4.7183349609375,-0.5323563228040002,-3.6579476624727247,-0.29525017738342285,1.6304466724395745,614,386,0,499,518,118,99
BASE_ALPHAEDIT__U020__V090__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,20,90,low_competitor_exposure,3519,3261,963,-0.25386347271296994,-4.906771039962768,-0.2547621726989746,3.946564674377441,0.27979315962083445,-3.89970028847456,0.12556743621826172,4.815853977203367,-0.5336566323338043,-3.66047483086586,-0.2913973331451416,1.6430802345275874,590,373,0,483,502,115,96
BASE_ALPHAEDIT__U020__V090__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,20,90,low_competitor_exposure,3519,3261,1000,-0.45986148248938846,-4.97202707529068,-0.39510083198547363,3.7789785742759627,0.1477740287873894,-4.125024849176407,0.10554313659667969,4.2949827909469604,-0.6076355112767778,-3.759469962120056,-0.3503386974334717,1.671265316009521,632,368,0,500,537,125,88
BASE_ALPHAEDIT__U020__V090__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,20,90,low_competitor_exposure,3519,3261,963,-0.47431102082827675,-4.984028553962707,-0.3967878818511963,3.957686752080917,0.15034061655796763,-4.124258935451508,0.0994710922241211,4.297385120391846,-0.6246516373862444,-3.8077398724853992,-0.36667299270629883,1.6673091411590568,615,348,0,482,520,123,85
BASE_ALPHAEDIT__U020__V090__T100,BASE_ALPHAEDIT,rewrite,all_fixed,20,90,low_competitor_exposure,3519,3261,1000,-1.2217509087165672,-7.006435163505375,-1.006843939423561,3.7612999558448785,0.38711961441894527,-4.689846476912498,0.4013243019580841,5.5102970600128165,-1.6088705231355125,-7.434983255621046,-1.047759771347046,2.0699225425720194,731,269,0,556,657,161,60
BASE_ALPHAEDIT__U020__V090__T100,BASE_ALPHAEDIT,rewrite,active_t100,20,90,low_competitor_exposure,3519,3261,963,-1.258315536253495,-7.066232600808144,-1.0462573021650314,3.7697160482406615,0.3989178873137992,-4.723739051818848,0.44285058975219727,5.508722543716431,-1.6572334235672943,-7.442785128392279,-1.1174402236938477,1.9911454305052745,709,254,0,538,638,159,59
BASE_ALPHAEDIT__U030__V060__T100,BASE_ALPHAEDIT,paraphrase_0,all_fixed,30,60,low_competitor_exposure,3596,3342,1000,0.11022993335220962,-2.9457578539848326,0.1607837677001953,3.165183353424072,0.10677365801483393,-2.5802549839019773,0.13531923294067383,2.9105455398559568,0.0034562753373757003,-1.7472148895263673,-0.004479646682739258,1.7087971448898314,507,493,0,519,512,60,67
BASE_ALPHAEDIT__U030__V060__T100,BASE_ALPHAEDIT,paraphrase_0,active_t100,30,60,low_competitor_exposure,3596,3342,970,0.11758406226878468,-2.9848243594169617,0.17202040925621986,3.2219596385955764,0.11078808465108429,-2.6474734783172607,0.13531923294067383,2.9134180068969724,0.006795977617700383,-1.7544027626514433,-0.0033960342407226562,1.7106004238128663,490,480,0,503,494,57,66
BASE_ALPHAEDIT__U030__V060__T100,BASE_ALPHAEDIT,paraphrase_1,all_fixed,30,60,low_competitor_exposure,3596,3342,1000,0.053551219451241194,-2.8365206956863402,0.08317303657531738,2.7438469409942607,0.08966629959270359,-2.6069422543048857,0.04832601547241211,2.79452873468399,-0.036115080141462384,-1.717189359664917,-0.006661176681518555,1.4853994727134703,502,498,0,518,511,71,78
BASE_ALPHAEDIT__U030__V060__T100,BASE_ALPHAEDIT,paraphrase_1,active_t100,30,60,low_competitor_exposure,3596,3342,970,0.04516971454158732,-2.8313933432102205,0.08317303657531738,2.7351425766944883,0.08434128467492837,-2.600104147195816,0.04558205604553223,2.789077520370483,-0.039171570133341035,-1.7229738712310791,-0.01007223129272461,1.4881071567535398,489,481,0,501,495,70,76
