family,eval_t,panel_name,n,recovered,newly_lost,dM,dB,dC
BASE_ALPHAEDIT,1,paraphrase_0,100,0,0,,,
BASE_ALPHAEDIT,1,paraphrase_1,100,0,0,,,
BASE_ALPHAEDIT,1,rewrite,100,0,0,,,
BASE_ALPHAEDIT,5,paraphrase_0,500,2,2,0.5050118357059545,-0.049398015178740026,0.5544098508846946
BASE_ALPHAEDIT,5,paraphrase_1,500,3,2,0.5267945452089771,-0.005232298886403442,0.5320268440953805
BASE_ALPHAEDIT,5,rewrite,500,0,1,-0.3022552155800804,0.09582407617243006,-0.39807929175251044
BASE_ALPHAEDIT,10,paraphrase_0,999,13,5,0.3554408186648292,0.0695526738611903,0.2858881448036389
BASE_ALPHAEDIT,10,paraphrase_1,999,12,5,0.3741469785090885,0.04001766510395509,0.3341293134051334
BASE_ALPHAEDIT,10,rewrite,999,3,5,-0.13720241604993838,0.026958006756967644,-0.16416042280690601
BASE_ALPHAEDIT,20,paraphrase_0,1984,12,17,-0.2502523756502912,-0.02246208519934271,-0.22779029045094848
BASE_ALPHAEDIT,20,paraphrase_1,1984,20,26,-0.15874015928803262,-0.017047203734001055,-0.14169295555403155
BASE_ALPHAEDIT,20,rewrite,1984,2,4,-0.7839411942070251,-0.3337736662109234,-0.45016752799610166
BASE_ALPHAEDIT,30,paraphrase_0,2970,29,44,-0.672845613461748,-0.025929046379346284,-0.6469165670824017
BASE_ALPHAEDIT,30,paraphrase_1,2970,26,51,-0.6431207978696992,-0.01638859385506639,-0.6267322040146329
BASE_ALPHAEDIT,30,rewrite,2970,1,21,-1.0762395896137817,-0.27503477526858117,-0.8012048143452004
BASE_ALPHAEDIT,40,paraphrase_0,3950,29,106,-0.7825812620276033,-0.0006713202585023252,-0.781909941769101
BASE_ALPHAEDIT,40,paraphrase_1,3950,29,98,-0.7618010635763226,0.007515580339088867,-0.7693166439154114
BASE_ALPHAEDIT,40,rewrite,3950,4,32,-1.2158362815276595,-0.2511565641337777,-0.9646797173938819
BASE_ALPHAEDIT,50,paraphrase_0,4932,51,128,-0.7809908080667637,0.008182928323118926,-0.7891737363898826
BASE_ALPHAEDIT,50,paraphrase_1,4932,53,124,-0.7590086914207862,0.03725836458600715,-0.7962670560067934
BASE_ALPHAEDIT,50,rewrite,4932,8,72,-1.395803096181897,-0.1979666870187258,-1.1978364091631712
BASE_ALPHAEDIT,60,paraphrase_0,5902,63,269,-1.2492875691627705,0.13368666693132591,-1.3829742360940964
BASE_ALPHAEDIT,60,paraphrase_1,5902,63,275,-1.2324844687351273,0.09958760940629544,-1.3320720781414226
BASE_ALPHAEDIT,60,rewrite,5902,13,148,-1.9088174251469572,0.09173478651991904,-2.0005522116668764
BASE_ALPHAEDIT,70,paraphrase_0,6881,125,876,-2.701888682085044,0.7662439832787571,-3.4681326653638016
BASE_ALPHAEDIT,70,paraphrase_1,6881,146,827,-2.679526206395275,0.7791595228053421,-3.4586857292006172
BASE_ALPHAEDIT,70,rewrite,6881,47,412,-2.3094231779630547,0.4657957699952189,-2.775218947958274
BASE_ALPHAEDIT,80,paraphrase_0,7852,356,1173,-2.23515429543384,0.8024706907026646,-3.0376249861365046
BASE_ALPHAEDIT,80,paraphrase_1,7852,320,1309,-2.331067620149164,0.8334861611778331,-3.164553781326997
BASE_ALPHAEDIT,80,rewrite,7852,113,714,-2.203159298359267,0.7225885800386631,-2.92574787839793
BASE_ALPHAEDIT,90,paraphrase_0,8826,515,1145,-1.062034547341501,0.21000835136635,-1.272042898707851
BASE_ALPHAEDIT,90,paraphrase_1,8826,511,1114,-1.110683855031472,0.16721190242863365,-1.2778957574601055
BASE_ALPHAEDIT,90,rewrite,8826,248,969,-2.037947983128494,0.473347300870846,-2.51129528399934
BASE_ALPHAEDIT,100,paraphrase_0,9784,644,1010,-0.5835615914548395,0.18498339985732828,-0.7685449913121678
BASE_ALPHAEDIT,100,paraphrase_1,9784,678,977,-0.5810983483307718,0.14276951484416472,-0.7238678631749365
BASE_ALPHAEDIT,100,rewrite,9784,399,1015,-1.3446905937680795,0.09003622368119854,-1.434726817449278
BASE_MEMIT,1,paraphrase_0,100,0,0,,,
BASE_MEMIT,1,paraphrase_1,100,0,0,,,
BASE_MEMIT,1,rewrite,100,0,0,,,
BASE_MEMIT,5,paraphrase_0,500,7,2,1.7863107711740305,0.11036681724712252,1.6759439539269079
BASE_MEMIT,5,paraphrase_1,500,9,4,1.461272708766628,0.34832565965130924,1.1129470491153188
BASE_MEMIT,5,rewrite,500,0,1,0.3071285031948355,0.42140303876483814,-0.11427453557000262
BASE_MEMIT,10,paraphrase_0,999,17,45,-1.879223397510613,0.8595220845352246,-2.7387454820458377
BASE_MEMIT,10,paraphrase_1,999,22,57,-1.7034327447124846,0.8926672270271427,-2.5960999717396276
