family,cohort_id,anchor,eval_t,panel,epsilon,subset,total_raw,anchor_eligible,active_denominator,censored,retained,lost,retained_decreased,retained_stable,retained_increased,lost_decreased,lost_stable,lost_increased,lost_maintained_or_increased,retained_reversal,weak_given_retained,lost_maintained_rate,reversal_given_retained,weak_of_all_active,lost_stable_increase_of_all_active,reversal_of_all_active,M_mean,B_mean,C_mean,delta_B_mean,delta_C_mean,delta_C_p05,delta_C_p95,target_tf_token_micro,target_tf_prompt_macro,target_tf_strict
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.025,initial_effective,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.025,all_anchor_success,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.025,all_facts,100,100,100,0,89,11,0,89,0,0,11,0,11,0,0.0,1.0,0.0,0.0,0.11,0.0,5.155663607954048,-4.96122281294316,10.116886420897208,0.0,0.0,0.0,0.0,0.5247524752475248,0.52,0.52
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.025,both_arm_eligible,100,87,87,0,87,0,0,87,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.327942876568086,-4.51429485396921,10.842237730537295,0.0,0.0,0.0,0.0,0.6022727272727273,0.5977011494252874,0.5977011494252874
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.05,initial_effective,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.05,all_anchor_success,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.05,all_facts,100,100,100,0,89,11,0,89,0,0,11,0,11,0,0.0,1.0,0.0,0.0,0.11,0.0,5.155663607954048,-4.96122281294316,10.116886420897208,0.0,0.0,0.0,0.0,0.5247524752475248,0.52,0.52
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.05,both_arm_eligible,100,87,87,0,87,0,0,87,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.327942876568086,-4.51429485396921,10.842237730537295,0.0,0.0,0.0,0.0,0.6022727272727273,0.5977011494252874,0.5977011494252874
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.1,initial_effective,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.1,all_anchor_success,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.1,all_facts,100,100,100,0,89,11,0,89,0,0,11,0,11,0,0.0,1.0,0.0,0.0,0.11,0.0,5.155663607954048,-4.96122281294316,10.116886420897208,0.0,0.0,0.0,0.0,0.5247524752475248,0.52,0.52
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.1,both_arm_eligible,100,87,87,0,87,0,0,87,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.327942876568086,-4.51429485396921,10.842237730537295,0.0,0.0,0.0,0.0,0.6022727272727273,0.5977011494252874,0.5977011494252874
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.2,initial_effective,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.2,all_anchor_success,100,89,89,0,89,0,0,89,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.196531987858915,-4.524228810719895,10.72076079857881,0.0,0.0,0.0,0.0,0.5888888888888889,0.5842696629213483,0.5842696629213483
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.2,all_facts,100,100,100,0,89,11,0,89,0,0,11,0,11,0,0.0,1.0,0.0,0.0,0.11,0.0,5.155663607954048,-4.96122281294316,10.116886420897208,0.0,0.0,0.0,0.0,0.5247524752475248,0.52,0.52
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,0.2,both_arm_eligible,100,87,87,0,87,0,0,87,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.327942876568086,-4.51429485396921,10.842237730537295,0.0,0.0,0.0,0.0,0.6022727272727273,0.5977011494252874,0.5977011494252874
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.025,initial_effective,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.025,all_anchor_success,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.025,all_facts,100,100,100,0,85,15,0,85,0,0,15,0,15,0,0.0,1.0,0.0,0.0,0.15,0.0,4.78672278887243,-5.384046541508287,10.170769330380717,0.0,0.0,0.0,0.0,0.48514851485148514,0.48,0.48
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.025,both_arm_eligible,100,82,82,0,82,0,0,82,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.336799507218174,-5.10054875528667,11.437348262504845,0.0,0.0,0.0,0.0,0.5903614457831325,0.5853658536585366,0.5853658536585366
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.05,initial_effective,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.05,all_anchor_success,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.05,all_facts,100,100,100,0,85,15,0,85,0,0,15,0,15,0,0.0,1.0,0.0,0.0,0.15,0.0,4.78672278887243,-5.384046541508287,10.170769330380717,0.0,0.0,0.0,0.0,0.48514851485148514,0.48,0.48
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.05,both_arm_eligible,100,82,82,0,82,0,0,82,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.336799507218174,-5.10054875528667,11.437348262504845,0.0,0.0,0.0,0.0,0.5903614457831325,0.5853658536585366,0.5853658536585366
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.1,initial_effective,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.1,all_anchor_success,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.1,all_facts,100,100,100,0,85,15,0,85,0,0,15,0,15,0,0.0,1.0,0.0,0.0,0.15,0.0,4.78672278887243,-5.384046541508287,10.170769330380717,0.0,0.0,0.0,0.0,0.48514851485148514,0.48,0.48
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.1,both_arm_eligible,100,82,82,0,82,0,0,82,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.336799507218174,-5.10054875528667,11.437348262504845,0.0,0.0,0.0,0.0,0.5903614457831325,0.5853658536585366,0.5853658536585366
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.2,initial_effective,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.2,all_anchor_success,100,85,85,0,85,0,0,85,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.1316090350053,-5.103927557082737,11.235536592088037,0.0,0.0,0.0,0.0,0.5697674418604651,0.5647058823529412,0.5647058823529412
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.2,all_facts,100,100,100,0,85,15,0,85,0,0,15,0,15,0,0.0,1.0,0.0,0.0,0.15,0.0,4.78672278887243,-5.384046541508287,10.170769330380717,0.0,0.0,0.0,0.0,0.48514851485148514,0.48,0.48
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,0.2,both_arm_eligible,100,82,82,0,82,0,0,82,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,6.336799507218174,-5.10054875528667,11.437348262504845,0.0,0.0,0.0,0.0,0.5903614457831325,0.5853658536585366,0.5853658536585366
BASE_ALPHAEDIT,U000_001,1,1,rewrite,0.025,initial_effective,100,100,100,0,100,0,0,100,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,10.957423280122166,-6.844112920551561,17.801536200673727,0.0,0.0,0.0,0.0,0.9900990099009901,0.99,0.99
BASE_ALPHAEDIT,U000_001,1,1,rewrite,0.025,all_anchor_success,100,100,100,0,100,0,0,100,0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,10.957423280122166,-6.844112920551561,17.801536200673727,0.0,0.0,0.0,0.0,0.9900990099009901,0.99,0.99
