panel,subset,n,both_success,alpha_only,memit_only,both_failed,alpha_minus_memit_target_nll,alpha_minus_memit_true_nll,alpha_minus_memit_margin
rewrite,all10000,10000,5191,2152,1262,1395,-4.177085293540671,-2.436963716413846,1.7401215771268246
rewrite,active9784,9784,5109,2103,1220,1352,-4.191573392459357,-2.426228909377031,1.7653444830823255
paraphrase_0,all10000,10000,3977,2312,1714,1997,-3.5367343796217816,-2.74784245638944,0.7888919232323417
paraphrase_0,active9784,9784,3911,2273,1667,1933,-3.564179340681101,-2.753410675857621,0.8107686648234795
paraphrase_1,all10000,10000,3988,2300,1728,1984,-3.5164194751407165,-2.8020245907953942,0.7143948843453225
paraphrase_1,active9784,9784,3919,2267,1676,1922,-3.53885076600077,-2.8003699885122897,0.7384807774884804
