family,state_id,cases,repeat_nll,restore_nll,weight_hash,restore
BASE_ALPHAEDIT,BASE_ALPHAEDIT__002,8,0.0,0.0,5284c22368d81659a33d7272a471c026ca33439f8c6ce942e0b6227049288737,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__005,8,0.0,0.0,12d13789261e5e81fb8030d7046babc202d453f2923d0b0159486aa32e8575fd,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__006,8,0.0,0.0,c676bd8dcd929c8af05af3a4ba5ba7f14753ca2626277aebf7bf1c7ba958dfc4,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__00b,8,0.0,0.0,31838cb7680fd75a6c26978c7a56c36fe1edf69cb54bc32bdcf06e30b0ccb68e,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__00d,8,0.0,0.0,cb19f1ff7ffa128207b6728cbd5a9233accb89a24f4da977b82e7446cfc4ad0c,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__00e,8,0.0,0.0,e02ad3654d8c69938269d88f11b8dbb5b350258cdb6372335fc94ba25fb80d14,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__017,8,0.0,0.0,c01b7d71bf19a9f39a40bbeba5d8451c0c28fcebea1f62b061b683a1714b6b37,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__01b,8,0.0,0.0,1ea1099a1899697a2f1913ebdb2f5bbb0bb3df4d588f52eec41cecc7cfce54dd,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__01d,8,0.0,0.0,8ab4d4b8feb55c5838a1a1289e94deb0690b58bc0f54441d9f91f97f6eb177f3,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__01e,8,0.0,0.0,f5b6b1563c3fd83eca5d84995017ba1a4b3ed92c6e6145c2ac3c68a8065d2135,EXACT_BYTES
BASE_ALPHAEDIT,BASE_ALPHAEDIT__02f,8,0.0,0.0,33ffbfb98d7e93ee3e69ef29d6ca37ae5f6cb04c2c56cdc10b8a8364d91ac778,EXACT_BYTES
