family,panel,exclude_margin_abs_le,denominator,excluded,retained,lost
BASE_ALPHAEDIT,paraphrase_0,0.0,7162,0,4509,2653
BASE_ALPHAEDIT,paraphrase_0,0.0005,7162,0,4509,2653
BASE_ALPHAEDIT,paraphrase_1,0.0,7197,0,4547,2650
BASE_ALPHAEDIT,paraphrase_1,0.0005,7196,1,4547,2649
BASE_ALPHAEDIT,rewrite,0.0,7766,0,5639,2127
BASE_ALPHAEDIT,rewrite,0.0005,7766,0,5639,2127
BASE_MEMIT,paraphrase_0,0.0,4838,0,3291,1547
BASE_MEMIT,paraphrase_0,0.0005,4838,0,3291,1547
BASE_MEMIT,paraphrase_1,0.0,4801,0,3300,1501
BASE_MEMIT,paraphrase_1,0.0005,4800,1,3299,1501
BASE_MEMIT,rewrite,0.0,5877,0,4318,1559
BASE_MEMIT,rewrite,0.0005,5876,1,4317,1559
