family,checkpoint,reused,cases,state_weight_hash,restore,new_GPU_evaluations
BASE_ALPHAEDIT,0,True,16,41a144f39305ef01d1799f56c7b43d200d953a2ee41b54243f7884ce84ef8e69,RECORDED_EXACT_BYTES,0
BASE_ALPHAEDIT,1,True,16,5442bd275a4d153454c43cb48aed4ed7f4cc876292468be2b7e3ccd9d7259c9b,RECORDED_EXACT_BYTES,0
BASE_ALPHAEDIT,5,False,16,1b9734fd0205eafb9daf192d4a13970abfc11eeeaeb76e81044f7894884e207b,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,10,False,16,a03eb070b7c6be94f00510ca377f0b04d81bef8fe59f97161594c607fa9f3083,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,20,True,16,a012719f0840d78b3d4fa4f43b599bf5f39456d8bd3f4b5c1d96bf094494e9ac,RECORDED_EXACT_BYTES,0
BASE_ALPHAEDIT,30,False,16,ad435a8ecbe359562a8b300ec0cdeed3f3e7ead8fab3a520441924c616d3f6ee,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,40,False,16,ef106589b2bd0c8f5336007d433c0ac92ea12091a68610f20651d0ed32943af5,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,50,True,16,aa24c845de6048ec2e991de657fcaa46bf3ac09830a1f1cfecbccd4457f8f220,RECORDED_EXACT_BYTES,0
BASE_ALPHAEDIT,60,False,16,7b4ef5fa2cc6c0993341a0f6aa877025a640e4efc66a8793d2391c4e767aad66,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,70,False,16,979a1fb9039359ef7e9217b7d26a001d4049d11410fcd64fb9d4669cb99d4c01,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,80,False,16,c79e0643bddcc46d66093cf1bb7b3209d11b45e5b72fe38ea344ce77e98e0a24,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,90,False,16,bf6c8a15f06f8220a5755fb0b1cb28649cb33b4f4bb2490d3dc96f196ad94a2e,RECORDED_EXACT_BYTES,ACTUAL
BASE_ALPHAEDIT,100,True,16,6a3273029356f7eed153464323ec5a0fffc2f7a1ebadca18e553d840142d7863,RECORDED_EXACT_BYTES,0
BASE_MEMIT,0,True,16,41a144f39305ef01d1799f56c7b43d200d953a2ee41b54243f7884ce84ef8e69,RECORDED_EXACT_BYTES,0
BASE_MEMIT,1,True,16,5fa41bf1dfe07d67c3146151e396b10fdccfcbb901d1561427fccd88e4a16fb1,RECORDED_EXACT_BYTES,0
BASE_MEMIT,5,False,16,26554a67b997d01cf4725642adba3d652b909734d8ac71554c076cc0aa5a1c0f,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,10,False,16,6ff4ed3e64949b9ee4c17dc5b1e72bf86f5323ef56d0fdb7b87fe44582ca6c7c,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,20,True,16,59c03de2f645004290d84d48cb0fbb59ee0b769b6d02ccd47a8f527ff498c3d5,RECORDED_EXACT_BYTES,0
BASE_MEMIT,30,False,16,fea9c4f6957b6bd2a3c9096758a8ccee1705c02b74442115afa9183f0ae9acdf,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,40,False,16,c641e39de1b2387f95c78ed6add8afd25f3394053d3a0ffe292b97554f187e6a,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,50,True,16,98534af801bcda0058204b84126b378d67643f74d3c6da755f91839f1dbe48c3,RECORDED_EXACT_BYTES,0
BASE_MEMIT,60,False,16,c5ce47ebbc041e600db8759fcdeec0b2c707fdbf7d7c2d3c2e6ff4a2ac717251,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,70,False,16,62fd5d230cc144be7bda813333dd396d103a373340064642c3cf592db57ecc17,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,80,False,16,3ae8894ffe0daf4bb15a5e3c77206e407279117941becd12d20c89a33607612d,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,90,False,16,b56fc1e22829531d1094f5bf9a2540b3dc5bbfeb3f34be03c07886b600d1d3c3,RECORDED_EXACT_BYTES,ACTUAL
BASE_MEMIT,100,False,16,8f4f2fb3ae2249ae64dd4baf73339734cc12f3b00145344b1acd2699b6125ab9,RECORDED_EXACT_BYTES,ACTUAL
