family,cohort,anchor,eval_t,panel,subset,n,anchor_success,final_success,retained,lost,gained,both_failed,lost_case_ids_sha256,gained_case_ids_sha256
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,raw,100,89,89,89,0,0,11,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_0,active_both,100,89,89,89,0,0,11,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,raw,100,85,85,85,0,0,15,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BASE_ALPHAEDIT,U000_001,1,1,paraphrase_1,active_both,100,85,85,85,0,0,15,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BASE_ALPHAEDIT,U000_001,1,1,rewrite,raw,100,100,100,100,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BASE_ALPHAEDIT,U000_001,1,1,rewrite,active_both,100,100,100,100,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BASE_ALPHAEDIT,U000_001,1,5,paraphrase_0,raw,100,89,89,87,2,2,9,4bf5afad51911bbe3ed6800ec54f17f1c3884cdaffdf2afbef68f7e9be72e41b,3e42c1259216851fe20acb41eabf98e6121e6a2f1434b0cf2e5b6ade86af1239
BASE_ALPHAEDIT,U000_001,1,5,paraphrase_0,active_both,100,89,89,87,2,2,9,4bf5afad51911bbe3ed6800ec54f17f1c3884cdaffdf2afbef68f7e9be72e41b,3e42c1259216851fe20acb41eabf98e6121e6a2f1434b0cf2e5b6ade86af1239
BASE_ALPHAEDIT,U000_001,1,5,paraphrase_1,raw,100,85,86,83,2,3,12,72813dc9d08d757a4ea430a8aa15de45c17648d3789fdd845a055f319ec56d89,ab858003454d07eb0250844e0761c826988a1bd898e5e8c7bec9b2e0ee726cfd
BASE_ALPHAEDIT,U000_001,1,5,paraphrase_1,active_both,100,85,86,83,2,3,12,72813dc9d08d757a4ea430a8aa15de45c17648d3789fdd845a055f319ec56d89,ab858003454d07eb0250844e0761c826988a1bd898e5e8c7bec9b2e0ee726cfd
BASE_ALPHAEDIT,U000_001,1,5,rewrite,raw,100,100,99,99,1,0,0,79a6f9fca603bf51069e8e9d8abbdddcc7126bfdd50b55a5f86f9362ddaaa048,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BASE_ALPHAEDIT,U000_001,1,5,rewrite,active_both,100,100,99,99,1,0,0,79a6f9fca603bf51069e8e9d8abbdddcc7126bfdd50b55a5f86f9362ddaaa048,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
