family,checkpoint,cases,rewrite_and_twoP,twoP_both,TF_rewrite_and_twoP,TF_twoP_both
BASE_ALPHAEDIT,1,100,79,79,32,32
BASE_ALPHAEDIT,5,500,411,412,222,223
BASE_ALPHAEDIT,10,1000,887,887,520,521
BASE_ALPHAEDIT,20,2000,1790,1790,1117,1120
BASE_ALPHAEDIT,30,3000,2658,2667,1645,1653
BASE_ALPHAEDIT,40,4000,3481,3493,2118,2141
BASE_ALPHAEDIT,50,5000,4273,4308,2501,2561
BASE_ALPHAEDIT,60,6000,4823,4892,2544,2646
BASE_ALPHAEDIT,70,7000,4587,4729,1716,1840
BASE_ALPHAEDIT,80,8000,4110,4349,888,996
BASE_ALPHAEDIT,90,9000,4121,4442,678,772
BASE_ALPHAEDIT,100,10000,4400,4840,561,642
BASE_MEMIT,1,100,79,79,34,34
BASE_MEMIT,5,500,424,425,232,234
BASE_MEMIT,10,1000,833,839,435,445
BASE_MEMIT,20,2000,978,1049,51,64
BASE_MEMIT,30,3000,1492,1560,2,4
BASE_MEMIT,40,4000,1841,1936,6,12
BASE_MEMIT,50,5000,2104,2314,17,34
BASE_MEMIT,60,6000,2629,2830,18,51
BASE_MEMIT,70,7000,3015,3289,37,89
BASE_MEMIT,80,8000,3459,3803,90,136
BASE_MEMIT,90,9000,3537,3962,91,127
BASE_MEMIT,100,10000,3886,4369,103,149
