method,surface,prompt,target,count,mean,median,p90_nearest_rank,max
FZ,accepted_z,rewrite,new,1000,0.03653484946286699,0.0012385324807837605,0.02319326624274254,3.425783157348633
FZ,accepted_z,rewrite,true,1000,14.002515680551529,13.808729648590088,18.927915573120117,26.352514266967773
FZ,accepted_z,rephrase,new,2000,1.2879657868834993,0.09964214637875557,4.67869234085083,17.360403060913086
FZ,accepted_z,rephrase,true,2000,10.799623358031036,10.693636894226074,16.029993057250977,23.756935119628906
FZ,accepted_z,rate,Eff,1000,0.999,,,
FZ,accepted_z,rate,Gen,2000,0.9775,,,
FZ,accepted_z,rate,Rewrite_accuracy,1000,0.99,,,
FZ,accepted_z,rate,Gen_strict,1000,0.963,,,
FZ,accepted_z,rate,Rephrase_accuracy,2000,0.727,,,
FZ,accepted_z,rate,Rephrase_strict_accuracy,1000,0.586,,,
FZ,accepted_z,rate,Loc,10000,0.875,,,
FZ,final_W,rewrite,new,1000,0.03746281665429615,0.0012338890228420496,0.02277456410229206,3.8426718711853027
FZ,final_W,rewrite,true,1000,13.990990124881268,13.794644832611084,18.98627471923828,26.336185455322266
FZ,final_W,rephrase,new,2000,1.9693466976358478,0.4708162397146225,6.129215717315674,18.019649505615234
FZ,final_W,rephrase,true,2000,8.999972881616559,8.867425441741943,14.088918685913086,24.853620529174805
FZ,final_W,rate,Eff,1000,0.999,,,
FZ,final_W,rate,Gen,2000,0.9215,,,
FZ,final_W,rate,Rewrite_accuracy,1000,0.99,,,
FZ,final_W,rate,Gen_strict,1000,0.87,,,
FZ,final_W,rate,Rephrase_accuracy,2000,0.6145,,,
FZ,final_W,rate,Rephrase_strict_accuracy,1000,0.447,,,
FZ,final_W,rate,Loc,10000,0.8747,,,
PDZ,accepted_z,rewrite,new,1000,0.07605283655738458,0.034464797005057335,0.1128978431224823,3.305079936981201
PDZ,accepted_z,rewrite,true,1000,10.544437553286553,10.275150775909424,15.036688804626465,22.318302154541016
PDZ,accepted_z,rephrase,new,2000,1.5604130465372874,0.3988642990589142,5.040853977203369,17.33976936340332
PDZ,accepted_z,rephrase,true,2000,9.032251400421838,8.951951503753662,13.494168281555176,20.558881759643555
PDZ,accepted_z,rate,Eff,1000,0.999,,,
PDZ,accepted_z,rate,Gen,2000,0.9745,,,
PDZ,accepted_z,rate,Rewrite_accuracy,1000,0.989,,,
PDZ,accepted_z,rate,Gen_strict,1000,0.959,,,
PDZ,accepted_z,rate,Rephrase_accuracy,2000,0.671,,,
PDZ,accepted_z,rate,Rephrase_strict_accuracy,1000,0.523,,,
PDZ,accepted_z,rate,Loc,10000,0.8746,,,
PDZ,final_W,rewrite,new,1000,0.07646562699883361,0.03462585248053074,0.10965936630964279,3.655179500579834
PDZ,final_W,rewrite,true,1000,10.542088558077813,10.267696380615234,15.029037475585938,22.34745979309082
PDZ,final_W,rephrase,new,2000,2.359243780933699,1.0866541862487793,6.510426044464111,18.191282272338867
PDZ,final_W,rephrase,true,2000,7.658072851130274,7.43474006652832,12.282195091247559,21.14806365966797
PDZ,final_W,rate,Eff,1000,0.999,,,
PDZ,final_W,rate,Gen,2000,0.902,,,
PDZ,final_W,rate,Rewrite_accuracy,1000,0.989,,,
PDZ,final_W,rate,Gen_strict,1000,0.841,,,
PDZ,final_W,rate,Rephrase_accuracy,2000,0.545,,,
PDZ,final_W,rate,Rephrase_strict_accuracy,1000,0.378,,,
PDZ,final_W,rate,Loc,10000,0.8741,,,
OFFICIAL-ALPHAEDIT,accepted_z,rewrite,new,1000,0.0023065382779223,0.000690460205078125,0.0026848006527870893,0.9981651306152344
OFFICIAL-ALPHAEDIT,accepted_z,rewrite,true,1000,14.628757358789445,14.350395202636719,19.818744659423828,27.31596565246582
OFFICIAL-ALPHAEDIT,accepted_z,rephrase,new,2000,1.100521684650808,0.051957255229353905,4.3084917068481445,15.602556228637695
OFFICIAL-ALPHAEDIT,accepted_z,rephrase,true,2000,11.050088527980726,10.976290225982666,16.343198776245117,26.353649139404297
OFFICIAL-ALPHAEDIT,accepted_z,rate,Eff,1000,1.0,,,
OFFICIAL-ALPHAEDIT,accepted_z,rate,Gen,2000,0.987,,,
OFFICIAL-ALPHAEDIT,accepted_z,rate,Gen_strict,1000,0.976,,,
OFFICIAL-ALPHAEDIT,accepted_z,rate,Loc,10000,0.8626,,,
OFFICIAL-ALPHAEDIT,accepted_z,rate,Rephrase_accuracy,2000,0.7625,,,
OFFICIAL-ALPHAEDIT,accepted_z,rate,Rephrase_strict_accuracy,1000,0.625,,,
OFFICIAL-ALPHAEDIT,accepted_z,rate,Rewrite_accuracy,1000,1.0,,,
OFFICIAL-ALPHAEDIT,final_W,rewrite,new,1000,0.0033151519038365222,0.0007467461109627038,0.002938360208645463,1.8773164749145508
OFFICIAL-ALPHAEDIT,final_W,rewrite,true,1000,14.51001994651556,14.228349685668945,19.696653366088867,27.063623428344727
OFFICIAL-ALPHAEDIT,final_W,rephrase,new,2000,1.8480393136327293,0.2934666723012924,5.901395797729492,17.445371627807617
OFFICIAL-ALPHAEDIT,final_W,rephrase,true,2000,9.396850217508618,9.368317127227783,14.641416549682617,24.31145477294922
OFFICIAL-ALPHAEDIT,final_W,rate,Eff,1000,0.999,,,
OFFICIAL-ALPHAEDIT,final_W,rate,Gen,2000,0.93,,,
OFFICIAL-ALPHAEDIT,final_W,rate,Gen_strict,1000,0.88,,,
OFFICIAL-ALPHAEDIT,final_W,rate,Loc,10000,0.8626,,,
OFFICIAL-ALPHAEDIT,final_W,rate,Rephrase_accuracy,2000,0.646,,,
OFFICIAL-ALPHAEDIT,final_W,rate,Rephrase_strict_accuracy,1000,0.488,,,
OFFICIAL-ALPHAEDIT,final_W,rate,Rewrite_accuracy,1000,0.999,,,
