alias,case,status,w0_restored,terminal_sha256,w0_e,w0_g,w0_l,post_e,post_g,post_l,post_e_new_nll,post_e_old_nll,post_e_margin,post_g_new_nll,post_g_old_nll,post_g_margin,post_l_new_nll,post_l_old_nll,post_l_margin,z8_new_nll,w_z_gap,rho_write_sum,coverage_mean,predicted_progress_sum,actual_progress_sum,realization_ratio_mean,linearization_error_sum,q_mean,equality_residual_max,structural_p_terminal,structural_p_step_mean_auc,cross_term_sum,self_term_sum,functional_p_terminal,capacity_sum,pi_entropy_mean,pi_top1_mean,pi_neff_mean,v_max,target_frozen_count_sum,edit_core_wall_seconds,evaluator_wall_seconds,model_forwards,backwards,processed_tokens,materialization_count,p1r23_status,p1r23_post_e,p1r23_post_g,p1r23_post_l,p1r23_post_e_new_nll,p1r23_post_e_old_nll,p1r23_post_e_margin,p1r23_post_g_new_nll,p1r23_post_g_old_nll,p1r23_post_g_margin,p1r23_post_l_new_nll,p1r23_post_l_old_nll,p1r23_post_l_margin,p1r23_structural_p,p1r23_functional_p,p1r23_capacity,p1r23_realization_ratio,p1r23_edit_core_wall_seconds,p1r23_evaluator_wall_seconds,p1r23_model_forwards,p1r23_backwards,p1r23_processed_tokens,alpha_status,alpha_post_e,alpha_post_g,alpha_post_l,alpha_post_e_new_nll,alpha_post_e_old_nll,alpha_post_e_margin,alpha_post_g_new_nll,alpha_post_g_old_nll,alpha_post_g_margin,alpha_post_l_new_nll,alpha_post_l_old_nll,alpha_post_l_margin,alpha_structural_p,alpha_functional_p,alpha_capacity,alpha_realization_ratio,alpha_edit_core_wall_seconds,alpha_evaluator_wall_seconds,alpha_model_forwards,alpha_backwards,alpha_processed_tokens
llama3-8b-inst,1,COMPLETE,True,80f919e73506365edba88a905bfe92ee832311b66f288cdd7085bd07d022b7a4,2,3,93,10,19,92,0.12877426147460938,10.246875,10.11810073852539,2.4068557739257814,9.027734375,6.620878601074219,12.3296875,5.2268797874450685,7.102807712554932,0.030361048970371486,0.0984132125042379,18.737403601225022,1.0,18.737403601225022,11.271067052148283,0.4594032099484109,-7.141290716974941,10.67726206406951,4.440892098500626e-16,0.007211742611500019,0.0029062600592905494,0.003667792347879943,0.003543950274550182,0.0060099789163013,4.878586815736264,1.603764749929308,0.2269923429176799,4.97175002315023,0.6036149728316621,5,126.80441668070853,2.3683083541691303,180,125,28152,8,COMPLETE,10.0,19.0,92.0,0.014169073104858399,19.2,19.185830926895143,2.019325280189514,12.23984375,10.220518469810486,12.345625,5.236675109863281,7.108949890136718,0.0001788991057349301,0.0060943162920405105,0.04986205690713689,0.7913345114195747,121.22134092915803,2.3833790849894285,26.0,16.0,26500.0,COMPLETE,10.0,19.0,92.0,0.001657867431640625,15.475,15.473342132568359,1.767156982421875,10.56328125,8.796124267578126,12.1584375,5.163970718383789,6.994466781616211,,,,,29.972860761918128,2.363813121803105,,,
llama3-8b-inst,2,COMPLETE,True,058dfe935236992e2081cd121dc8594bb15479afe130aab4ca831ae49ef7eae1,0,1,87,10,17,86,0.030847930908203126,13.8625,13.831652069091797,2.565386962890625,7.9671875,5.401800537109375,10.943593750000002,5.128194427490234,5.815399322509766,0.0498663917882368,-0.019018460880033672,16.932145611440255,1.0,16.932145611440255,11.19027694859542,0.6125293646516686,-5.698041544982077,9.22719521028921,4.440892098500626e-16,0.004980264471797078,0.0022022285009340057,0.0033521613567989916,0.0016281031116340643,0.11247523040917687,2.786369228493702,1.5794210523289163,0.25524849527189347,4.855021455338726,0.2870377229377432,9,108.49445059895515,2.390821666456759,180,125,29043,8,COMPLETE,10.0,16.0,86.0,0.0035207390785217283,19.3,19.29647926092148,2.1907315254211426,9.0296875,6.838955974578857,10.92890625,5.127053680419921,5.801852569580078,0.00021567817675900022,0.2681402637843274,0.06149144440341388,0.34059324138764113,117.88632936216891,2.4094604337587953,26.0,16.0,27254.0,COMPLETE,10.0,20.0,84.0,0.0006142973899841309,16.575,16.574385702610016,1.189422607421875,9.04296875,7.853546142578125,10.729921874999999,5.112293548583985,5.617628326416016,,,,,29.14825430046767,2.3925410816445947,,,
llama3-8b-inst,3,COMPLETE,True,d1d82e81d545e52416c2e889ce39f02ad87d3d83403e44c344107bf0a0c0a407,2,2,88,10,19,87,0.015980911254882813,12.24375,12.227769088745116,3.3791561126708984,7.74375,4.364593887329102,9.309559020996094,4.572253112792969,4.737305908203124,0.04786843318725005,-0.03188752193236724,12.804126788661787,1.0,12.804126788661787,9.44426658267621,0.6757890902929842,-3.318578934808773,7.404207404702902,4.440892098500626e-16,0.004834559026990244,0.0020661253945415247,0.003109146957490052,0.0017254120674321555,0.0030825927511782965,3.011135264510884,1.5558474331211607,0.25840464264965657,4.774766133870916,0.2625205810268653,9,104.69248949270695,2.2661268087103963,180,125,29295,8,FAIL,,,,,,,,,,,,,,,,,,,,,,COMPLETE,10.0,18.0,87.0,0.0006016731262207031,16.13125,16.13064832687378,3.011351442337036,9.392578125,6.381226682662964,9.206035766601563,4.535777282714844,4.670258483886719,,,,,29.796108099631965,2.2794706374406815,,,
llama3-8b-inst,4,COMPLETE,True,d26b98f8110142e1ca2c9401dbc0ee4a8ff6df223c42cc8e8f7ed5099498e6b7,0,0,97,10,16,92,0.017833709716796875,9.8875,9.869666290283202,3.1379486083984376,5.72177734375,2.5838287353515623,10.33720703125,4.258642196655273,6.078564834594727,0.01862533622625051,-0.0007916265094536357,19.229806053371256,1.0,19.229806053371256,9.852811975358053,0.5057738709019212,-8.049821572484733,9.638995636254549,4.440892098500626e-16,0.009281429731393918,0.003333458448604969,0.005235501484719348,0.004045928254832801,0.05772878545703508,4.867644086454705,1.4753252589931105,0.33854025523157305,4.410155845381872,0.5513378805294885,5,94.44489997904748,2.4359775856137276,180,125,28782,8,COMPLETE,10.0,16.0,91.0,0.05473806858062744,14.878125,14.823386931419373,3.1772513508796694,8.258514404296875,5.081263053417206,10.451363525390624,4.342787551879883,6.108575973510742,0.00020012173834337474,0.04327732014274211,0.052081899078641095,0.7241791244431878,125.77301755733788,2.4582971781492233,26.0,16.0,27046.0,COMPLETE,10.0,15.0,91.0,0.0018537282943725587,12.60625,12.604396271705628,3.3589107513427736,7.323876953125,3.9649662017822265,10.1986865234375,4.422004318237304,5.776682205200196,,,,,28.372441828250885,2.4726472422480583,,,
llama3-8b-inst,5,COMPLETE,True,9d0c945bd65198feb1b78df866179d0c183b3decdbd14d54f75e26e4ab435875,1,3,86,10,17,86,0.26070709228515626,11.315625,11.054917907714843,2.08057861328125,7.907421875,5.82684326171875,9.710078124999999,5.5032861328125,4.2067919921875,0.20168985314667226,0.059017239138484,18.975797027835352,1.0,18.97579702783535,9.388740561297162,0.5085357449783948,-8.782038501365717,10.342112462967634,4.440892098500626e-16,0.006714239419466674,0.002366495930848117,0.0038772487493528825,0.0028369906637691544,0.004576885140106264,4.195894099948683,1.5944480120084303,0.23585848187485803,4.927569399679442,0.4207763082181476,7,94.33575411420316,2.4278048183768988,180,125,27378,8,COMPLETE,10.0,18.0,86.0,0.4082383632659912,15.64375,15.235511636734008,1.870708268880844,10.69921875,8.828510481119157,9.744570312499999,5.4953076171875,4.2492626953125,0.00020989617702578303,0.005219220665399602,0.06189946267285755,0.7853574837563475,123.05344294663519,2.437948049046099,26.0,16.0,25772.0,COMPLETE,10.0,17.0,84.0,0.0006321907043457031,13.64375,13.643117809295655,1.8214031219482423,8.7037109375,6.882307815551758,9.3625,5.468271484375,3.894228515625,,,,,29.86611193884164,2.44123082049191,,,
llama3-8b-inst,6,COMPLETE,True,de0267d1bd33d88f6441f922975cddd1b32d721a7f68f4817eee444159ffc60c,2,6,87,10,17,83,0.005390310287475586,14.40625,14.400859689712524,1.6973884582519532,9.27734375,7.579955291748047,10.0234375,4.0416099548339846,5.9818275451660154,0.037998560670530424,-0.032608250383054836,14.825746244722053,1.0000000000000002,14.825746244722056,9.390432131802665,0.5929782910943495,-5.389799199903591,8.302178831771016,4.440892098500626e-16,0.005282528826553268,0.0023546113905240237,0.0033367125576862266,0.0019458162734430514,0.006194085807085232,3.0260392411399635,1.520300724679346,0.27189896607914593,4.66154813402916,0.3733140962317551,5,76.31201077345759,2.1687103593721986,180,125,28179,8,COMPLETE,10.0,17.0,85.0,0.0016878128051757812,16.2125,16.210812187194826,1.6150448322296143,10.01328125,8.398236417770386,10.00625,4.059512176513672,5.946737823486329,0.0002722042346037423,0.006038246551056046,0.08675437042939785,0.32882633098459607,113.88935363758355,2.1634280905127525,26.0,16.0,26552.0,COMPLETE,10.0,19.0,82.0,0.0006456136703491211,15.99375,15.993104386329652,1.6102264881134034,9.65234375,8.042117261886597,9.9065625,3.985700988769531,5.920861511230468,,,,,29.043839243240654,2.1761426646262407,,,
llama3-8b-inst,7,COMPLETE,True,d0a983619266db0f3274bf2b0ef2c5beecdf42e171544ced0ee088b06135e0d1,0,1,95,9,15,95,0.827914810180664,8.446095943450928,7.618181133270264,2.4382511138916017,7.502312850952149,5.0640617370605465,10.667734374999998,4.39876277923584,6.268971595764159,0.013973838105448522,0.8139409720752155,19.165613337944137,1.0,19.165613337944137,11.296765006484929,0.5910498014784621,-5.977633799710503,9.907209187746048,4.440892098500626e-16,0.010334867359894128,0.0028646970470931235,0.005677898408101012,0.004656968955158462,0.008597735533825094,6.4646958476927665,1.5914269652295119,0.24860437860583964,4.911145987272929,0.5301291034423207,4,87.40979001577944,2.4407141488045454,180,125,30438,8,COMPLETE,10.0,19.0,95.0,0.02135655879974365,14.200000381469726,14.178643822669983,1.3324754238128662,10.863042831420898,9.530567407608032,10.665078124999999,4.418534126281738,6.246543998718262,0.00023237062821288883,0.004863274757897219,0.06943860847504192,0.34267951421328136,122.07210114691406,2.4392048083245754,26.0,16.0,28606.0,COMPLETE,10.0,20.0,94.0,0.0012120246887207032,14.62812557220459,14.62691354751587,0.8887744903564453,10.532754707336426,9.64398021697998,10.626953125,4.465221633911133,6.161731491088867,,,,,31.611706799827516,2.443643933162093,,,
llama3-8b-inst,8,COMPLETE,True,95f4bc9780363fc873abcaa74e8e2a21866baac3c3ba6e46b8077b6e9b7b1cf6,2,5,83,10,20,80,0.0910562515258789,10.75625,10.66519374847412,2.8508056640625,9.106640625,6.2558349609375,10.08671875,4.815527267456055,5.271191482543945,0.007113266648957506,0.0839429848769214,15.992673869683436,1.0,15.992673869683436,9.670152935944499,0.44285428506929553,-5.737674547491311,11.162877961993217,8.881784197001252e-16,0.004528306317882159,0.0020046561291566056,0.002681439851649951,0.0018468664687535312,0.002089736410640597,2.5209783558338232,1.5725261649073827,0.2639784959404844,4.8296612096830165,0.44129430510277007,12,77.64658800326288,2.4744708482176065,180,125,28152,8,COMPLETE,10.0,20.0,80.0,0.015420091152191163,15.99375,15.978329908847808,2.070330047607422,10.17890625,8.108576202392578,9.943046875,4.794415435791016,5.148631439208985,0.00010911407871224154,0.0024522567414542794,0.03706044539909389,0.6442584442844793,116.86092672217637,2.4991681054234505,26.0,16.0,26474.0,COMPLETE,10.0,20.0,77.0,0.0018198013305664063,12.0625,12.060680198669434,2.0416824340820314,9.7109375,7.669255065917969,9.5434375,4.7469901275634765,4.796447372436523,,,,,29.830170509405434,2.478267153725028,,,
llama3-8b-inst,9,COMPLETE,True,6d58f8fa58f7e41e6b56033fc5902c88b3fc705533ae151274743411e2a0253a,1,1,95,10,19,92,0.00436248779296875,11.2703125,11.265950012207032,1.1599510192871094,5.971484375,4.811533355712891,9.771035156249999,4.02136962890625,5.749665527343749,0.005512497527524829,-0.0011500097345560796,16.808254780870858,1.0,16.808254780870858,10.141943480633199,0.5168555459586855,-6.641712796331327,7.989257214590907,8.881784197001252e-16,0.006563024335026755,0.002915522885551924,0.0035698887277464835,0.00299313560747596,0.00584470855368696,3.558762176816318,1.548722455560638,0.2800519061172411,4.729664278721071,0.549750554205644,8,77.35449262801558,2.4262157501652837,180,125,28152,8,COMPLETE,10.0,19.0,93.0,0.008710074424743652,18.45,18.441289925575255,1.0237594425678254,10.297265625,9.273506182432175,9.733671875,4.013552856445313,5.720119018554688,0.0002041883067414056,0.012031595784792298,0.05182426420210737,0.5705355954165522,123.14864007942379,2.4487436413764954,26.0,16.0,26552.0,COMPLETE,10.0,18.0,89.0,0.0005582809448242187,14.925,14.924441719055176,0.8382223129272461,9.1951171875,8.356894874572754,9.213051757812499,3.9332952880859375,5.279756469726562,,,,,29.207612651400268,2.4344835979864,,,
llama3-8b-inst,10,COMPLETE,True,0704d6cd09ea0c64625da0ca80a4a6cf9d350c7d584d4d84390c817c3d84ffed,3,6,81,10,18,80,0.41249847412109375,13.475,13.062501525878906,2.0559814453125,9.3291015625,7.2731201171875,10.893828125,5.946922302246094,4.946905822753907,0.43384338114410637,-0.021344907023012616,16.420599193853064,1.0,16.420599193853064,9.73314475240186,0.5812650480286732,-5.406967187004635,8.617910951375961,4.440892098500626e-16,0.008734336276938558,0.003262015953404074,0.005574037584623148,0.0031602987037048624,0.0069013351911728586,4.859827261506909,1.566961552766061,0.2768743690402416,4.805642081152631,0.5254633202902701,2,85.49144965503365,2.7103843800723553,180,125,29439,8,COMPLETE,10.0,19.0,80.0,0.535623836517334,18.0875,17.551876163482667,1.7831356048583984,10.840625,9.057489395141602,10.8999609375,5.959773559570313,4.940187377929687,0.0002469538443934425,0.0067577190368379005,0.06464166381371834,0.7762589578299437,123.11628098972142,2.7117247972637415,26.0,16.0,27696.0,COMPLETE,10.0,19.0,79.0,0.0020952463150024415,15.4875,15.485404753684998,1.0998306274414062,10.00390625,8.904075622558594,10.584765625,5.908241271972656,4.676524353027344,,,,,30.59023522399366,2.723673894070089,,,
