source_table,model,method,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min,batch_index,accepted_edit_count,fork
production_request,llama3-8b-inst,alphaedit,d_parallel,RECORDED,10000,949.9717018724884,0.09499717018724885,0.07078409407748427,0.04879680723454617,0.0946187626927568,0.045821955458210634,0.1217194905017867,336.8067231043933,-554.6491458266626,,,
production_request,llama3-8b-inst,alphaedit,d_perp,RECORDED,10000,81760.16738732884,8.176016738732883,0.29107229568440257,0.2649345108668264,0.32578636998643495,0.06085185911960855,0.371085349975138,9438.697701426834,0.1794113928829331,,,
production_request,llama3-8b-inst,memit,d_parallel,RECORDED,10000,2691.687562901225,0.26916875629012255,0.17570500417734378,0.11465797781776672,0.24078753181743837,0.12612955399967163,0.29735203123991283,2413.9187043617235,-1495.1611374768645,,,
production_request,llama3-8b-inst,memit,d_perp,RECORDED,10000,69520.21826023923,6.952021826023922,0.33392352591038077,0.3006126004793189,0.377101187167206,0.07648858668788705,0.4191729287855642,35872.42923838425,0.1815870983558586,,,
production_request,qwen2.5-7b-inst,alphaedit,d_parallel,RECORDED,10000,-9.679157134916267,-0.0009679157134916266,-0.04790084070726401,-0.0898188572880789,-0.005378097611174214,0.08444075967690468,0.02511582705801973,442.1104876075862,-0.41126495652751366,,,
production_request,qwen2.5-7b-inst,alphaedit,d_perp,RECORDED,10000,7827.855742903866,0.7827855742903865,0.1980422371423759,0.1632898814615073,0.2436557177760535,0.08036583631454619,0.2921891282301214,5689.180884698678,0.007565351647619164,,,
production_request,qwen2.5-7b-inst,memit,d_parallel,RECORDED,10000,-84.33279415645862,-0.008433279415645862,-0.03466004112237343,-0.08270553712014926,0.04595129544470335,0.1286568325648526,0.13809055801433842,0.7886071732452136,-0.26590903629151386,,,
production_request,qwen2.5-7b-inst,memit,d_perp,RECORDED,10000,2744.9662560872575,0.27449662560872573,0.25490651611969584,0.21559271824239473,0.3132151676657475,0.09762244942335274,0.37805780581685383,2.232183125495767,0.0022228664510695467,,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,14.220990563424463,0.14220990563424463,0.13851809153464312,0.11202355790424119,0.1689222079894763,0.056898650085235106,0.21503649316139214,0.2507480147054712,-0.005582892023667494,1,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,45.66266966701595,0.4566266966701595,0.434717151591523,0.3900780279424102,0.5035181294206315,0.11344010147822126,0.5771747780356029,0.9247970115389225,0.3119613657823991,1,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,9.597819477845256,0.09597819477845256,0.09702644990621408,0.07342542306731677,0.11392394944135839,0.040498526374041624,0.13288304825812605,0.17210131967066303,0.03174063634645058,10,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,33.50558667538601,0.3350558667538601,0.329065843865189,0.29943763456953115,0.3572097311280451,0.05777209655851395,0.3931393139117833,0.5344748317562213,0.25622125975477356,10,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.31934015984079,0.0631934015984079,0.061157102652993844,0.022073362909241306,0.10053250578582743,0.07845914287658612,0.1390729922913048,0.24761250105500238,-0.11967006175253403,100,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.72209147348527,0.29722091473485274,0.27360680685953076,0.24891613448316635,0.3219349611556096,0.07301882667244325,0.37346288098366703,0.976228712115078,0.20105401182149663,100,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,9.239428344848918,0.09239428344848917,0.08639881536164457,0.0665965243276575,0.1139038542272003,0.0473073298995428,0.13607624206249527,0.19290771526123657,0.033214820313846004,11,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,33.1343497532198,0.331343497532198,0.32214144665882727,0.2957742222652927,0.36035540839554464,0.06458118613025193,0.3945346910933731,0.4599485110635446,0.2558525890663781,11,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,9.168457389591689,0.09168457389591689,0.08520079999972772,0.06849082727496644,0.11272799094454636,0.044237163669579915,0.13468757458691488,0.21329555000141356,0.02480799030087536,12,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,31.989936733989186,0.3198993673398919,0.32059513816621277,0.295524230068389,0.34647831596455847,0.050954085896169454,0.3614505226087299,0.40395369999469627,0.23345077272183515,12,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,8.430434197514018,0.08430434197514018,0.07881869913573933,0.06334531289967837,0.10599543769809736,0.04265012479841898,0.1256366091302337,0.17106422659463494,0.0321195447540349,13,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,32.007245635448676,0.3200724563544868,0.316062947026597,0.2899920743996861,0.34036520177316265,0.050373127373476545,0.36507889418186484,0.4584334874884183,0.23718374102577508,13,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,-15.166755346896624,-0.15166755346896624,0.07871973569600749,0.06619146597861089,0.10369933379771477,0.03750786781910388,0.1295146072111196,0.17539066888008378,-23.671516430395585,14,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,8197.260200322311,81.97260200322312,0.31505818424663967,0.29273264652643227,0.3433462265198882,0.05061357999345595,0.3772683886583456,8165.751728823188,0.23020061940572348,14,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,8.671652629711225,0.08671652629711225,0.08407626289380166,0.06564588449955096,0.11250703763906254,0.046861153139511585,0.12481913420470082,0.16668407704529234,0.01811163761499358,15,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,31.736089618457637,0.31736089618457636,0.3133124028044637,0.28951381672424026,0.3422651769966101,0.05275136027236982,0.36629946896383886,0.4305310279336149,0.2543532450241798,15,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,8.290045568604272,0.08290045568604272,0.07981668783713616,0.0612611511192108,0.09887100780637487,0.037609856687164066,0.1276725242547904,0.23755480826754605,-0.011588211135732765,16,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.909924037430557,0.3090992403743056,0.30155964765503207,0.2843157259380348,0.32400661063591946,0.039690884697884676,0.35970207537307036,0.4441753619473843,0.21026846879401473,16,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,229.5397577995291,2.295397577995291,0.07490331667599101,0.05793622103543479,0.09230749598279757,0.03437127494736278,0.11416726062256426,221.85447997308844,0.023393092938497822,17,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,4252.277717558494,42.52277717558494,0.29507547992935823,0.2758770643994296,0.3161452194535442,0.040268155054114574,0.36076607343523365,4222.449076704426,0.23299400255745145,17,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,7.5603497188840105,0.0756034971888401,0.07372557216602388,0.057111204472827776,0.09244066414926908,0.0353294596764413,0.11216688759476043,0.17621000430991907,0.012985447143330808,18,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.317089187129916,0.30317089187129914,0.30503151594533084,0.2820616449997092,0.3238353584468568,0.04177371344714759,0.34604001765784537,0.39164070711487053,0.2325087655660703,18,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,7.710430511659206,0.07710430511659207,0.07535308993089665,0.05715096994504784,0.0964561946595282,0.039305224714480363,0.11076904518986022,0.17248354186351664,0.005796245343653461,19,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.206332251777166,0.3020633225177717,0.3005062996120307,0.28353883409401665,0.3175754372082877,0.034036603114271036,0.3412055255950721,0.3773165542182436,0.2369981887108285,19,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,12.549330081223188,0.12549330081223187,0.1221925837648272,0.09613418334167279,0.14904178781368715,0.05290760447201437,0.18757451066262062,0.23381433734966933,0.038531803743382734,2,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,42.38311640208143,0.4238311640208143,0.4146674739633355,0.37424937341133385,0.4753529536116857,0.10110358020035187,0.5091419139727421,0.6657837904408097,0.2835663360454531,2,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,7.2007526397394015,0.07200752639739401,0.0715588247615711,0.057331559424833645,0.08702265377099115,0.029691094346157507,0.10009374480580074,0.14183052852335062,0.00170533162666236,20,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.10217059540077,0.30102170595400773,0.29805427174862364,0.2797167279092738,0.3205119844663548,0.040795256557080994,0.3408219758304801,0.39245376669521154,0.2342017116895867,20,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,7.4127814439424835,0.07412781443942483,0.0711381980895282,0.05277928696747812,0.09528410464537676,0.04250481767789864,0.11218093733550834,0.2013600488419569,0.005760016351800657,21,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.861603285139957,0.2986160328513996,0.2948516896456953,0.2742234293160104,0.3189980546440614,0.04477462532805099,0.3351560372312413,0.40801962224323907,0.23682616192057002,21,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,7.112123638751785,0.07112123638751786,0.06968760629742823,0.053498809943117745,0.08829155735639366,0.03479274741327591,0.10120948566632723,0.1574200152311117,0.022396637771649592,22,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.191432414410954,0.30191432414410957,0.29438683477865113,0.27343577085137766,0.32443415850271834,0.05099838765134068,0.3444062006152203,0.44142286615751797,0.23762517174511472,22,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,50.15152325851845,0.5015152325851845,0.06700400007311302,0.053749741117876185,0.08447819737230194,0.03072845625442576,0.10869205743822481,29.04738803863493,0.02004011316994327,23,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,8300.053171095962,83.00053171095962,0.2928761744427051,0.2674276854962472,0.31398083901825397,0.046553153522006785,0.34646045293953853,4441.047201077313,0.20071022509392386,23,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.98850493082605,0.0698850493082605,0.06936161784100109,0.05230205865785771,0.08474099156542114,0.03243893290756343,0.09996539317062558,0.14087268075046513,0.012988217238246369,24,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.834399510393204,0.29834399510393206,0.2915191850089126,0.2708644500881577,0.31913579674831993,0.04827134666016225,0.33937223808558215,0.49042618419532746,0.23555784160056684,24,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,230.4503541267669,2.3045035412676693,0.07069987398955191,0.05523662308054686,0.08996211355549566,0.0347254904749488,0.11281271550298975,223.0503795383954,0.013357760531534871,25,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,6575.391063523985,65.75391063523985,0.29743101819147555,0.2743308828471547,0.31893232049835574,0.04460143765120106,0.3503305526439013,6545.810287674699,0.2371794396922888,25,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,-3.3516949234616993,-0.03351694923461699,0.06540090557226114,0.0443493325764943,0.08819826887038948,0.04384893629389518,0.11100789962990429,0.18730818394385768,-10.167877993271784,26,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,2554.0900469848225,25.540900469848225,0.2915953245207692,0.26785598459843657,0.31244156174963417,0.0445855771511976,0.3380912340891106,2525.241037260728,0.21466171020533276,26,,
