source_table,model,method,accepted_edit_count,fork,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min,batch_index,history_state,A0,V_to_go,Vbar,minimum_completion_budget_h_normalized,unreachable_fraction,authority,full_parameter_space_claim
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,q_pre_L4,RECORDED,100,100.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,q_pre_L5,RECORDED,100,95.07526664028846,0.9507526664028846,0.947016907377491,0.9226012734736952,0.971129138668472,0.0485278651947767,1.0047469441149373,1.0837570685215985,0.8840344689720974,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,q_pre_L6,RECORDED,100,88.65127084820486,0.8865127084820486,0.8869802198123893,0.8332489348312102,0.926932157060552,0.09368322222934178,0.9677285525629579,1.0398598894288458,0.7601330624883201,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,q_pre_L7,RECORDED,100,77.44329689412629,0.7744329689412629,0.7700088861038947,0.7081598708096305,0.8391637396162377,0.1310038688066072,0.8751390204148541,0.9466337383907264,0.6094420105563015,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,q_pre_L8,RECORDED,100,56.25358214065258,0.5625358214065258,0.5401195653658322,0.49772611059746563,0.6324204000339807,0.13469428943651507,0.674070871828938,0.8136382622562515,0.38784747142720805,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,q_post_L8,RECORDED,100,3.9467205246501513,0.03946720524650151,0.03822616116051555,0.03312892326856926,0.045511493242293095,0.012382569973723834,0.05153904242597462,0.06381208090744099,0.019464575892471248,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,q_pre_L8_gt_0_2,RECORDED,100,100.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,d_parallel,RECORDED,100,14.327031082551056,0.14327031082551056,0.14306824852897382,0.10888715163003654,0.1718896080938071,0.06300245646377056,0.1984271669667993,0.26586383532906116,0.06159930377995741,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,d_perp,RECORDED,100,44.306985122897984,0.44306985122897985,0.41913095072631007,0.38276449796734646,0.49513765830401324,0.11237316033666678,0.5614921049931386,0.7021766951543357,0.28285373914669937,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,mean_rho,RECORDED,100,65.25881496534399,0.6525881496534399,0.6522220834983801,0.6051446580856285,0.7090546524273336,0.10390999434170511,0.7363429244709513,0.7859426256192854,0.47526729981967125,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,mean_tau,RECORDED,100,89.60278696934441,0.8960278696934441,0.8673531935742276,0.7684594402180696,1.0271042115748643,0.25864477135679476,1.0984868320026628,1.3012889325882442,0.6227431818702184,,,,,,,,,
checkpoint_request,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,recurrence_closure_relative_error,RECORDED,100,7.140785792753579e-16,7.140785792753579e-18,6.969509880736239e-18,6.379265042271394e-18,7.793062398412853e-18,1.4137973561414585e-18,8.776282760681954e-18,1.0677150685487009e-17,4.894380087475552e-18,,,,,,,,,
