scope,metric,numerator,denominator,percent,ties
ALL,RS,997,1000,99.7,0
ALL,PS,1931,2000,96.55,0
ALL,NS,8034,10000,80.34,0
ACTIVE,RS,996,999,99.69969969969969,0
ACTIVE,PS,1929,1998,96.54654654654655,0
ACTIVE,NS,8026,9990,80.34034034034035,0
SUPERSEDED,RS,1,1,100.0,0
SUPERSEDED,PS,2,2,100.0,0
SUPERSEDED,NS,8,10,80.0,0
