batch,commit,history_append,inner,previous_link,W,M,checkpoint_bytes,checkpoint_path
1,True,1,0,False,1d43375d81b4025b6bb2cb70e86939e5f5b1a78e8d6bbe25ffbe75af43d07027,fa7d22b6e67cda36232c747d31b81cb9bf2b2196082bcad61664926284f6811e,1057011749,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B001/checkpoint.pt
2,True,1,0,True,2ee47c9571e45df3726be989c81ceb4121beb58ccca3d6b2a5dda69e3609db21,1b459da0b64e048bf72751e25add7708ed811e108869dbd3b1e2b768a716ce0c,1057033701,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B002/checkpoint.pt
3,True,1,0,True,57f699f3071010326a1e68a61fee94e6b97303ed564fb126c41373af3f273608,0ada458fda6cb8216b65a2c5ef14948badac9e1cc9679ad08390b29b866f4fbf,1057055781,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B003/checkpoint.pt
4,True,1,0,True,03a8f4463f2c37ec7adbbd325e06dfbd98b7d86d30bf6e4765f1b2376a0e193c,e63345787b7767392ad1fa85531cdec80935765736dd30430475638a8399567b,1057077989,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B004/checkpoint.pt
5,True,1,0,True,bb3476a9e9a421c2146b8d008ec51e88e55fef26d04b1860a1e65ae1cda0d6ea,85652ee2cef8a9271e5ba5db7f765c89c2af1137f92daed20ebbf78cc88ed34b,1057100069,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B005/checkpoint.pt
6,True,1,0,True,c0fcd382a7721230c005b2af1e7ee9ea05c7c8cfc2e4482c76a6f3c78d91f5bf,c9356c214bd02a9c4e389416ab6d33861097173466b03f59163a7f59641f3d1d,1057122341,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B006/checkpoint.pt
7,True,1,0,True,63770b4b58369a01bbbedc371d55b0556527b55cf6f5238b16e264089178d18b,05806d5375c3d0fca34f243d7886819369e9bdd216263dc1ec282b6d3eb05de7,1057144613,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B007/checkpoint.pt
8,True,1,0,True,a47981515aa8820cbd2bc5c1b7935f7c9f70a2bf2d3b76e38ad3ce5aefba0548,5f516e2e4afa1d449e9bb060bfe52747254e75d2e8cccc9c81e0dc50a2978d13,1057166885,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B008/checkpoint.pt
9,True,1,0,True,7baad1171b66beef6acc3f731acab04b9e53ff57fb32d6d6db1fb236bf62f7f7,2cc2d3aa6064722c9eca53038a8a3a34f42ac273dc1f0634bfa3b41e37db5ec1,1057188965,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B009/checkpoint.pt
10,True,1,0,True,3ccda9a09a1b8c44feea268853feb4fb62b2416a36198e3f4ba9140e289227d5,f38200b937fcae3d15d5fa760210f31fe65f48a1613f6ba4a1caac56bf7ec0bd,1057211173,/data/janghj/ODE-edit/local/single-layer-edit-preserving-correction/20260918-v1/S/attempt-v1/arms/EN-F/attempt-v1/B010/checkpoint.pt
