batch,reuse,targets,Adam,loss_evaluations,max24_count,zero_step_count,early_stop_count,loss_final_mean,clamp_hits
1,True,100,2400,2500,100,0,0,0.13699554868042468,NOT_RECORDED
2,False,100,2400,2500,100,0,0,0.13545273758471013,NOT_RECORDED
3,False,100,2400,2500,100,0,0,0.13819070614874363,NOT_RECORDED
4,False,100,2400,2500,100,0,0,0.13535541005432605,NOT_RECORDED
5,False,100,2400,2500,100,0,0,0.1331217972934246,NOT_RECORDED
6,False,100,2400,2500,100,0,0,0.13070906944572924,NOT_RECORDED
7,False,100,2400,2500,100,0,0,0.13117451593279839,NOT_RECORDED
8,False,100,2400,2500,100,0,0,0.13330664567649364,NOT_RECORDED
9,False,100,2400,2500,100,0,0,0.1251464205235243,NOT_RECORDED
10,False,100,2400,2500,100,0,0,0.12788130193948746,NOT_RECORDED
