batch,panel,role,loss,documents,controller
1,S64,native,0.0017209078391055635,64,True
1,S64,selected,0.0014312163798671663,64,True
2,S64,native,0.0034810690488920005,64,True
2,S64,selected,0.002892340968219424,64,True
3,S64,native,0.004568875076683798,64,True
3,S64,selected,0.004182961142654141,64,True
4,S64,native,0.005932600600393671,64,True
4,S64,selected,0.004938402540107019,64,True
5,S64,native,0.00665593002047207,64,True
5,S64,selected,0.0055709816117572334,64,True
5,Dev128,selected,0.010719205602581067,128,False
6,S64,native,0.007396323344253739,64,True
6,S64,selected,0.007194687223299775,64,True
7,S64,native,0.008758877632649832,64,True
7,S64,selected,0.00786130363313773,64,True
8,S64,native,0.009362692170960049,64,True
8,S64,selected,0.008085338992084414,64,True
9,S64,native,0.009603772208112663,64,True
9,S64,selected,0.00795285800076397,64,True
10,S64,native,0.009619522179794908,64,True
10,S64,selected,0.008580388606041288,64,True
10,Dev128,selected,0.02126512749575689,128,False
