batch,component,unit,value
1,official_entry,attention_mask_valid_entries,105120
1,official_entry,backward_calls,0
1,official_entry,canonical_microbatches_computed,166
1,official_entry,canonical_pair_rows_computed,2600
1,official_entry,canonical_pair_rows_reused,0
1,official_entry,copy_restore_seconds,0.41780863981693983
1,official_entry,exact_restores,1
1,official_entry,generated_tokens,3200
1,official_entry,greedy_requests_computed,100
1,official_entry,greedy_requests_reused,0
1,official_entry,history_appends,0
1,official_entry,model_forward_calls,3366
1,official_entry,model_input_tokens,46892
1,official_entry,native_fit_calls,0
1,official_entry,observer_calls,1
1,official_entry,observer_seconds,91.61252516321838
1,official_entry,physical_installs,1
1,official_entry,reduced_metric_pairs_reused,0
1,official_own-native,attention_mask_valid_entries,105120
1,official_own-native,backward_calls,0
1,official_own-native,canonical_microbatches_computed,166
1,official_own-native,canonical_pair_rows_computed,2600
1,official_own-native,canonical_pair_rows_reused,0
1,official_own-native,copy_restore_seconds,0.4454914825037122
1,official_own-native,exact_restores,1
1,official_own-native,generated_tokens,3200
1,official_own-native,greedy_requests_computed,100
1,official_own-native,greedy_requests_reused,0
1,official_own-native,history_appends,0
1,official_own-native,model_forward_calls,3366
1,official_own-native,model_input_tokens,46892
1,official_own-native,native_fit_calls,0
1,official_own-native,observer_calls,1
1,official_own-native,observer_seconds,91.6426245002076
1,official_own-native,physical_installs,1
1,official_own-native,reduced_metric_pairs_reused,0
1,official_selected,attention_mask_valid_entries,105120
1,official_selected,backward_calls,0
1,official_selected,canonical_microbatches_computed,166
1,official_selected,canonical_pair_rows_computed,2600
1,official_selected,canonical_pair_rows_reused,0
1,official_selected,copy_restore_seconds,0.42924394737929106
1,official_selected,exact_restores,1
1,official_selected,generated_tokens,3200
1,official_selected,greedy_requests_computed,100
1,official_selected,greedy_requests_reused,0
1,official_selected,history_appends,0
1,official_selected,model_forward_calls,3366
1,official_selected,model_input_tokens,46892
1,official_selected,native_fit_calls,0
1,official_selected,observer_calls,1
1,official_selected,observer_seconds,91.53451547771692
1,official_selected,physical_installs,1
1,official_selected,reduced_metric_pairs_reused,0
1,oracle_current,backward_seconds,0.0
1,oracle_current,cache_transfer_seconds,1.3307629702612758
1,oracle_current,cached_backward_documents,0
1,oracle_current,cached_input_tokens,52080
1,oracle_current,cached_suffix_forwards,3120
1,oracle_current,cached_suffix_seconds,81.17549641430378
1,oracle_current,comparison_logit_elements,1335914496
1,oracle_current,gradient_sweeps,0
1,oracle_current,head_positions,22776
1,oracle_current,kl_documents,0
1,oracle_current,kl_input_tokens,0
1,oracle_current,kl_scored_positions,0
1,oracle_current,kl_sweeps,0
1,oracle_current,physical_backward_documents,0
1,oracle_current,physical_copy_restore_seconds,0.0
1,oracle_current,physical_exact_restores,0
1,oracle_current,physical_full_forwards,0
1,oracle_current,physical_full_seconds,0.0
1,oracle_current,physical_input_tokens,0
1,oracle_current,physical_weight_installs,0
1,oracle_current,prefix_forwards,624
1,oracle_current,prefix_input_tokens,10416
1,oracle_current,prefix_seconds,3.303046675398946
1,oracle_current,prefix_valid_tokens,10416
1,oracle_current,teacher_bytes_read,0
1,oracle_current,teacher_documents_read,0
1,oracle_current,teacher_read_seconds,0.0
1,oracle_reference,backward_seconds,0.0
1,oracle_reference,cache_transfer_seconds,1.7895879549905658
1,oracle_reference,cached_backward_documents,0
1,oracle_reference,cached_input_tokens,32896
1,oracle_reference,cached_suffix_forwards,128
1,oracle_reference,cached_suffix_seconds,12.51075595524162
1,oracle_reference,comparison_logit_elements,0
1,oracle_reference,gradient_sweeps,0
1,oracle_reference,head_positions,16384
1,oracle_reference,kl_documents,128
1,oracle_reference,kl_input_tokens,32896
1,oracle_reference,kl_scored_positions,16384
1,oracle_reference,kl_sweeps,2
1,oracle_reference,physical_backward_documents,0
1,oracle_reference,physical_copy_restore_seconds,0.0
1,oracle_reference,physical_exact_restores,0
1,oracle_reference,physical_full_forwards,0
1,oracle_reference,physical_full_seconds,0.0
1,oracle_reference,physical_input_tokens,0
1,oracle_reference,physical_weight_installs,0
1,oracle_reference,prefix_forwards,64
1,oracle_reference,prefix_input_tokens,16448
1,oracle_reference,prefix_seconds,1.4766596388071775
