batch,checkpoint_shape_W,checkpoint_shape_M,dtype,finite,hashes_match,received,active,superseded,history_append,next_batch,Past64_count,native_norm,correction_norm,correction_native_ratio,ideal_actual_rounding_norm,p_actual_cpu,p_actual_record,p_actual_abs_gap,chi_cpu_from_saved_ideal,selected_cpu_materialization_exact,cumulative_W_minus_W0,native_norm_cpu,net_step_norm_cpu,correction_native_cos
1,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,100,100,0,1,2,0,7.6116527986668565,0.016645400463188846,0.002186831284015504,1.9656145883995055e-06,-0.0008604539226875684,-0.0008604539226875684,0.0,0.0026721864659962516,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,,,
2,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,200,200,0,1,3,64,7.711790099083435,0.029355453104484786,0.003806567959879218,1.9754884171688596e-06,-0.0017405345372589495,-0.0017405345372589495,0.0,0.00351550496759273,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,7.711790099083435,7.711854174719886,0.000279475823759796
3,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,300,300,0,1,4,64,7.836792939393078,0.040210484161581156,0.0051309871873041046,1.985037884598029e-06,-0.0022844375428127998,-0.0022844375428127998,0.0,0.003227601979935376,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,7.836792939393078,7.836917477401309,0.000531683685801631
4,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,400,400,0,1,5,64,7.799013196119771,0.0393533112641233,0.005045934693853664,1.994687115164963e-06,-0.0029663002747016987,-0.0029663002747016987,0.0,0.005681560892957824,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,7.799013196119771,7.799138365896152,0.0006577251315410413
5,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,500,500,0,1,6,64,7.824894582907439,0.060285920856397286,0.007704374828011713,2.004434309121914e-06,-0.0033279650311577856,-0.0033279650311577856,0.0,0.0030473736072837007,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,7.824894582907439,7.825163895478329,0.0006151442970443345
6,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,600,600,0,1,7,64,8.20794432812569,0.09875711256249796,0.012031893567320219,2.015304914081778e-06,-0.007396323330135308,-0.007396323330135308,0.0,0.005609123590684544,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,8.20794432812569,8.208574428611882,0.00036460298795619884
7,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,700,699,1,1,8,64,8.21014589194058,0.11751891328642097,0.01431386419110803,2.0257104062110435e-06,-0.008758877636810138,-0.008758877636810138,0.0,0.005554965734367154,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,8.21014589194058,8.211056278190824,0.0005902185460123739
8,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,800,799,1,1,9,64,8.132443779979853,0.11431403371644415,0.014056541527880976,2.036132542341923e-06,-0.009362692174937856,-0.009362692174937856,0.0,0.006708144183139315,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,8.132443779979853,8.133302358630957,0.0004828277921060975
9,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,900,899,1,1,10,64,8.631150593310148,0.03230942111564996,0.0037433504103951587,2.0469625088042527e-06,-0.002400943076298993,-0.002400943076298993,0.0,0.005522114054559315,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,8.631150593310148,8.631228274939375,0.0005326383407967392
10,"[4096, 14336]","[1, 14336, 14336]",torch.float32,True,True,1000,999,1,1,11,64,8.597505618904341,0.025225886585550666,0.0029340936434032166,2.058033002974888e-06,-0.0012024402854729117,-0.0012024402854729117,0.0,0.002272135082050402,True,NOT_AVAILABLE_NO_RELOAD_OF_PRETRAINED_MODEL,8.597505618904341,8.597566071993679,0.0009294319682977065
