comparison,metric,denominator,before,after,lost,gained,net_pp,new_nll_delta_mean,new_nll_delta_min,new_nll_delta_p50,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_min,true_nll_delta_p50,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_min,desired_margin_delta_p50,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_max
B01_ENTRY_to_NATIVE,RS,100,5,100,0,95,95.0,-11.741947663976607,-21.154502960154787,-11.793419017107226,-5.7515792839432835,-4.667549910173392,-2.6645234513271134,10.304421236305497,-1.8365840911865234,10.270754508674145,18.216490345448253,19.85252060659231,22.339219570159912,22.046368900282104,9.036104761995375,21.988462964480277,31.697871273780766,34.68103545114283,38.057348921196535
B01_ENTRY_to_NATIVE,PS,200,20,194,0,174,87.0,-8.544082775855204,-18.248231887817383,-8.696345213800669,-3.152500417316333,-0.3851287126541193,2.021334409713745,5.142403854662552,-5.309344291687012,4.8459391593933105,13.108900964260085,16.297880311012264,19.35306942462921,13.686486630517756,0.13011693954467773,12.847785383462906,24.456850599599417,27.663095592127636,31.06903404928744
B01_ENTRY_to_NATIVE,NS,1000,886,865,24,3,-2.1,-0.569141544068465,-14.52303369063884,-0.25516557693481445,0.32981567382812477,0.8172049713134765,1.468414306640625,-0.022698554491624237,-6.3657050132751465,-0.05694982409477234,0.8387987375259395,2.7601346516609175,12.574546247720718,-0.5464429895768408,-26.096708786673844,-0.14300131797790527,0.5407465457916256,1.0740420622006057,2.508028507232666
B01_NATIVE_to_SELECTED,RS,100,100,100,0,0,0.0,5.310866981744766e-09,-1.1915108188986778e-07,0.0,1.1898227967321872e-07,3.5391654819250106e-07,3.5529956221580505e-07,9.775161743164062e-07,-4.57763671875e-05,3.814697265625e-06,3.252029418945312e-05,3.835678100585948e-05,5.91278076171875e-05,9.722053073346615e-07,-4.57763671875e-05,3.814697265625e-06,3.252624883316457e-05,3.835678100585948e-05,5.91278076171875e-05
B01_NATIVE_to_SELECTED,PS,200,194,194,0,0,0.0,3.381532878847793e-05,-0.0014113187789916992,8.284114301204681e-07,0.0004032999277114859,0.0007509553432464598,0.0013353824615478516,-7.120788097381592e-05,-0.0017728805541992188,-4.8160552978515625e-05,0.0004725456237792964,0.0006724739074707021,0.0010709762573242188,-0.00010502320976229384,-0.0020386576652526855,-5.721673369407654e-05,0.0005019653588533399,0.000873812437057494,0.0013786554336547852
B01_NATIVE_to_SELECTED,NS,1000,865,865,0,0,0.0,3.752112062647939e-05,-0.0047130584716796875,2.384185791015625e-05,0.0006078720092773434,0.0013450145721435544,0.0021276473999023438,-4.867527517490089e-06,-0.003482818603515625,4.552304744720459e-06,0.0004827499389648436,0.000921339988708496,0.0015172958374023438,4.238864814396948e-05,-0.0039310455322265625,1.621246337890625e-05,0.000764048099517822,0.0018150031566619871,0.0033893585205078125
B02_ENTRY_to_NATIVE,RS,100,11,100,0,89,89.0,-10.959170089772815,-20.64193222663016,-10.92599035409512,-5.732043513318058,-3.7026467401831042,-1.1132492687320337,10.400776430824772,-2.1975717544555664,10.466790040954947,18.65468665417284,20.805477569848303,21.851852983236313,21.359946520597585,5.637151148170233,20.6077083811615,32.19071051009087,35.539212306567066,36.765279035811545
B02_ENTRY_to_NATIVE,PS,200,28,183,0,155,77.5,-8.374651513102581,-17.987472038716078,-8.345637457910925,-2.711345226038252,-0.665043344497691,2.509064197540283,4.870782126591076,-4.229568004608154,4.81934031099081,12.572957885265348,17.543752114176744,18.135503113269806,13.245433639693657,-1.6087360382080078,12.815063238143921,24.664548062568063,27.7137369368784,30.082625002367422
B02_ENTRY_to_NATIVE,NS,1000,881,867,18,4,-1.4,-0.3991119802966714,-16.71629936248064,-0.2073988914489746,0.42823982238769503,0.9407218551635734,6.667360305786133,-0.05616722770861816,-2.7775707244873047,-0.050275444984436035,0.522089576721191,1.698415074348447,11.10988998413086,-0.34294475258805324,-21.809029646217823,-0.11512947082519531,0.5904945135116575,1.1049242329597468,5.900586128234863
B02_NATIVE_to_SELECTED,RS,100,100,100,0,0,0.0,2.394459443166852e-08,-2.592802047729492e-06,0.0,1.1897645890712738e-07,1.6157428035514736e-07,4.3585896492004395e-06,-2.1696090698242187e-06,-6.0558319091796875e-05,-1.9073486328125e-06,2.679824829101562e-05,4.1613578796386785e-05,5.435943603515625e-05,-2.193553664255887e-06,-6.491690874099731e-05,-1.9073486328125e-06,2.691127592697739e-05,4.193075001239783e-05,5.435943603515625e-05
