batch,accepted,actual_norm,actual_sha256,actual_step_norm,armijo_bound,current_loss,decrease,eta,eta0,finite_ideal,finite_weight,ideal_norm,ideal_sha256,loss,nominal_prediction,p_actual,reason,reused_weight_score,round,scalar_a,trial,weight_sha256,guard_reason
1,False,0.03329079975880193,bd59fc433d38454c1f3944d13967fb1ef772bd6689e74dd218b57ed173310563,0.03329079975880193,0.0017207357483210908,0.0017209078391055635,-3.6601437887043287e-05,0.6440073928239024,0.6440073928239024,True,True,0.03329080009180555,c74b6069593f8e149239b7b5a25fbc08a6705ea0f429db1553ce6836ede34823,0.0017575092769926068,-0.0017209078391055635,-0.0017209078447268365,ARMIJO_FAILED,False,0,,0,6891d1ee938c95daabab63b35feccc37f8f83a2de7ddb0450983c7227798731d,
1,True,0.016645400463188846,84065d85e49dc7bcb0500c3b358d1b8913101fc0fd931dfebdcd767bebc768a2,0.016645400463188846,0.0017208217937132947,0.0017209078391055635,0.0002896914592383972,0.3220036964119512,0.6440073928239024,True,True,0.016645400045902776,53e1c2656210c4bfe9b089fa92bcbf19b4883048e5f795d72f6d0c1939bc88f1,0.0014312163798671663,-0.0008604539195527817,-0.0008604539226875684,FIRST_RESOLVED_ACCEPTED,False,0,,1,81ebcb7c47453661c7169551506f1bf713da17ecad893a42548a6b8dfc9fe3b9,
2,False,0.05871090546481851,e54d46a57eb60efcce27542e012b267734c3ab4a36b8ec26ae2f5a4952d098eb,0.05871090546481851,0.003480720941989293,0.0034810690488920005,-0.0007820701946589983,0.9902045597949163,0.9902045597949163,True,True,0.058710905674959124,831e1f4d6dc7698762eeba2cf40f0855fe8aa5e3d9cb841fb32a487db9c59bb6,0.004263139243550999,-0.0034810690488920005,-0.0034810690270729553,ARMIJO_FAILED,False,0,,0,520ea08f1256ed473a4fcdc8c0ad74941d40c3838923eb8cd753141f4179db0c,
2,True,0.029355453104484786,f741e0ed311de0d5dc89802548b8009504cc44ffb0e2a80d6bfceffa66488400,0.029355453104484786,0.0034808949954382748,0.0034810690488920005,0.0005887280806725764,0.49510227989745814,0.9902045597949163,True,True,0.029355452837479562,4561b8aa4ea88a8c1c492b85c4eff16bbd43237f9f9bd01292d1a4fff67422b3,0.002892340968219424,-0.0017405345244460003,-0.0017405345372589495,FIRST_RESOLVED_ACCEPTED,False,0,,1,aa608c898ca62c11657b07fdd9c6381cc21ce65881e0ef3b32731eda87238856,
3,False,0.08042096802672227,d21a21c04290f80548e2537c5e2bbc913fcb4d2048bfd646216683f60dafe657,0.08042096802672227,0.004568418189177954,0.004568875076683798,-0.0009292079183228661,1.4155633517040034,1.4155633517040034,True,True,0.08042096814306215,e13bb3235e2442ea68ea8cad68f9cbf4ecc52535542843d6380a6d2cedd27fbc,0.005498082995006664,-0.004568875076683798,-0.004568875058440528,ARMIJO_FAILED,False,0,,0,a7207d11c162a5d85f3bb20343e75118e8f2136e97b9e47ae02ecad377159eda,
3,True,0.040210484161581156,73fb39ec162cc7c4a179e984227cc9e8c63c576dbf1c66336f78810ec69361be,0.040210484161581156,0.004568646632929517,0.004568875076683798,0.0003859139340296573,0.7077816758520017,1.4155633517040034,True,True,0.04021048407153108,24eff4519990d9419cbe1df0e447a74c4910e0cf424a1f95703e192355acda5b,0.004182961142654141,-0.002284437538341899,-0.0022844375428127998,FIRST_RESOLVED_ACCEPTED,False,0,,1,5ebb1fba7d097d92a4aec5088a1669e921da5fc4b4847ee47353807ca301a9ec,
4,False,0.07870662305742897,19c49600f97bfda9e9e495462263d104fc03066859f24711acf28a75108d0121,0.07870662305742897,0.005932007340334985,0.005932600600393671,-3.611173244109575e-05,1.0441849893304855,1.0441849893304855,True,True,0.0787066229400332,fe8e26996afe43542e180d00f76f716befe674ac0dc39795c5e4d5576374cdd6,0.005968712332834767,-0.005932600600393671,-0.00593260058686775,ARMIJO_FAILED,False,0,,0,f294c27da4335c916fded136bb8f66d9c65c4d364d6f7dc3e123593f62924e90,
4,True,0.0393533112641233,e340669aba21f52b97115ab3a1dc022fd4c966719efb13e9233522a44486d100,0.0393533112641233,0.005932303970366201,0.005932600600393671,0.0009941980602866524,0.5220924946652428,1.0441849893304855,True,True,0.0393533114700166,cf7d0c2bc4dc52950c4b41bc71f7bc51d5d5d3bf36049a5ee41ad3c971f96e18,0.004938402540107019,-0.0029663003001968355,-0.0029663002747016987,FIRST_RESOLVED_ACCEPTED,False,0,,1,be3e7ab622ac4359366aafc1b046a71723421910b24ac0db98bba355a405ff47,
5,False,0.12057184204562342,3a3075beadeab94757ff9dd60907230b36cea4e87063102c82fdc5c16a7d9dd4,0.12057184204562342,0.006655264427471623,0.00665593002047207,-0.0008381983180387612,2.1841529389646723,2.1841529389646723,True,True,0.12057184213471006,bd21ec6090c9843cc1d59aa40da73329bce12fd4ecea43f1384336ec0969c079,0.007494128338510831,-0.00665593002047207,-0.006655930004470632,ARMIJO_FAILED,False,0,,0,7fe960961f40696de50a88a4f3fcb31ba8f76b44189c472fbdaaa7e542ea3955,
5,True,0.060285920856397286,0f11eace9be875a3defef8c4f989bcf0c245b145e1bcafa304fc264f73cf15d9,0.060285920856397286,0.006655597223968955,0.00665593002047207,0.0010849484087148368,1.0920764694823362,2.1841529389646723,True,True,0.06028592106735503,5df84993ba3adc5596a74cfea984b6c858e6d3e5a53a91df695779a53bb3bdc9,0.0055709816117572334,-0.003327965010236035,-0.0033279650311577856,FIRST_RESOLVED_ACCEPTED,False,0,,1,daf06f0e8e7b07cac7c15bf75047b449fa623fbfbf11d6926206c72f99539943,
